diet_pattern,food_cat,food_group,outcome,impact_median_day,impact_median_year
Med,Protein,pf_seafood,Cancer (cases),NA,0
Med,Protein,pf_seafood,CED (mJ),10.01532638,3655.59413
Med,Protein,pf_seafood,CVD (deaths),NA,13201.06554
Med,Protein,pf_seafood,FL (mrh-eq),0.111071009,40.54091832
Med,Protein,pf_seafood,Food_price ($),3.745539475,1367.121908
Med,Protein,pf_seafood,GHG (kgCO2eq),0.589764424,215.2640147
Med,Protein,pf_seafood,WATER (litereq),22.90428966,8360.065727
Med,Other,sat_fat,BLUEWATER (L),-15.15883664,-5532.975374
Med,Other,sat_fat,CED (mJ),-0.850941523,-310.5936558
Med,Other,sat_fat,FL (mrh-eq),-0.022177532,-8.094798998
Med,Other,sat_fat,Food_price ($),-0.087329718,-31.87534723
Med,Other,sat_fat,GHG (kgCO2eq),-0.230562355,-84.15525954
Med,Other,sat_fat,WATER (litereq),-68.60181205,-25039.6614
Med,Other,sodium,Cancer (cases),NA,0
Med,Other,sodium,CVD (deaths),NA,42819.56138
Med,Other,ssb,Cancer (cases),NA,337.8098978
Med,Other,ssb,CVD (deaths),NA,7170.489463
Med,Vegetable,veg_dg,BLUEWATER (L),2.68585301,980.3363487
Med,Vegetable,veg_dg,CED (mJ),0.043197997,15.76726906
Med,Vegetable,veg_dg,FL (mrh-eq),0.002287479,0.83492978
Med,Vegetable,veg_dg,Food_price ($),0.074323403,27.12804203
Med,Vegetable,veg_dg,GHG (kgCO2eq),0.004913907,1.793576149
Med,Vegetable,veg_dg,WATER (litereq),33.66253533,12286.8254
Med,Vegetable,veg_exc_sta,Cancer (cases),NA,3807.411578
Med,Vegetable,veg_exc_sta,CVD (deaths),NA,19188.5382
Med,Vegetable,veg_oth,BLUEWATER (L),0.539890517,197.0600387
Med,Vegetable,veg_oth,CED (mJ),0.008717634,3.181936295
Med,Vegetable,veg_oth,FL (mrh-eq),5.13E-04,0.18717261
Med,Vegetable,veg_oth,Food_price ($),0.064542854,23.55814166
Med,Vegetable,veg_oth,GHG (kgCO2eq),8.42E-04,0.307247308
Med,Vegetable,veg_oth,WATER (litereq),4.537446541,1656.167987
Med,Vegetable,veg_ro,BLUEWATER (L),8.273231141,3019.729366
Med,Vegetable,veg_ro,CED (mJ),0.466188487,170.1587979
Med,Vegetable,veg_ro,FL (mrh-eq),0.019483091,7.111328119
Med,Vegetable,veg_ro,Food_price ($),0.489972547,178.8399796
Med,Vegetable,veg_ro,GHG (kgCO2eq),0.056177622,20.50483198
Med,Vegetable,veg_ro,WATER (litereq),63.87599802,23314.73928
Med,Vegetable,veg_sta,BLUEWATER (L),12.41687671,4532.160001
Med,Vegetable,veg_sta,CED (mJ),0.319237651,116.5217426
Med,Vegetable,veg_sta,FL (mrh-eq),0.005372268,1.960877864
Med,Vegetable,veg_sta,Food_price ($),0.210037,76.66350511
Med,Vegetable,veg_sta,GHG (kgCO2eq),0.036115788,13.18226271
Med,Vegetable,veg_sta,WATER (litereq),54.93567912,20051.52288
US,Other,added_sugar,BLUEWATER (L),-10.17049502,-3712.230682
US,Other,added_sugar,CED (mJ),-0.512920689,-187.2160516
US,Other,added_sugar,FL (mrh-eq),-0.023762697,-8.673384243
US,Other,added_sugar,Food_price ($),-0.833939673,-304.3879808
US,Other,added_sugar,GHG (kgCO2eq),-0.052760907,-19.25773106
US,Other,added_sugar,WATER (litereq),-37.58657667,-13719.10048
US,Dairy,dairy_cow,BLUEWATER (L),36.94220263,13483.90396
US,Dairy,dairy_cow,CED (mJ),2.978876434,1087.289898
US,Dairy,dairy_cow,FL (mrh-eq),0.067695841,24.70898213
US,Dairy,dairy_cow,Food_price ($),0,0
US,Dairy,dairy_cow,GHG (kgCO2eq),0.552979161,201.8373937
US,Dairy,dairy_cow,WATER (litereq),154.8092323,56505.3698
US,Dairy,dairy_soy,BLUEWATER (L),-0.022666529,-8.273282983
US,Dairy,dairy_soy,CED (mJ),-0.002953296,-1.077952966
US,Dairy,dairy_soy,FL (mrh-eq),-4.95E-04,-0.180856674
US,Dairy,dairy_soy,Food_price ($),0,0
US,Dairy,dairy_soy,GHG (kgCO2eq),-4.53E-04,-0.165464892
US,Dairy,dairy_soy,WATER (litereq),-0.039520422,-14.424954
US,Dairy,dairy_tot,BLUEWATER (L),0,0
US,Dairy,dairy_tot,Cancer (cases),NA,10758.56047
US,Dairy,dairy_tot,CED (mJ),0,0
US,Dairy,dairy_tot,CVD (deaths),NA,0
US,Dairy,dairy_tot,FL (mrh-eq),0,0
US,Dairy,dairy_tot,Food_price ($),0.647427843,236.3111627
US,Dairy,dairy_tot,GHG (kgCO2eq),0,0
US,Dairy,dairy_tot,WATER (litereq),0,0
US,Fruit,fruit_exc_juice,BLUEWATER (L),60.95055855,22246.95387
US,Fruit,fruit_exc_juice,Cancer (cases),NA,5001.459795
US,Fruit,fruit_exc_juice,CED (mJ),0.989477097,361.1591406
US,Fruit,fruit_exc_juice,CVD (deaths),NA,39346.727
US,Fruit,fruit_exc_juice,FL (mrh-eq),0.06057781,22.11090083
US,Fruit,fruit_exc_juice,Food_price ($),1.522362324,555.6622484
US,Fruit,fruit_exc_juice,GHG (kgCO2eq),0.129980042,47.4427153
US,Fruit,fruit_exc_juice,WATER (litereq),450.8907714,164575.1315
US,Fruit,fruit_juice,BLUEWATER (L),21.62168464,7891.914893
US,Fruit,fruit_juice,CED (mJ),0.534202702,194.9839864
US,Fruit,fruit_juice,FL (mrh-eq),0.033911179,12.37758039
US,Fruit,fruit_juice,Food_price ($),0.14915819,54.44273929
US,Fruit,fruit_juice,GHG (kgCO2eq),0.067589995,24.67034815
US,Fruit,fruit_juice,WATER (litereq),184.761084,67437.79568
US,Grain,gr_refined,BLUEWATER (L),-30.11177466,-10990.79775
US,Grain,gr_refined,CED (mJ),-0.351425081,-128.2701544
US,Grain,gr_refined,FL (mrh-eq),-0.007946266,-2.900387015
US,Grain,gr_refined,Food_price ($),-1.04302367,-380.7036394
US,Grain,gr_refined,GHG (kgCO2eq),-0.061279165,-22.36689507
US,Grain,gr_refined,WATER (litereq),-94.70652636,-34567.88212
US,Grain,gr_whole,BLUEWATER (L),26.95663703,9839.172516
US,Grain,gr_whole,Cancer (cases),NA,29263.25896
US,Grain,gr_whole,CED (mJ),0.440161908,160.6590963
US,Grain,gr_whole,CVD (deaths),NA,50128.76481
US,Grain,gr_whole,FL (mrh-eq),0.007869216,2.872264017
US,Grain,gr_whole,Food_price ($),0.744736944,271.8289844
US,Grain,gr_whole,GHG (kgCO2eq),0.069580468,25.39687073
US,Grain,gr_whole,WATER (litereq),125.2099737,45701.64041
US,Protein,leg_tot,BLUEWATER (L),3.729307237,1361.197142
US,Protein,leg_tot,Cancer (cases),NA,2808.070959
US,Protein,leg_tot,CED (mJ),0.071683771,26.16457628
US,Protein,leg_tot,CVD (deaths),NA,9893.1384
US,Protein,leg_tot,FL (mrh-eq),0.003019767,1.102214881
US,Protein,leg_tot,Food_price ($),0.083145854,30.34823675
US,Protein,leg_tot,GHG (kgCO2eq),0.012321546,4.497364305
US,Protein,leg_tot,WATER (litereq),14.58683494,5324.194754
US,Other,oil,BLUEWATER (L),-0.284862336,-103.9747526
US,Other,oil,CED (mJ),-0.009182551,-3.351631091
US,Other,oil,FL (mrh-eq),-3.58E-04,-0.130550737
US,Other,oil,Food_price ($),-0.007001973,-2.55572025
US,Other,oil,GHG (kgCO2eq),-0.001122561,-0.409734932
US,Other,oil,WATER (litereq),-0.795029667,-290.1858285
US,Protein,pf_egg,BLUEWATER (L),-3.753563595,-1370.050712
US,Protein,pf_egg,CED (mJ),-0.191881332,-70.03668613
US,Protein,pf_egg,FL (mrh-eq),-0.002776975,-1.013595892
US,Protein,pf_egg,Food_price ($),-0.234408945,-85.55926479
US,Protein,pf_egg,GHG (kgCO2eq),-0.031316494,-11.43052034
US,Protein,pf_egg,WATER (litereq),-8.613372359,-3143.880911
US,Protein,pf_ns,BLUEWATER (L),-8.765932322,-3199.565298
US,Protein,pf_ns,Cancer (cases),NA,80.89190306
US,Protein,pf_ns,CED (mJ),-0.021424172,-7.819822871
US,Protein,pf_ns,CVD (deaths),NA,5106.976625
US,Protein,pf_ns,FL (mrh-eq),-0.005950074,-2.171776947
US,Protein,pf_ns,Food_price ($),-0.030636378,-11.18227802
US,Protein,pf_ns,GHG (kgCO2eq),-0.003827906,-1.397185681
US,Protein,pf_ns,WATER (litereq),-50.5047244,-18434.22441
US,Protein,pf_pm,BLUEWATER (L),0,0
US,Protein,pf_pm,Cancer (cases),NA,3983.37567
US,Protein,pf_pm,CED (mJ),0,0
US,Protein,pf_pm,CVD (deaths),NA,21506.27537
US,Protein,pf_pm,FL (mrh-eq),0,0
US,Protein,pf_pm,Food_price ($),-0.172375676,-62.91712156
US,Protein,pf_pm,GHG (kgCO2eq),0,0
US,Protein,pf_pm,WATER (litereq),0,0
US,Protein,pf_poultry,BLUEWATER (L),0,0
US,Protein,pf_poultry,CED (mJ),0,0
US,Protein,pf_poultry,FL (mrh-eq),0,0
US,Protein,pf_poultry,Food_price ($),-0.365850252,-133.5353422
US,Protein,pf_poultry,GHG (kgCO2eq),0,0
US,Protein,pf_poultry,WATER (litereq),0,0
US,Protein,pf_poultry_tot,BLUEWATER (L),-11.79090976,-4303.682064
US,Protein,pf_poultry_tot,CED (mJ),-0.36836226,-134.452225
US,Protein,pf_poultry_tot,FL (mrh-eq),-0.005520574,-2.015009683
US,Protein,pf_poultry_tot,Food_price ($),0,0
US,Protein,pf_poultry_tot,GHG (kgCO2eq),-0.05343481,-19.50370556
US,Protein,pf_poultry_tot,WATER (litereq),-25.31435935,-9239.741163
US,Protein,pf_redm,BLUEWATER (L),0,0
US,Protein,pf_redm,Cancer (cases),NA,2239.23646
US,Protein,pf_redm,CED (mJ),0,0
US,Protein,pf_redm,CVD (deaths),NA,8405.533154
US,Protein,pf_redm,FL (mrh-eq),0,0
US,Protein,pf_redm,Food_price ($),-0.608633651,-222.1512828
US,Protein,pf_redm,GHG (kgCO2eq),0,0
US,Protein,pf_redm,WATER (litereq),0,0
US,Protein,pf_redm_tot,BLUEWATER (L),-22.16190843,-8089.096578
US,Protein,pf_redm_tot,CED (mJ),-0.977362802,-356.7374227
US,Protein,pf_redm_tot,FL (mrh-eq),-0.032690218,-11.93192944
US,Protein,pf_redm_tot,Food_price ($),0,0
US,Protein,pf_redm_tot,GHG (kgCO2eq),-0.425179773,-155.1906171
US,Protein,pf_redm_tot,WATER (litereq),-125.8685875,-45942.03443
US,Protein,pf_seafood,BLUEWATER (L),1.146074837,418.3173154
US,Protein,pf_seafood,Cancer (cases),NA,0
US,Protein,pf_seafood,CED (mJ),3.440280705,1255.702457
US,Protein,pf_seafood,CVD (deaths),NA,6357.3118
US,Protein,pf_seafood,FL (mrh-eq),0.037922534,13.84172494
US,Protein,pf_seafood,Food_price ($),1.306176532,476.754434
US,Protein,pf_seafood,GHG (kgCO2eq),0.205303066,74.93561918
US,Protein,pf_seafood,WATER (litereq),7.916668643,2889.584055
US,Other,sat_fat,BLUEWATER (L),-15.16064708,-5533.636184
US,Other,sat_fat,CED (mJ),-0.851005967,-310.6171781
US,Other,sat_fat,FL (mrh-eq),-0.02218125,-8.096156197
US,Other,sat_fat,Food_price ($),-0.087358287,-31.88577485
US,Other,sat_fat,GHG (kgCO2eq),-0.23059451,-84.16699631
US,Other,sat_fat,WATER (litereq),-68.6115057,-25043.19958
US,Other,sodium,Cancer (cases),NA,0
US,Other,sodium,CVD (deaths),NA,42819.56138
US,Other,ssb,Cancer (cases),NA,337.8098978
US,Other,ssb,CVD (deaths),NA,7170.489463
US,Vegetable,veg_dg,BLUEWATER (L),2.673645101,975.8804619
US,Vegetable,veg_dg,CED (mJ),0.042991711,15.69197466
US,Vegetable,veg_dg,FL (mrh-eq),0.002277532,0.831299198
US,Vegetable,veg_dg,Food_price ($),0.074450515,27.17443791
US,Vegetable,veg_dg,GHG (kgCO2eq),0.00489469,1.786561836
US,Vegetable,veg_dg,WATER (litereq),33.45276706,12210.25998
US,Vegetable,veg_exc_sta,Cancer (cases),NA,3807.411578
US,Vegetable,veg_exc_sta,CVD (deaths),NA,19188.5382
US,Vegetable,veg_oth,BLUEWATER (L),0.560591444,204.615877
US,Vegetable,veg_oth,CED (mJ),0.009059715,3.306795976
US,Vegetable,veg_oth,FL (mrh-eq),5.39E-04,0.196571088
US,Vegetable,veg_oth,Food_price ($),0.066932602,24.4303999
US,Vegetable,veg_oth,GHG (kgCO2eq),9.16E-04,0.334182607
US,Vegetable,veg_oth,WATER (litereq),4.714333671,1720.73179
US,Vegetable,veg_ro,BLUEWATER (L),8.275476718,3020.549002
US,Vegetable,veg_ro,CED (mJ),0.466163613,170.1497186
US,Vegetable,veg_ro,FL (mrh-eq),0.019487532,7.112949176
US,Vegetable,veg_ro,Food_price ($),0.489992937,178.8474218
US,Vegetable,veg_ro,GHG (kgCO2eq),0.056179527,20.50552733
US,Vegetable,veg_ro,WATER (litereq),63.89811648,23322.81251
US,Vegetable,veg_sta,BLUEWATER (L),12.42428096,4534.862552
US,Vegetable,veg_sta,CED (mJ),0.319492394,116.6147238
US,Vegetable,veg_sta,FL (mrh-eq),0.005376536,1.96243565
US,Vegetable,veg_sta,Food_price ($),0.210069141,76.67523665
US,Vegetable,veg_sta,GHG (kgCO2eq),0.036153101,13.19588178
US,Vegetable,veg_sta,WATER (litereq),54.98825824,20070.71426
Veg,Other,added_sugar,BLUEWATER (L),-10.12393234,-3695.235303
Veg,Other,added_sugar,CED (mJ),-0.510550191,-186.3508198
Veg,Other,added_sugar,FL (mrh-eq),-0.023655533,-8.634269513
Veg,Other,added_sugar,Food_price ($),-0.830309819,-303.0630841
Veg,Other,added_sugar,GHG (kgCO2eq),-0.052516098,-19.16837588
Veg,Other,added_sugar,WATER (litereq),-37.41701386,-13657.21006
Veg,Dairy,dairy_cow,BLUEWATER (L),36.94068323,13483.34938
Veg,Dairy,dairy_cow,CED (mJ),2.978753915,1087.245179
Veg,Dairy,dairy_cow,FL (mrh-eq),0.067693057,24.70796587
Veg,Dairy,dairy_cow,Food_price ($),0,0
Veg,Dairy,dairy_cow,GHG (kgCO2eq),0.552956417,201.8290924
Veg,Dairy,dairy_cow,WATER (litereq),154.8028652,56503.04579
Veg,Dairy,dairy_soy,BLUEWATER (L),-0.022271246,-8.129004661
Veg,Dairy,dairy_soy,CED (mJ),-0.002901793,-1.059154474
Veg,Dairy,dairy_soy,FL (mrh-eq),-4.87E-04,-0.177702702
Veg,Dairy,dairy_soy,Food_price ($),0,0
Veg,Dairy,dairy_soy,GHG (kgCO2eq),-4.45E-04,-0.162579338
Veg,Dairy,dairy_soy,WATER (litereq),-0.038831223,-14.17339628
Veg,Dairy,dairy_tot,BLUEWATER (L),0,0
Veg,Dairy,dairy_tot,Cancer (cases),NA,10758.56047
Veg,Dairy,dairy_tot,CED (mJ),0,0
Veg,Dairy,dairy_tot,CVD (deaths),NA,0
Veg,Dairy,dairy_tot,FL (mrh-eq),0,0
Veg,Dairy,dairy_tot,Food_price ($),0.64755575,236.3578487
Veg,Dairy,dairy_tot,GHG (kgCO2eq),0,0
Veg,Dairy,dairy_tot,WATER (litereq),0,0
Veg,Fruit,fruit_exc_juice,BLUEWATER (L),60.97200676,22254.78247
Veg,Fruit,fruit_exc_juice,Cancer (cases),NA,5001.459795
Veg,Fruit,fruit_exc_juice,CED (mJ),0.990640951,361.5839472
Veg,Fruit,fruit_exc_juice,CVD (deaths),NA,39346.727
Veg,Fruit,fruit_exc_juice,FL (mrh-eq),0.060702503,22.15641348
Veg,Fruit,fruit_exc_juice,Food_price ($),1.523285648,555.9992613
Veg,Fruit,fruit_exc_juice,GHG (kgCO2eq),0.130127422,47.49650901
Veg,Fruit,fruit_exc_juice,WATER (litereq),451.032484,164626.8566
Veg,Fruit,fruit_juice,BLUEWATER (L),21.59944354,7883.796892
Veg,Fruit,fruit_juice,CED (mJ),0.533866061,194.8611123
Veg,Fruit,fruit_juice,FL (mrh-eq),0.033887752,12.36902946
Veg,Fruit,fruit_juice,Food_price ($),0.14907333,54.41176549
Veg,Fruit,fruit_juice,GHG (kgCO2eq),0.067557505,24.65848926
Veg,Fruit,fruit_juice,WATER (litereq),184.6671322,67403.50325
Veg,Grain,gr_refined,BLUEWATER (L),-30.12046282,-10993.96893
Veg,Grain,gr_refined,CED (mJ),-0.351383558,-128.2549986
Veg,Grain,gr_refined,FL (mrh-eq),-0.007946664,-2.90053218
Veg,Grain,gr_refined,Food_price ($),-1.043363882,-380.8278168
Veg,Grain,gr_refined,GHG (kgCO2eq),-0.061273241,-22.3647328
Veg,Grain,gr_refined,WATER (litereq),-94.70708489,-34568.08598
Veg,Grain,gr_whole,BLUEWATER (L),33.35312306,12173.88992
Veg,Grain,gr_whole,Cancer (cases),NA,29263.25896
Veg,Grain,gr_whole,CED (mJ),0.544128642,198.6069543
Veg,Grain,gr_whole,CVD (deaths),NA,50128.76481
Veg,Grain,gr_whole,FL (mrh-eq),0.009730101,3.551487011
Veg,Grain,gr_whole,Food_price ($),0.919950347,335.7818767
Veg,Grain,gr_whole,GHG (kgCO2eq),0.086061224,31.41234658
Veg,Grain,gr_whole,WATER (litereq),154.7651516,56489.28035
Veg,Protein,leg_tot,BLUEWATER (L),27.45978004,10022.81972
Veg,Protein,leg_tot,Cancer (cases),NA,13214.97309
Veg,Protein,leg_tot,CED (mJ),0.463388335,169.1367422
Veg,Protein,leg_tot,CVD (deaths),NA,43246.50218
Veg,Protein,leg_tot,FL (mrh-eq),0.019203885,7.009417988
Veg,Protein,leg_tot,Food_price ($),0.527473824,192.5279458
Veg,Protein,leg_tot,GHG (kgCO2eq),0.077168766,28.16659942
Veg,Protein,leg_tot,WATER (litereq),113.626505,41473.67432
Veg,Other,oil,BLUEWATER (L),-0.282553257,-103.131939
Veg,Other,oil,CED (mJ),-0.009122979,-3.329887229
Veg,Other,oil,FL (mrh-eq),-3.56E-04,-0.129981021
Veg,Other,oil,Food_price ($),-0.006968464,-2.543489302
Veg,Other,oil,GHG (kgCO2eq),-0.001115577,-0.407185565
Veg,Other,oil,WATER (litereq),-0.788346469,-287.7464614
Veg,Protein,pf_egg,BLUEWATER (L),-5.276214059,-1925.818131
Veg,Protein,pf_egg,CED (mJ),-0.269718883,-98.44739236
Veg,Protein,pf_egg,FL (mrh-eq),-0.003903975,-1.424950952
Veg,Protein,pf_egg,Food_price ($),-0.337095543,-123.0398733
Veg,Protein,pf_egg,GHG (kgCO2eq),-0.044020175,-16.06736388
Veg,Protein,pf_egg,WATER (litereq),-12.10742676,-4419.210769
Veg,Protein,pf_ns,BLUEWATER (L),13.60090209,4964.329262
Veg,Protein,pf_ns,Cancer (cases),NA,620.0246552
Veg,Protein,pf_ns,CED (mJ),0.037222923,13.58636682
Veg,Protein,pf_ns,CVD (deaths),NA,38360.25371
Veg,Protein,pf_ns,FL (mrh-eq),0.008600445,3.139162448
Veg,Protein,pf_ns,Food_price ($),0.063969219,23.34876504
Veg,Protein,pf_ns,GHG (kgCO2eq),0.006411194,2.340085925
Veg,Protein,pf_ns,WATER (litereq),79.38310878,28974.8347
Veg,Protein,pf_pm,BLUEWATER (L),0,0
Veg,Protein,pf_pm,Cancer (cases),NA,14009.08977
Veg,Protein,pf_pm,CED (mJ),0,0
Veg,Protein,pf_pm,CVD (deaths),NA,66719.149
Veg,Protein,pf_pm,FL (mrh-eq),0,0
Veg,Protein,pf_pm,Food_price ($),-0.856672421,-312.6854337
Veg,Protein,pf_pm,GHG (kgCO2eq),0,0
Veg,Protein,pf_pm,WATER (litereq),0,0
Veg,Protein,pf_poultry,BLUEWATER (L),0,0
Veg,Protein,pf_poultry,CED (mJ),0,0
Veg,Protein,pf_poultry,FL (mrh-eq),0,0
Veg,Protein,pf_poultry,Food_price ($),-1.660974622,-606.2557372
