diet_pattern,food_group,outcome,impact_median,impact_sum,prop
Veg,dairy_soy,GHG (kgCO2eq),-4.4542284513542e-4,-1.9263758304808742,0.023122323177416044
Veg,dairy_tot,GHG (kgCO2eq),0,-1.9263758304808742,-0
Veg,fruit_exc_juice,GHG (kgCO2eq),0.130127421932688,-1.9263758304808742,-6.7550381329382
Veg,fruit_juice,GHG (kgCO2eq),0.0675575048299456,-1.9263758304808742,-3.5069742757871643
Veg,gr_refined,GHG (kgCO2eq),-0.0612732405458549,-1.9263758304808742,3.1807521448480527
Veg,gr_whole,GHG (kgCO2eq),0.0860612235026871,-1.9263758304808742,-4.467519896219003
Veg,leg_tot,GHG (kgCO2eq),0.0771687655353171,-1.9263758304808742,-4.005903952607925
Veg,oil,GHG (kgCO2eq),-0.0011155768898147,-1.9263758304808742,0.05791065648577114
Veg,pf_egg,GHG (kgCO2eq),-0.0440201750021785,-1.9263758304808742,2.2851291168447596
Veg,pf_ns,GHG (kgCO2eq),0.00641119431477382,-1.9263758304808742,-0.33281118945379506
Veg,pf_pm,GHG (kgCO2eq),0,-1.9263758304808742,-0
Veg,pf_poultry,GHG (kgCO2eq),0,-1.9263758304808742,-0
Veg,pf_poultry_tot,GHG (kgCO2eq),-0.258911588468751,-1.9263758304808742,13.440346601738657
Veg,pf_redm,GHG (kgCO2eq),0,-1.9263758304808742,-0
Veg,pf_redm_tot,GHG (kgCO2eq),-2.07169546740789,-1.9263758304808742,107.54368045049341
Veg,pf_seafood,GHG (kgCO2eq),-0.234405862943491,-1.9263758304808742,12.168231101870559
Veg,sat_fat,GHG (kgCO2eq),-0.22032145378689,-1.9263758304808742,11.437096038102386
Veg,veg_dg,GHG (kgCO2eq),0.00491262830721663,-1.9263758304808742,-0.2550192039105011
Veg,veg_oth,GHG (kgCO2eq),8.3407651866284e-4,-1.9263758304808742,-0.04329770470877599
Veg,veg_ro,GHG (kgCO2eq),0.0561745680125573,-1.9263758304808742,-2.9160752083633983
Veg,veg_sta,GHG (kgCO2eq),0.0361252553301376,-1.9263758304808742,-1.8752963341073368
Vegan,added_sugar,GHG (kgCO2eq),-0.0524951272095489,-2.904866980443461,1.807143926484886
Vegan,dairy_cow,GHG (kgCO2eq),-0.47230362652029,-2.904866980443461,16.259044896031263
Vegan,dairy_soy,GHG (kgCO2eq),0.143105553913287,-2.904866980443461,-4.92640643708375
Vegan,dairy_tot,GHG (kgCO2eq),0,-2.904866980443461,-0
Vegan,fruit_exc_juice,GHG (kgCO2eq),0.130046516884806,-2.904866980443461,-4.476849293283403
Vegan,fruit_juice,GHG (kgCO2eq),0.0675726706734255,-2.904866980443461,-2.3261881224974292
Vegan,gr_refined,GHG (kgCO2eq),-0.0612411947105804,-2.904866980443461,2.1082271623064557
Vegan,gr_whole,GHG (kgCO2eq),0.086034145634841,-2.904866980443461,-2.9617241069574525
Vegan,leg_tot,GHG (kgCO2eq),0.0862092617799085,-2.904866980443461,-2.9677524774903006
Vegan,oil,GHG (kgCO2eq),-0.00109816442163304,-2.904866980443461,0.037804292899683574
Vegan,pf_egg,GHG (kgCO2eq),-0.153384951874816,-2.904866980443461,5.28027454983154
Vegan,pf_ns,GHG (kgCO2eq),0.0102508812973285,-2.904866980443461,-0.3528864270323176
Vegan,pf_pm,GHG (kgCO2eq),0,-2.904866980443461,-0
Vegan,pf_poultry,GHG (kgCO2eq),0,-2.904866980443461,-0
Vegan,pf_poultry_tot,GHG (kgCO2eq),-0.258868639345885,-2.904866980443461,8.911548827835338
Vegan,pf_redm,GHG (kgCO2eq),0,-2.904866980443461,-0
Vegan,pf_redm_tot,GHG (kgCO2eq),-2.07184807172779,-2.904866980443461,71.32333720188106
Vegan,pf_seafood,GHG (kgCO2eq),-0.234236547080607,-2.904866980443461,8.063589439983518
Vegan,sat_fat,GHG (kgCO2eq),-0.22057275174126,-2.904866980443461,7.593213500866986
Vegan,veg_dg,GHG (kgCO2eq),0.00487486020088518,-2.904866980443461,-0.16781698555232907
Vegan,veg_oth,GHG (kgCO2eq),7.9804027067097e-4,-2.904866980443461,-0.027472523734947067
Vegan,veg_ro,GHG (kgCO2eq),0.0561363288883445,-2.904866980443461,-1.9324922368656845
Vegan,veg_sta,GHG (kgCO2eq),0.0361538346454525,-2.904866980443461,-1.2445951876231252
