diet_pattern,food_group,outcome,impact_median_year,my_sum,my_prop
US,dairy_soy,CED (mJ),-1.0779529664252383,2192.143243189986,-0.04917347302800392
US,dairy_tot,CED (mJ),0,2192.143243189986,0
US,fruit_exc_juice,CED (mJ),361.159140577345,2192.143243189986,16.475161543357434
US,fruit_juice,CED (mJ),194.98398635717916,2192.143243189986,8.89467360141303
US,gr_refined,CED (mJ),-128.27015444896503,2192.143243189986,-5.851358247114705
US,gr_whole,CED (mJ),160.65909626749058,2192.143243189986,7.328859405816063
US,leg_tot,CED (mJ),26.1645762762178,2192.143243189986,1.1935614316035004
US,oil,CED (mJ),-3.351631090516256,2192.143243189986,-0.15289288694652062
US,pf_egg,CED (mJ),-70.03668613462466,2192.143243189986,-3.1948955138856685
US,pf_ns,CED (mJ),-7.8198228706085855,2192.143243189986,-0.3567204330693853
US,pf_pm,CED (mJ),0,2192.143243189986,0
US,pf_poultry,CED (mJ),0,2192.143243189986,0
US,pf_poultry_tot,CED (mJ),-134.45222504754722,2192.143243189986,-6.13336858643843
US,pf_redm,CED (mJ),0,2192.143243189986,0
US,pf_redm_tot,CED (mJ),-356.7374227369839,2192.143243189986,-16.273454020179035
US,pf_seafood,CED (mJ),1255.702457310787,2192.143243189986,57.28195277437712
US,sat_fat,CED (mJ),-310.61717806390214,2192.143243189986,-14.169565744795717
US,veg_dg,CED (mJ),15.6919746594159,2192.143243189986,0.7158279783113574
US,veg_oth,CED (mJ),3.3067959756774146,2192.143243189986,0.15084762302601157
US,veg_ro,CED (mJ),170.14971861247872,2192.143243189986,7.761797461961402
US,veg_sta,CED (mJ),116.61472379560841,2192.143243189986,5.319667141181512
US,dairy_tot,CVD (deaths),0,209923.31621043666,0
US,fruit_exc_juice,CVD (deaths),39346.7270002041,209923.31621043666,18.743381016695235
US,gr_whole,CVD (deaths),50128.7648128309,209923.31621043666,23.87956026884577
US,leg_tot,CVD (deaths),9893.13840012968,209923.31621043666,4.712739193874181
US,pf_ns,CVD (deaths),5106.97662480966,209923.31621043666,2.432781987728412
US,pf_pm,CVD (deaths),21506.2753686045,209923.31621043666,10.244824518228187
US,pf_redm,CVD (deaths),8405.53315435494,209923.31621043666,4.004096975072961
US,pf_seafood,CVD (deaths),6357.31179999595,209923.31621043666,3.0283971855813734
US,sodium,CVD (deaths),42819.5613826702,209923.31621043666,20.39771577338552
US,ssb,CVD (deaths),7170.48946306813,209923.31621043666,3.415766096168234
US,veg_exc_sta,CVD (deaths),19188.5382037686,209923.31621043666,9.140736984420128
US,added_sugar,Food_price ($),-304.38798076368926,697.5968972511714,-43.63379223203363
US,dairy_cow,Food_price ($),0,697.5968972511714,0
US,dairy_soy,Food_price ($),0,697.5968972511714,0
US,dairy_tot,Food_price ($),236.3111626832101,697.5968972511714,33.875030639381656
US,fruit_exc_juice,Food_price ($),555.6622484155922,697.5968972511714,79.65377291744528
US,fruit_juice,Food_price ($),54.442739286392914,697.5968972511714,7.804326467179036
US,gr_refined,Food_price ($),-380.70363941821677,697.5968972511714,-54.57358553605257
US,gr_whole,Food_price ($),271.8289844117271,697.5968972511714,38.96648415192914
US,leg_tot,Food_price ($),30.34823674770337,697.5968972511714,4.350397323624622
US,oil,Food_price ($),-2.5557202503546588,697.5968972511714,-0.36636061032170353
US,pf_egg,Food_price ($),-85.55926478691174,697.5968972511714,-12.264857416088237
US,pf_ns,Food_price ($),-11.182278015544846,697.5968972511714,-1.6029712946843342
US,pf_pm,Food_price ($),-62.91712156222055,697.5968972511714,-9.019122907533102
US,pf_poultry,Food_price ($),-133.53534215419734,697.5968972511714,-19.142192673216208
US,pf_poultry_tot,Food_price ($),0,697.5968972511714,0
US,pf_redm,Food_price ($),-222.15128279702037,697.5968972511714,-31.8452223156942
US,pf_redm_tot,Food_price ($),0,697.5968972511714,0
US,pf_seafood,Food_price ($),476.754434025605,697.5968972511714,68.34239600322483
US,sat_fat,Food_price ($),-31.885774848203006,697.5968972511714,-4.5708022747587504
US,veg_dg,Food_price ($),27.174437911929605,697.5968972511714,3.8954356045745695
US,veg_oth,Food_price ($),24.430399896236548,697.5968972511714,3.5020797816765983
US,veg_ro,Food_price ($),178.8474218229825,697.5968972511714,25.63764582780076
US,veg_sta,Food_price ($),76.6752366461506,697.5968972511714,10.99133854354623
US,added_sugar,GHG (kgCO2eq),-19.257731063195564,100.71361402695786,-19.12127893458463
US,dairy_cow,GHG (kgCO2eq),201.8373937340721,100.71361402695786,200.40725941981052
US,dairy_soy,GHG (kgCO2eq),-0.16546489151933635,100.71361402695786,-0.16429247735568958
US,dairy_tot,GHG (kgCO2eq),0,100.71361402695786,0
US,fruit_exc_juice,GHG (kgCO2eq),47.442715301281076,100.71361402695786,47.10655630785145
US,fruit_juice,GHG (kgCO2eq),24.670348150079807,100.71361402695786,24.495544508487534
US,gr_refined,GHG (kgCO2eq),-22.366895066752573,100.71361402695786,-22.20841271842917
US,gr_whole,GHG (kgCO2eq),25.39687072969973,100.71361402695786,25.216919256717162
US,leg_tot,GHG (kgCO2eq),4.497364304667854,100.71361402695786,4.465497885384245
US,oil,GHG (kgCO2eq),-0.4097349317750335,100.71361402695786,-0.4068317235298104
US,pf_egg,GHG (kgCO2eq),-11.430520340425415,100.71361402695786,-11.349528512963328
US,pf_ns,GHG (kgCO2eq),-1.3971856813123358,100.71361402695786,-1.3872858151414895
US,pf_pm,GHG (kgCO2eq),0,100.71361402695786,0
US,pf_poultry,GHG (kgCO2eq),0,100.71361402695786,0
US,pf_poultry_tot,GHG (kgCO2eq),-19.50370555538842,100.71361402695786,-19.365510555671147
US,pf_redm,GHG (kgCO2eq),0,100.71361402695786,0
US,pf_redm_tot,GHG (kgCO2eq),-155.19061708856188,100.71361402695786,-154.0910020834147
US,pf_seafood,GHG (kgCO2eq),74.93561918197416,100.71361402695786,74.40465711211223
US,sat_fat,GHG (kgCO2eq),-84.1669963074048,100.71361402695786,-83.57062460778734
US,veg_dg,GHG (kgCO2eq),1.7865618361515678,100.71361402695786,1.773903015408981
US,veg_oth,GHG (kgCO2eq),0.33418260657586274,100.71361402695786,0.3318147301182267
US,veg_ro,GHG (kgCO2eq),20.50552732691668,100.71361402695786,20.360233842296633
