subgroup_id,type,CancerSites,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
28,Incidence,Lung and Bronchus,2013,Male,Age_over65,Non-hispanic Black,6554,1542829,424.804,12.095
29,Incidence,Lung and Bronchus,2013,Female,Age_over65,Hispanic,2567,1814268,141.49,7.982
30,Incidence,Lung and Bronchus,2013,Male,Age_over65,Hispanic,3241,1372344,236.165,13.406
31,Incidence,Lung and Bronchus,2013,Female,Age_over65,Other,1862,1154945,161.22,13.424
32,Incidence,Lung and Bronchus,2013,Male,Age_over65,Other,2302,891473,258.224,19.915
1,Incidence,Colon and Rectum,2013,Female,Age_2044,Non-hispanic White,2234,30600000,7.313,0.346
2,Incidence,Colon and Rectum,2013,Male,Age_2044,Non-hispanic White,2421,31200000,7.764,0.355
3,Incidence,Colon and Rectum,2013,Female,Age_2044,Non-hispanic Black,524,7484062,7.002,0.704
4,Incidence,Colon and Rectum,2013,Male,Age_2044,Non-hispanic Black,504,5220310,9.655,0.876
5,Incidence,Colon and Rectum,2013,Female,Age_2044,Hispanic,434,7460428,5.817,0.581
6,Incidence,Colon and Rectum,2013,Male,Age_2044,Hispanic,508,10300000,4.919,0.518
7,Incidence,Colon and Rectum,2013,Female,Age_2044,Other,170,2313673,7.348,0.981
8,Incidence,Colon and Rectum,2013,Male,Age_2044,Other,190,2771290,6.856,1.003
9,Incidence,Colon and Rectum,2013,Female,Age_4554,Non-hispanic White,5547,14700000,37.657,0.709
10,Incidence,Colon and Rectum,2013,Male,Age_4554,Non-hispanic White,7162,14500000,49.265,0.816
11,Incidence,Colon and Rectum,2013,Female,Age_4554,Non-hispanic Black,1446,2885488,50.113,1.86
12,Incidence,Colon and Rectum,2013,Male,Age_4554,Non-hispanic Black,1511,2549908,59.257,2.153
13,Incidence,Colon and Rectum,2013,Female,Age_4554,Hispanic,895,2783977,32.148,1.862
14,Incidence,Colon and Rectum,2013,Male,Age_4554,Hispanic,967,2829508,34.176,1.901
15,Incidence,Colon and Rectum,2013,Female,Age_4554,Other,439,1439250,30.502,3.138
16,Incidence,Colon and Rectum,2013,Male,Age_4554,Other,563,1277639,44.066,3.777
17,Incidence,Colon and Rectum,2013,Female,Age_5564,Non-hispanic White,8473,14700000,57.791,0.891
18,Incidence,Colon and Rectum,2013,Male,Age_5564,Non-hispanic White,11785,14000000,84.274,1.103
19,Incidence,Colon and Rectum,2013,Female,Age_5564,Non-hispanic Black,2029,2394848,84.724,2.675
20,Incidence,Colon and Rectum,2013,Male,Age_5564,Non-hispanic Black,2439,2000803,121.901,3.524
21,Incidence,Colon and Rectum,2013,Female,Age_5564,Hispanic,1020,1850134,55.131,2.847
22,Incidence,Colon and Rectum,2013,Male,Age_5564,Hispanic,1468,1698932,86.407,3.826
23,Incidence,Colon and Rectum,2013,Female,Age_5564,Other,606,1178370,51.427,4.453
24,Incidence,Colon and Rectum,2013,Male,Age_5564,Other,800,987955,80.975,5.906
25,Incidence,Colon and Rectum,2013,Female,Age_over65,Non-hispanic White,31237,19500000,159.861,2.112
26,Incidence,Colon and Rectum,2013,Male,Age_over65,Non-hispanic White,30471,15600000,195.754,2.663
27,Incidence,Colon and Rectum,2013,Female,Age_over65,Non-hispanic Black,3921,2329909,168.29,6.237
28,Incidence,Colon and Rectum,2013,Male,Age_over65,Non-hispanic Black,3568,1542829,231.264,9.124
29,Incidence,Colon and Rectum,2013,Female,Age_over65,Hispanic,2305,1776878,129.722,7.021
30,Incidence,Colon and Rectum,2013,Male,Age_over65,Hispanic,2606,1320113,197.407,9.069
31,Incidence,Colon and Rectum,2013,Female,Age_over65,Other,1326,1154945,114.811,11.406
32,Incidence,Colon and Rectum,2013,Male,Age_over65,Other,1405,881859,159.323,14.279
1,Incidence,Female Breast,2013,Female,Age_2044,Non-hispanic White,13757,30600000,45.031,0.858
2,Incidence,Female Breast,2013,Male,Age_2044,Non-hispanic White,0,0,0,0
3,Incidence,Female Breast,2013,Female,Age_2044,Non-hispanic Black,3297,7484062,44.054,1.772
4,Incidence,Female Breast,2013,Male,Age_2044,Non-hispanic Black,0,0,0,0
5,Incidence,Female Breast,2013,Female,Age_2044,Hispanic,3068,9562112,32.085,1.697
6,Incidence,Female Breast,2013,Male,Age_2044,Hispanic,0,0,0,0
7,Incidence,Female Breast,2013,Female,Age_2044,Other,1630,3323973,49.038,3.361
8,Incidence,Female Breast,2013,Male,Age_2044,Other,0,0,0,0
9,Incidence,Female Breast,2013,Female,Age_4554,Non-hispanic White,30658,14700000,208.129,1.677
10,Incidence,Female Breast,2013,Male,Age_4554,Non-hispanic White,0,0,0,0
11,Incidence,Female Breast,2013,Female,Age_4554,Non-hispanic Black,5856,2885488,202.947,3.747
12,Incidence,Female Breast,2013,Male,Age_4554,Non-hispanic Black,0,0,0,0
13,Incidence,Female Breast,2013,Female,Age_4554,Hispanic,4405,2908240,151.466,4.945
14,Incidence,Female Breast,2013,Male,Age_4554,Hispanic,0,0,0,0
15,Incidence,Female Breast,2013,Female,Age_4554,Other,2527,1439250,175.578,6.795
16,Incidence,Female Breast,2013,Male,Age_4554,Other,0,0,0,0
17,Incidence,Female Breast,2013,Female,Age_5564,Non-hispanic White,43320,14700000,295.467,2.015
18,Incidence,Female Breast,2013,Male,Age_5564,Non-hispanic White,0,0,0,0
19,Incidence,Female Breast,2013,Female,Age_5564,Non-hispanic Black,6939,2394848,289.747,4.945
20,Incidence,Female Breast,2013,Male,Age_5564,Non-hispanic Black,0,0,0,0
21,Incidence,Female Breast,2013,Female,Age_5564,Hispanic,4178,1905282,219.285,6.906
22,Incidence,Female Breast,2013,Male,Age_5564,Hispanic,0,0,0,0
23,Incidence,Female Breast,2013,Female,Age_5564,Other,2523,1178370,214.109,8.593
24,Incidence,Female Breast,2013,Male,Age_5564,Other,0,0,0,0
25,Incidence,Female Breast,2013,Female,Age_over65,Non-hispanic White,82675,19500000,423.103,3.276
26,Incidence,Female Breast,2013,Male,Age_over65,Non-hispanic White,0,0,0,0
27,Incidence,Female Breast,2013,Female,Age_over65,Non-hispanic Black,9118,2329909,391.346,9.104
28,Incidence,Female Breast,2013,Male,Age_over65,Non-hispanic Black,0,0,0,0
29,Incidence,Female Breast,2013,Female,Age_over65,Hispanic,5559,1831297,303.555,11.967
30,Incidence,Female Breast,2013,Male,Age_over65,Hispanic,0,0,0,0
31,Incidence,Female Breast,2013,Female,Age_over65,Other,3058,1154945,264.775,15.671
32,Incidence,Female Breast,2013,Male,Age_over65,Other,0,0,0,0
1,Incidence,Gallbladder,2013,Female,Age_2044,Non-hispanic White,0,12500000,0,0
2,Incidence,Gallbladder,2013,Male,Age_2044,Non-hispanic White,0,6593248,0,0
3,Incidence,Gallbladder,2013,Female,Age_2044,Non-hispanic Black,0,1763629,0,0
4,Incidence,Gallbladder,2013,Male,Age_2044,Non-hispanic Black,0,3226343,0,0
5,Incidence,Gallbladder,2013,Female,Age_2044,Hispanic,0,2786739,0,0
6,Incidence,Gallbladder,2013,Male,Age_2044,Hispanic,0,3270031,0,0
7,Incidence,Gallbladder,2013,Female,Age_2044,Other,0,1043574,0,0
8,Incidence,Gallbladder,2013,Male,Age_2044,Other,0,1775294,0,0
9,Incidence,Gallbladder,2013,Female,Age_4554,Non-hispanic White,74,14700000,0.502,0.081
