diet_pattern,subgroup,Age_label,Sex_label,Race_label,food_group,disease,pathway,median,median_LB,median_UB
Med,1,20-34,Female,NHW,gr_whole,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,Cancer,direct,2.84158049417593,1.25773335969853,4.90288911706105
Med,1,20-34,Female,NHW,leg_tot,Cancer,medBMI,8.20384130215096,5.01329619628221,12.6220025015234
Med,1,20-34,Female,NHW,leg_tot,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,DIAB,direct,0,0,0
Med,1,20-34,Female,NHW,leg_tot,DIAB,medBMI,3.04834743268137,1.38120631840422,5.29286412187601
Med,1,20-34,Female,NHW,leg_tot,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,leg_tot,HHD,medBMI,0.67624176028881,0,2.14734176299984
Med,1,20-34,Female,NHW,leg_tot,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,HSTK,direct,1.32671499987166,0.263577730722393,2.68925992732575
Med,1,20-34,Female,NHW,leg_tot,HSTK,medBMI,0.301501439885218,0.146310410758367,0.547175178228054
Med,1,20-34,Female,NHW,leg_tot,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,IHD,direct,1.50489723227814,0.503432121889057,2.70182874598547
Med,1,20-34,Female,NHW,leg_tot,IHD,medBMI,1.20488392193652,0.599099566871539,2.05966768903658
Med,1,20-34,Female,NHW,leg_tot,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,ISTK,direct,1.40552829164228,0.507656793454926,2.64419683904655
Med,1,20-34,Female,NHW,leg_tot,ISTK,medBMI,0.388929063501336,0.178111469190136,0.682329607656061
Med,1,20-34,Female,NHW,leg_tot,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,OSTK,direct,0.718511639904996,0.278110472451898,1.32518632335603
Med,1,20-34,Female,NHW,leg_tot,OSTK,medBMI,0.163884279616686,0.0725311125719306,0.317867729605126
Med,1,20-34,Female,NHW,leg_tot,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,leg_tot,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,leg_tot,Other_CVD,medBMI,3.2780043780904,2.25144848823149,4.59979612500485
Med,1,20-34,Female,NHW,leg_tot,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,Cancer,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,Cancer,medBMI,0,0,1.10135986038915
Med,1,20-34,Female,NHW,pf_ns,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,DIAB,direct,0,0,4.80245459304965
Med,1,20-34,Female,NHW,pf_ns,DIAB,medBMI,0,0,0.444032174935644
Med,1,20-34,Female,NHW,pf_ns,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,HHD,medBMI,0,0,0.110111911650775
Med,1,20-34,Female,NHW,pf_ns,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,HSTK,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,HSTK,medBMI,0,0,0.0452317078096739
Med,1,20-34,Female,NHW,pf_ns,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,IHD,direct,0,0,14.0392400206141
Med,1,20-34,Female,NHW,pf_ns,IHD,medBMI,0,0,0.161243989343584
Med,1,20-34,Female,NHW,pf_ns,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,ISTK,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,ISTK,medBMI,0,0,0.0596850012795333
Med,1,20-34,Female,NHW,pf_ns,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,OSTK,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,OSTK,medBMI,0,0,0.0234345630021944
Med,1,20-34,Female,NHW,pf_ns,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_ns,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_ns,Other_CVD,medBMI,0,0,0.473655220510188
Med,1,20-34,Female,NHW,pf_ns,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,Cancer,direct,6.30295767495697,0,19.1874636294116
Med,1,20-34,Female,NHW,pf_pm,Cancer,medBMI,0.71397185000553,0,2.10219919936307
Med,1,20-34,Female,NHW,pf_pm,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,DIAB,direct,7.17543929914456,0,19.1823774178238
Med,1,20-34,Female,NHW,pf_pm,DIAB,medBMI,0.259657195772815,0,0.840584277685865
Med,1,20-34,Female,NHW,pf_pm,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_pm,HHD,medBMI,0.0438234071598951,0,0.30432790179386
Med,1,20-34,Female,NHW,pf_pm,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,HSTK,direct,0,0,0
Med,1,20-34,Female,NHW,pf_pm,HSTK,medBMI,0.0254405395525042,0,0.0844732636707178
Med,1,20-34,Female,NHW,pf_pm,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,IHD,direct,4.098474903685,0,13.1528209530179
Med,1,20-34,Female,NHW,pf_pm,IHD,medBMI,0.0988711303936849,0,0.321172743019312
Med,1,20-34,Female,NHW,pf_pm,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,ISTK,direct,0.332618441119811,0,1.35122416063205
Med,1,20-34,Female,NHW,pf_pm,ISTK,medBMI,0.0346161812879079,0,0.108465173209788
Med,1,20-34,Female,NHW,pf_pm,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,OSTK,direct,0.0486999558896115,0,0.213889982438202
Med,1,20-34,Female,NHW,pf_pm,OSTK,medBMI,0.0137857080272887,0,0.0468244228051428
Med,1,20-34,Female,NHW,pf_pm,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_pm,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_pm,Other_CVD,medBMI,0.277703378230649,0,0.80519394654462
Med,1,20-34,Female,NHW,pf_pm,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,Cancer,direct,0,0,5.32195272365072
Med,1,20-34,Female,NHW,pf_redm,Cancer,medBMI,0,0,0.85817703579733
Med,1,20-34,Female,NHW,pf_redm,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,DIAB,direct,0,0,2.23655289634312
Med,1,20-34,Female,NHW,pf_redm,DIAB,medBMI,0,0,0.354364457950434
Med,1,20-34,Female,NHW,pf_redm,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_redm,HHD,medBMI,0,0,0.0892561188550139
Med,1,20-34,Female,NHW,pf_redm,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,HSTK,direct,0,0,0.892461196767101
Med,1,20-34,Female,NHW,pf_redm,HSTK,medBMI,0,0,0.0320358394121594
Med,1,20-34,Female,NHW,pf_redm,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,IHD,direct,0,0,1.38401531748752
Med,1,20-34,Female,NHW,pf_redm,IHD,medBMI,0,0,0.126192128576896
Med,1,20-34,Female,NHW,pf_redm,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,ISTK,direct,0,0,0.942703813012391
Med,1,20-34,Female,NHW,pf_redm,ISTK,medBMI,0,0,0.0405036001694537
Med,1,20-34,Female,NHW,pf_redm,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,OSTK,direct,0,0,0.461085673055885
Med,1,20-34,Female,NHW,pf_redm,OSTK,medBMI,0,0,0.0168977292203243
Med,1,20-34,Female,NHW,pf_redm,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_redm,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_redm,Other_CVD,medBMI,0,0,0.360812912261994
Med,1,20-34,Female,NHW,pf_redm,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Cancer,direct,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Cancer,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,DIAB,direct,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,DIAB,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,HHD,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,HSTK,direct,2.5466791606217,0.139256494257365,5.46335660161318
Med,1,20-34,Female,NHW,pf_seafood,HSTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,IHD,direct,8.00185647392266,0,16.6223514354993
Med,1,20-34,Female,NHW,pf_seafood,IHD,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,ISTK,direct,2.54658215740619,0,5.75737092229009
Med,1,20-34,Female,NHW,pf_seafood,ISTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,OSTK,direct,1.40560739532298,0.367637458170465,2.7281150711748
Med,1,20-34,Female,NHW,pf_seafood,OSTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Other_CVD,medBMI,0,0,0
Med,1,20-34,Female,NHW,pf_seafood,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,sodium,Cancer,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,Cancer,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,sodium,DIAB,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,DIAB,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,sodium,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,HHD,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,HHD,medSBP,1.75911270020046,0.0269415811897135,4.36293558617913
Med,1,20-34,Female,NHW,sodium,HSTK,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,HSTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,HSTK,medSBP,0.714029160166944,0.00791855234666411,1.85582888567942
Med,1,20-34,Female,NHW,sodium,IHD,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,IHD,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,IHD,medSBP,2.08705045312425,0.0148038400181392,6.04086583761521
Med,1,20-34,Female,NHW,sodium,ISTK,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,ISTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,ISTK,medSBP,0.795956708146452,0.00373398510976117,2.12588582833909
Med,1,20-34,Female,NHW,sodium,OSTK,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,OSTK,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,OSTK,medSBP,0.411583593296501,0.00389628401558171,1.11043301007536
Med,1,20-34,Female,NHW,sodium,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,sodium,Other_CVD,medBMI,0,0,0
Med,1,20-34,Female,NHW,sodium,Other_CVD,medSBP,2.96386232575844,0.98509602980509,5.56479620697634
Med,1,20-34,Female,NHW,ssb,Cancer,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,Cancer,medBMI,2.66813523492293,0,9.53898234614509
Med,1,20-34,Female,NHW,ssb,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,DIAB,direct,8.50552541803204,0,26.6560542469177
Med,1,20-34,Female,NHW,ssb,DIAB,medBMI,1.04313830084604,0,3.79539430444636
Med,1,20-34,Female,NHW,ssb,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,HHD,medBMI,0.164399171118526,0,1.32531390082739
Med,1,20-34,Female,NHW,ssb,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,HSTK,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,HSTK,medBMI,0.0969469763795853,0,0.373016832996165
Med,1,20-34,Female,NHW,ssb,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,IHD,direct,7.0536385511639,0,20.4711806959366
Med,1,20-34,Female,NHW,ssb,IHD,medBMI,0.390298424019927,0,1.38774541258768
Med,1,20-34,Female,NHW,ssb,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,ISTK,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,ISTK,medBMI,0.12840172825427,0,0.469538534775569
Med,1,20-34,Female,NHW,ssb,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,OSTK,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,OSTK,medBMI,0.0490840257153109,0,0.203079937760883
Med,1,20-34,Female,NHW,ssb,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,ssb,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,ssb,Other_CVD,medBMI,1.11181238222087,0,3.6435132347018
Med,1,20-34,Female,NHW,ssb,Other_CVD,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,Cancer,direct,9.0951445477996,4.18852750406759,17.1322289144761
Med,1,20-34,Female,NHW,veg_exc_sta,Cancer,medBMI,1.81483087703959,0.922750698868146,3.00510306876091
Med,1,20-34,Female,NHW,veg_exc_sta,Cancer,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,DIAB,direct,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,DIAB,medBMI,0.67919078954119,0.286299232784572,1.31900264171568
Med,1,20-34,Female,NHW,veg_exc_sta,DIAB,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,HHD,direct,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,HHD,medBMI,0.145046232683123,5.4219400015789e-4,0.464417792952896
Med,1,20-34,Female,NHW,veg_exc_sta,HHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,HSTK,direct,4.53475925308856,1.04166185105732,9.52834271232952
Med,1,20-34,Female,NHW,veg_exc_sta,HSTK,medBMI,0.0657579206527834,0.0273662857464229,0.130156035420823
Med,1,20-34,Female,NHW,veg_exc_sta,HSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,IHD,direct,4.89541800394741,1.64919384903407,9.12047701863506
Med,1,20-34,Female,NHW,veg_exc_sta,IHD,medBMI,0.261501792425307,0.115896514293304,0.450424255006875
Med,1,20-34,Female,NHW,veg_exc_sta,IHD,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,ISTK,direct,4.74196655882773,1.8034018204525,9.01272464621908
Med,1,20-34,Female,NHW,veg_exc_sta,ISTK,medBMI,0.0870474230513255,0.0375682823793925,0.166011276099582
Med,1,20-34,Female,NHW,veg_exc_sta,ISTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,OSTK,direct,2.50801158480664,0.933433138595541,4.71338681423542
Med,1,20-34,Female,NHW,veg_exc_sta,OSTK,medBMI,0.0353824997897291,0.0142332341802301,0.0710857495757984
Med,1,20-34,Female,NHW,veg_exc_sta,OSTK,medSBP,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,Other_CVD,direct,0,0,0
Med,1,20-34,Female,NHW,veg_exc_sta,Other_CVD,medBMI,0.726580016352039,0.403114493651922,1.13689674776713
Med,1,20-34,Female,NHW,veg_exc_sta,Other_CVD,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,Cancer,direct,7.06331251247469,4.27567206747136,10.6717689248907
Med,2,20-34,Female,NHB,dairy_tot,Cancer,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,Cancer,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,DIAB,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,DIAB,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,DIAB,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HHD,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HHD,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HHD,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HSTK,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HSTK,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,HSTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,IHD,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,IHD,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,IHD,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,ISTK,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,ISTK,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,ISTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,OSTK,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,OSTK,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,OSTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,Other_CVD,direct,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,Other_CVD,medBMI,0,0,0
Med,2,20-34,Female,NHB,dairy_tot,Other_CVD,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,Cancer,direct,4.59660118226098,0.39542520043852,10.6519344684813
Med,2,20-34,Female,NHB,fruit_exc_juice,Cancer,medBMI,2.75894820527832,1.87361800233543,3.77782155899207
Med,2,20-34,Female,NHB,fruit_exc_juice,Cancer,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,DIAB,direct,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,DIAB,medBMI,3.73075730408746,2.14805275933867,5.87604193247986
Med,2,20-34,Female,NHB,fruit_exc_juice,DIAB,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,HHD,direct,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,HHD,medBMI,1.77446886197053,0,5.34211283148135
Med,2,20-34,Female,NHB,fruit_exc_juice,HHD,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,HSTK,direct,24.3599431367685,12.6381573333001,36.3274984348564
Med,2,20-34,Female,NHB,fruit_exc_juice,HSTK,medBMI,0.60439607796163,0.321840003238783,1.0164205539620501
Med,2,20-34,Female,NHB,fruit_exc_juice,HSTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,IHD,direct,15.391518326971,6.3385591119368,24.0980333027613
Med,2,20-34,Female,NHB,fruit_exc_juice,IHD,medBMI,1.28178967560654,0.703943583446619,2.05215660703455
Med,2,20-34,Female,NHB,fruit_exc_juice,IHD,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,ISTK,direct,4.77666786658547,1.94629669859483,8.52515808521978
Med,2,20-34,Female,NHB,fruit_exc_juice,ISTK,medBMI,0.280317048596248,0.106934572006674,0.524511773882003
Med,2,20-34,Female,NHB,fruit_exc_juice,ISTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,OSTK,direct,7.25701022415494,2.41035238170795,12.7140262325587
Med,2,20-34,Female,NHB,fruit_exc_juice,OSTK,medBMI,0.204639994726723,0.0636656689855564,0.392940294414267
Med,2,20-34,Female,NHB,fruit_exc_juice,OSTK,medSBP,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,Other_CVD,direct,0,0,0
Med,2,20-34,Female,NHB,fruit_exc_juice,Other_CVD,medBMI,2.80018441938923,2.02368873938796,3.76156559940044
Med,2,20-34,Female,NHB,fruit_exc_juice,Other_CVD,medSBP,0,0,0
Med,2,20-34,Female,NHB,gr_whole,Cancer,direct,34.2030107313584,20.5888684309925,52.0590827846583
Med,2,20-34,Female,NHB,gr_whole,Cancer,medBMI,3.2315262644407,2.35875153479184,4.25082775073586
Med,2,20-34,Female,NHB,gr_whole,Cancer,medSBP,0,0,0
Med,2,20-34,Female,NHB,gr_whole,DIAB,direct,39.7278058701983,24.9446420511853,55.8439482336906
