subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,Food_desc,pro_gro
19,dairy_tot,236,1.28,0.06,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7871506811285433
20,dairy_tot,138,1.2,0.12,0.51,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8699184423919393
21,dairy_tot,234,1.46,0.07,0.58,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6668972728024419
22,dairy_tot,161,1.1,0.09,0.48,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6830912569587049
23,dairy_tot,198,1.25,0.1,0.53,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6900168059441335
24,dairy_tot,162,1.06,0.09,0.47,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5583943106433239
25,dairy_tot,269,1.51,0.08,0.6,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7842623280106338
26,dairy_tot,243,0.88,0.05,0.42,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6745218465097536
27,dairy_tot,297,1.42,0.09,0.56,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7857524221159405
28,dairy_tot,136,1.09,0.08,0.49,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8256102588347268
29,dairy_tot,291,1.33,0.07,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7352660740071424
30,dairy_tot,238,0.93,0.06,0.43,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5547963696908366
31,dairy_tot,263,1.08,0.07,0.48,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7457419861961697
32,dairy_tot,132,1.13,0.14,0.5,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8299544716344344
33,dairy_tot,249,1.37,0.07,0.56,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.8057994333785673
