subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
19,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_5564,Hispanic,11,2198328,0.500380289,0.6
20,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_5564,Other,8,1272047,0.62890758,1.289343849
21,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_5564,Non-hispanic White,1323,14415002,9.177938373,0.748929718
22,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_5564,Non-hispanic Black,55,2137700,2.57285868,1.065240648
23,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_5564,Hispanic,82,2058899,3.982711148,1.357491888
24,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_5564,Other,32,1066033,3.001783247,2.75157767
25,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_over65,Non-hispanic White,789,20639658,3.82273776,0.671955408
26,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_over65,Non-hispanic Black,41,2552333,1.606373463,1.272570938
27,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_over65,Hispanic,34,2132451,1.594409438,1.170321101
28,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_over65,Other,4,1339138,0.298699611,0.60906584
29,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_over65,Non-hispanic White,4306,16705087,25.77657931,1.987213678
30,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_over65,Non-hispanic Black,74,1714280,4.316681056,2.544019635
31,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_over65,Hispanic,163,1619259,10.06633281,5.591938162
32,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_over65,Other,36,1032086,3.48808142,5.367676676
1,Mortality,Esophagus,2015,Female,Age_2044,Non-hispanic White,34,30523184,0.111390738,0.069624969
2,Mortality,Esophagus,2015,Female,Age_2044,Non-hispanic Black,9,7676770,0.117236807,0.140364867
3,Mortality,Esophagus,2015,Female,Age_2044,Hispanic,6,10518884,0.057040272,0.1669475
4,Mortality,Esophagus,2015,Female,Age_2044,Other,1,4433343,0.022556342,0.1
5,Mortality,Esophagus,2015,Male,Age_2044,Non-hispanic White,162,31292111,0.517702369,0.107726449
6,Mortality,Esophagus,2015,Male,Age_2044,Non-hispanic Black,19,7275243,0.261159662,0.203927552
7,Mortality,Esophagus,2015,Male,Age_2044,Hispanic,25,11306346,0.221114762,0.118852146
8,Mortality,Esophagus,2015,Male,Age_2044,Other,9,4155228,0.216594613,0.373203249
9,Mortality,Esophagus,2015,Female,Age_4554,Non-hispanic White,136,14238423,0.955161959,0.1
10,Mortality,Esophagus,2015,Female,Age_4554,Non-hispanic Black,42,2860342,1.468355882,0.318570218
11,Mortality,Esophagus,2015,Female,Age_4554,Hispanic,15,3213000,0.466853408,0.437543681
12,Mortality,Esophagus,2015,Female,Age_4554,Other,2,1529112,0.130794867,1.5
13,Mortality,Esophagus,2015,Male,Age_4554,Non-hispanic White,845,14096551,5.994374085,0.257993232
14,Mortality,Esophagus,2015,Male,Age_4554,Non-hispanic Black,96,2528856,3.796182938,0.553265857
15,Mortality,Esophagus,2015,Male,Age_4554,Hispanic,66,3272152,2.017021214,0.457362994
16,Mortality,Esophagus,2015,Male,Age_4554,Other,34,1352454,2.513948718,1.171579413
17,Mortality,Esophagus,2015,Female,Age_5564,Non-hispanic White,439,15111568,2.905059224,0.2
18,Mortality,Esophagus,2015,Female,Age_5564,Non-hispanic Black,129,2546832,5.065116191,0.647159032
19,Mortality,Esophagus,2015,Female,Age_5564,Hispanic,29,2198328,1.319184398,0.40003464
20,Mortality,Esophagus,2015,Female,Age_5564,Other,13,1272047,1.021974817,0.714639875
