subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
13,Mortality,Stomach Cardia,2015,Male,Age_4554,Non-hispanic White,308,14096551,2.184931619,0.4
14,Mortality,Stomach Cardia,2015,Male,Age_4554,Non-hispanic Black,31,2528856,1.22585074,0.652919347
15,Mortality,Stomach Cardia,2015,Male,Age_4554,Hispanic,42,3272152,1.283558954,0.502404413
16,Mortality,Stomach Cardia,2015,Male,Age_4554,Other,26,1352454,1.922431373,1.713609353
17,Mortality,Stomach Cardia,2015,Female,Age_5564,Non-hispanic White,166,15111568,1.098496198,0.25288871
18,Mortality,Stomach Cardia,2015,Female,Age_5564,Non-hispanic Black,14,2546832,0.549702532,0.460601609
19,Mortality,Stomach Cardia,2015,Female,Age_5564,Hispanic,14,2198328,0.636847641,0.424329384
20,Mortality,Stomach Cardia,2015,Female,Age_5564,Other,6,1272047,0.471680685,1.680298608
21,Mortality,Stomach Cardia,2015,Male,Age_5564,Non-hispanic White,968,14415002,6.715226262,0.649186383
22,Mortality,Stomach Cardia,2015,Male,Age_5564,Non-hispanic Black,77,2137700,3.602002152,1.29079081
23,Mortality,Stomach Cardia,2015,Male,Age_5564,Hispanic,104,2058899,5.051243407,1.980467988
24,Mortality,Stomach Cardia,2015,Male,Age_5564,Other,32,1066033,3.001783247,2.840301999
25,Mortality,Stomach Cardia,2015,Female,Age_over65,Non-hispanic White,861,20639658,4.17158075,0.730886548
26,Mortality,Stomach Cardia,2015,Female,Age_over65,Non-hispanic Black,61,2552333,2.389970274,1.779635948
27,Mortality,Stomach Cardia,2015,Female,Age_over65,Hispanic,49,2132451,2.297825366,1.443638982
28,Mortality,Stomach Cardia,2015,Female,Age_over65,Other,39,1339138,2.91232121,3.372330685
29,Mortality,Stomach Cardia,2015,Male,Age_over65,Non-hispanic White,3070,16705087,18.37763551,1.689564461
30,Mortality,Stomach Cardia,2015,Male,Age_over65,Non-hispanic Black,206,1714280,12.01670672,4.414393764
31,Mortality,Stomach Cardia,2015,Male,Age_over65,Hispanic,179,1619259,11.0544391,6.050848963
32,Mortality,Stomach Cardia,2015,Male,Age_over65,Other,109,1032086,10.56113541,7.877582768
1,Mortality,Stomach Non-Cardia,2015,Female,Age_2044,Non-hispanic White,45,30523184,0.147428918,0.14122248
2,Mortality,Stomach Non-Cardia,2015,Female,Age_2044,Non-hispanic Black,58,7676770,0.755526087,0.660414711
3,Mortality,Stomach Non-Cardia,2015,Female,Age_2044,Hispanic,145,10518884,1.37847323,0.650617212
4,Mortality,Stomach Non-Cardia,2015,Female,Age_2044,Other,44,4433343,0.992479039,0.913557481
5,Mortality,Stomach Non-Cardia,2015,Male,Age_2044,Non-hispanic White,80,31292111,0.255655491,0.146430726
6,Mortality,Stomach Non-Cardia,2015,Male,Age_2044,Non-hispanic Black,80,7275243,1.099619628,0.720859162
7,Mortality,Stomach Non-Cardia,2015,Male,Age_2044,Hispanic,107,11306346,0.94637118,0.502370071
8,Mortality,Stomach Non-Cardia,2015,Male,Age_2044,Other,36,4155228,0.866378451,1.54703787
9,Mortality,Stomach Non-Cardia,2015,Female,Age_4554,Non-hispanic White,160,14238423,1.123719951,0.25847046
10,Mortality,Stomach Non-Cardia,2015,Female,Age_4554,Non-hispanic Black,67,2860342,2.34237724,0.866786988
11,Mortality,Stomach Non-Cardia,2015,Female,Age_4554,Hispanic,152,3213000,4.730781201,1.293044576
12,Mortality,Stomach Non-Cardia,2015,Female,Age_4554,Other,49,1529112,3.204474231,1.440736275
13,Mortality,Stomach Non-Cardia,2015,Male,Age_4554,Non-hispanic White,229,14096551,1.624510847,0.3
14,Mortality,Stomach Non-Cardia,2015,Male,Age_4554,Non-hispanic Black,149,2528856,5.891992268,1.40141122
15,Mortality,Stomach Non-Cardia,2015,Male,Age_4554,Hispanic,184,3272152,5.623210658,1.301722994
16,Mortality,Stomach Non-Cardia,2015,Male,Age_4554,Other,41,1352454,3.031526396,2.594177715
17,Mortality,Stomach Non-Cardia,2015,Female,Age_5564,Non-hispanic White,323,15111568,2.137435374,0.351473725
18,Mortality,Stomach Non-Cardia,2015,Female,Age_5564,Non-hispanic Black,139,2546832,5.457760857,1.447760814
19,Mortality,Stomach Non-Cardia,2015,Female,Age_5564,Hispanic,215,2198328,9.780160194,2.171652051
20,Mortality,Stomach Non-Cardia,2015,Female,Age_5564,Other,84,1272047,6.603529587,1.864514144
21,Mortality,Stomach Non-Cardia,2015,Male,Age_5564,Non-hispanic White,573,14415002,3.975025463,0.5
22,Mortality,Stomach Non-Cardia,2015,Male,Age_5564,Non-hispanic Black,387,2137700,18.10356926,2.844293236
23,Mortality,Stomach Non-Cardia,2015,Male,Age_5564,Hispanic,248,2058899,12.04527274,1.942879061
24,Mortality,Stomach Non-Cardia,2015,Male,Age_5564,Other,90,1066033,8.442515382,3.443203726
25,Mortality,Stomach Non-Cardia,2015,Female,Age_over65,Non-hispanic White,2374,20639658,11.50212857,1.225317411
26,Mortality,Stomach Non-Cardia,2015,Female,Age_over65,Non-hispanic Black,761,2552333,29.81585867,5.903044643
27,Mortality,Stomach Non-Cardia,2015,Female,Age_over65,Hispanic,561,2132451,26.30775572,6.733593359
28,Mortality,Stomach Non-Cardia,2015,Female,Age_over65,Other,364,1339138,27.18166462,7.161439081
29,Mortality,Stomach Non-Cardia,2015,Male,Age_over65,Non-hispanic White,3104,16705087,18.58116632,1.84063863
30,Mortality,Stomach Non-Cardia,2015,Male,Age_over65,Non-hispanic Black,873,1714280,50.92516975,9.349287361
31,Mortality,Stomach Non-Cardia,2015,Male,Age_over65,Hispanic,655,1619259,40.45060117,8.8968309
32,Mortality,Stomach Non-Cardia,2015,Male,Age_over65,Other,476,1032086,46.12018766,11.99144237
1,Mortality,Thyroid,2015,Female,Age_2044,Non-hispanic White,9,30523184,0.029485784,0
2,Mortality,Thyroid,2015,Female,Age_2044,Non-hispanic Black,5,7676770,0.065131559,0.1
3,Mortality,Thyroid,2015,Female,Age_2044,Hispanic,9,10518884,0.085560407,0.1
4,Mortality,Thyroid,2015,Female,Age_2044,Other,0,4433343,0,0
5,Mortality,Thyroid,2015,Male,Age_2044,Non-hispanic White,16,31292111,0.051131098,0
6,Mortality,Thyroid,2015,Male,Age_2044,Non-hispanic Black,6,7275243,0.082471472,0.140874367
7,Mortality,Thyroid,2015,Male,Age_2044,Hispanic,4,11306346,0.035378362,0.1
8,Mortality,Thyroid,2015,Male,Age_2044,Other,1,4155228,0.024066068,0.1
9,Mortality,Thyroid,2015,Female,Age_4554,Non-hispanic White,45,14238423,0.316046236,0.1
10,Mortality,Thyroid,2015,Female,Age_4554,Non-hispanic Black,6,2860342,0.209765126,0.1
11,Mortality,Thyroid,2015,Female,Age_4554,Hispanic,10,3213000,0.311235605,0.155204958
12,Mortality,Thyroid,2015,Female,Age_4554,Other,7,1529112,0.457782033,0.374442106
13,Mortality,Thyroid,2015,Male,Age_4554,Non-hispanic White,67,14096551,0.475293566,0.1
14,Mortality,Thyroid,2015,Male,Age_4554,Non-hispanic Black,11,2528856,0.434979295,0.2
15,Mortality,Thyroid,2015,Male,Age_4554,Hispanic,9,3272152,0.275048347,0.154471775
16,Mortality,Thyroid,2015,Male,Age_4554,Other,3,1352454,0.221819005,0.3
17,Mortality,Thyroid,2015,Female,Age_5564,Non-hispanic White,96,15111568,0.63527491,0.1
18,Mortality,Thyroid,2015,Female,Age_5564,Non-hispanic Black,20,2546832,0.785289332,0.250242047
19,Mortality,Thyroid,2015,Female,Age_5564,Hispanic,20,2198328,0.909782344,0.557877333
20,Mortality,Thyroid,2015,Female,Age_5564,Other,7,1272047,0.550294132,0.350038351
21,Mortality,Thyroid,2015,Male,Age_5564,Non-hispanic White,128,14415002,0.887963803,0.1
22,Mortality,Thyroid,2015,Male,Age_5564,Non-hispanic Black,14,2137700,0.654909482,0.248857091
23,Mortality,Thyroid,2015,Male,Age_5564,Hispanic,16,2058899,0.77711437,0.301166473
24,Mortality,Thyroid,2015,Male,Age_5564,Other,13,1066033,1.219474444,0.691802762
25,Mortality,Thyroid,2015,Female,Age_over65,Non-hispanic White,558,20639658,2.703533169,0.288928166
26,Mortality,Thyroid,2015,Female,Age_over65,Non-hispanic Black,82,2552333,3.212746926,0.877292808
27,Mortality,Thyroid,2015,Female,Age_over65,Hispanic,78,2132451,3.657762828,1.116525647
28,Mortality,Thyroid,2015,Female,Age_over65,Other,56,1339138,4.181794557,1.712546264
29,Mortality,Thyroid,2015,Male,Age_over65,Non-hispanic White,466,16705087,2.789569429,0.327889997
30,Mortality,Thyroid,2015,Male,Age_over65,Non-hispanic Black,35,1714280,2.041673472,0.820072167
31,Mortality,Thyroid,2015,Male,Age_over65,Hispanic,60,1619259,3.70539858,1.903945116
32,Mortality,Thyroid,2015,Male,Age_over65,Other,33,1032086,3.197407968,1.974801685
