year,race_gp,age_gp,sex,subgroup_id,crude_rate
2025,NHW,age_4554,Female,9,18.95507489
2025,NHB,age_4554,Female,10,16.73972975
2025,HIS,age_4554,Female,11,18.575773053
2025,Other,age_4554,Female,12,21.379032504
2025,NHW,age_4554,Male,13,0
2025,NHB,age_4554,Male,14,0
2025,HIS,age_4554,Male,15,0
2025,Other,age_4554,Male,16,0
2025,NHW,age_5564,Female,17,29.649721187
2025,NHB,age_5564,Female,18,24.811644606
2025,HIS,age_5564,Female,19,24.797270603
2025,Other,age_5564,Female,20,22.006447605
2025,NHW,age_5564,Male,21,0
2025,NHB,age_5564,Male,22,0
2025,HIS,age_5564,Male,23,0
2025,Other,age_5564,Male,24,0
2025,NHW,age_65+,Female,25,32.144896343
2025,NHB,age_65+,Female,26,26.700699688
2025,HIS,age_65+,Female,27,26.270195141
2025,Other,age_65+,Female,28,22.040202015
2025,NHW,age_65+,Male,29,0
2025,NHB,age_65+,Male,30,0
2025,HIS,age_65+,Male,31,0
2025,Other,age_65+,Male,32,0
2026,NHW,age_2044,Female,1,7.3929483106
2026,NHB,age_2044,Female,2,5.9823115833
2026,HIS,age_2044,Female,3,7.109645767
2026,Other,age_2044,Female,4,9.9955862668
2026,NHW,age_2044,Male,5,0
2026,NHB,age_2044,Male,6,0
2026,HIS,age_2044,Male,7,0
2026,Other,age_2044,Male,8,0
2026,NHW,age_4554,Female,9,19.072329087
2026,NHB,age_4554,Female,10,17.287254331
2026,HIS,age_4554,Female,11,19.079463367
2026,Other,age_4554,Female,12,21.563750986
2026,NHW,age_4554,Male,13,0
2026,NHB,age_4554,Male,14,0
2026,HIS,age_4554,Male,15,0
2026,Other,age_4554,Male,16,0
2026,NHW,age_5564,Female,17,30.244421241
2026,NHB,age_5564,Female,18,25.316195017
2026,HIS,age_5564,Female,19,24.957063869
2026,Other,age_5564,Female,20,21.676774669
2026,NHW,age_5564,Male,21,0
2026,NHB,age_5564,Male,22,0
2026,HIS,age_5564,Male,23,0
2026,Other,age_5564,Male,24,0
2026,NHW,age_65+,Female,25,31.466403732
2026,NHB,age_65+,Female,26,26.23604054
2026,HIS,age_65+,Female,27,25.669425612
2026,Other,age_65+,Female,28,21.662039987
2026,NHW,age_65+,Male,29,0
2026,NHB,age_65+,Male,30,0
2026,HIS,age_65+,Male,31,0
2026,Other,age_65+,Male,32,0
2027,NHW,age_2044,Female,1,7.6685902815
2027,NHB,age_2044,Female,2,6.2485090233
2027,HIS,age_2044,Female,3,7.3987429984
2027,Other,age_2044,Female,4,10.615783927
2027,NHW,age_2044,Male,5,0
2027,NHB,age_2044,Male,6,0
2027,HIS,age_2044,Male,7,0
2027,Other,age_2044,Male,8,0
2027,NHW,age_4554,Female,9,19.105127997
2027,NHB,age_4554,Female,10,17.782356568
2027,HIS,age_4554,Female,11,19.559216917
2027,Other,age_4554,Female,12,21.704651378
2027,NHW,age_4554,Male,13,0
2027,NHB,age_4554,Male,14,0
2027,HIS,age_4554,Male,15,0
2027,Other,age_4554,Male,16,0
2027,NHW,age_5564,Female,17,30.802232182
2027,NHB,age_5564,Female,18,25.779467226
2027,HIS,age_5564,Female,19,25.082392636
2027,Other,age_5564,Female,20,21.290366766
2027,NHW,age_5564,Male,21,0
2027,NHB,age_5564,Male,22,0
2027,HIS,age_5564,Male,23,0
2027,Other,age_5564,Male,24,0
2027,NHW,age_65+,Female,25,30.802232268
2027,NHB,age_65+,Female,26,25.779469224
2027,HIS,age_65+,Female,27,25.082392549
2027,Other,age_65+,Female,28,21.290365589
2027,NHW,age_65+,Male,29,0
2027,NHB,age_65+,Male,30,0
2027,HIS,age_65+,Male,31,0
2027,Other,age_65+,Male,32,0
2028,NHW,age_2044,Female,1,8.1300604482
2028,NHB,age_2044,Female,2,6.7335403808
2028,HIS,age_2044,Female,3,7.8918765663
2028,Other,age_2044,Female,4,11.307084995
2028,NHW,age_2044,Male,5,0
2028,NHB,age_2044,Male,6,0
2028,HIS,age_2044,Male,7,0
2028,Other,age_2044,Male,8,0
2028,NHW,age_4554,Female,9,19.880427492
2028,NHB,age_4554,Female,10,18.36109206
2028,HIS,age_4554,Female,11,19.74885456
2028,Other,age_4554,Female,12,21.55027328
2028,NHW,age_4554,Male,13,0
2028,NHB,age_4554,Male,14,0
2028,HIS,age_4554,Male,15,0
2028,Other,age_4554,Male,16,0
2028,NHW,age_5564,Female,17,30.15207951
2028,NHB,age_5564,Female,18,25.33084046
2028,HIS,age_5564,Female,19,24.508785856
2028,Other,age_5564,Female,20,20.925069483
2028,NHW,age_5564,Male,21,0
2028,NHB,age_5564,Male,22,0
2028,HIS,age_5564,Male,23,0
2028,Other,age_5564,Male,24,0
2028,NHW,age_65+,Female,25,30.152079649
2028,NHB,age_65+,Female,26,25.330838818
2028,HIS,age_65+,Female,27,24.508785857
2028,Other,age_65+,Female,28,20.925070174
2028,NHW,age_65+,Male,29,0
2028,NHB,age_65+,Male,30,0
2028,HIS,age_65+,Male,31,0
2028,Other,age_65+,Male,32,0
2029,NHW,age_2044,Female,1,8.5474527111
2029,NHB,age_2044,Female,2,7.1945298231
2029,HIS,age_2044,Female,3,8.3644092648
2029,Other,age_2044,Female,4,11.991281767
2029,NHW,age_2044,Male,5,0
2029,NHB,age_2044,Male,6,0
2029,HIS,age_2044,Male,7,0
2029,Other,age_2044,Male,8,0
2029,NHW,age_4554,Female,9,20.618177223
2029,NHB,age_4554,Female,10,18.901953892
2029,HIS,age_4554,Female,11,19.9072313
2029,Other,age_4554,Female,12,21.345335733
2029,NHW,age_4554,Male,13,0
2029,NHB,age_4554,Male,14,0
2029,HIS,age_4554,Male,15,0
2029,Other,age_4554,Male,16,0
2029,NHW,age_5564,Female,17,29.515649886
2029,NHB,age_5564,Female,18,24.890019659
2029,HIS,age_5564,Female,19,23.948297269
2029,Other,age_5564,Female,20,20.566040302
2029,NHW,age_5564,Male,21,0
2029,NHB,age_5564,Male,22,0
2029,HIS,age_5564,Male,23,0
2029,Other,age_5564,Male,24,0
2029,NHW,age_65+,Female,25,29.515650071
2029,NHB,age_65+,Female,26,24.890018905
2029,HIS,age_65+,Female,27,23.948295951
2029,Other,age_65+,Female,28,20.566038867
2029,NHW,age_65+,Male,29,0
2029,NHB,age_65+,Male,30,0
2029,HIS,age_65+,Male,31,0
2029,Other,age_65+,Male,32,0
2030,NHW,age_2044,Female,1,8.9498517611
2030,NHB,age_2044,Female,2,7.6597091386
2030,HIS,age_2044,Female,3,8.8347310428
2030,Other,age_2044,Female,4,12.682046441
2030,NHW,age_2044,Male,5,0
2030,NHB,age_2044,Male,6,0
2030,HIS,age_2044,Male,7,0
2030,Other,age_2044,Male,8,0
2030,NHW,age_4554,Female,9,21.28979216
2030,NHB,age_4554,Female,10,19.400954953
2030,HIS,age_4554,Female,11,20.030622053
2030,Other,age_4554,Female,12,21.093076542
2030,NHW,age_4554,Male,13,0
2030,NHB,age_4554,Male,14,0
2030,HIS,age_4554,Male,15,0
2030,Other,age_4554,Male,16,0
2030,NHW,age_5564,Female,17,28.89265349
2030,NHB,age_5564,Female,18,24.456871488
2030,HIS,age_5564,Female,19,23.400626415
