year,race_gp,age_gp,sex,subgroup_id,crude_rate
2022,NHB,age_4554,Female,10,11.234885422
2022,HIS,age_4554,Female,11,6.7077437763
2022,Other,age_4554,Female,12,10.181024807
2022,NHW,age_4554,Male,13,51.687969164
2022,NHB,age_4554,Male,14,26.983384916
2022,HIS,age_4554,Male,15,17.313663923
2022,Other,age_4554,Male,16,28.712276927
2022,NHW,age_5564,Female,17,22.552431629
2022,NHB,age_5564,Female,18,15.275561276
2022,HIS,age_5564,Female,19,12.704737439
2022,Other,age_5564,Female,20,15.799368487
2022,NHW,age_5564,Male,21,72.928516215
2022,NHB,age_5564,Male,22,41.830189542
2022,HIS,age_5564,Male,23,33.36425492
2022,Other,age_5564,Male,24,40.792697851
2022,NHW,age_65+,Female,25,26.734111548
2022,NHB,age_65+,Female,26,15.482228923
2022,HIS,age_65+,Female,27,17.151106368
2022,Other,age_65+,Female,28,19.424747169
2022,NHW,age_65+,Male,29,75.817258676
2022,NHB,age_65+,Male,30,46.529098415
2022,HIS,age_65+,Male,31,42.928627372
2022,Other,age_65+,Male,32,43.679318019
2023,NHW,age_2044,Female,1,3.9884106762
2023,NHB,age_2044,Female,2,2.8366675
2023,HIS,age_2044,Female,3,2.0230679642
2023,Other,age_2044,Female,4,3.5592201669
2023,NHW,age_2044,Male,5,9.9082355327
2023,NHB,age_2044,Male,6,5.0764151696
2023,HIS,age_2044,Male,7,3.2013407386
2023,Other,age_2044,Male,8,8.0947058004
2023,NHW,age_4554,Female,9,15.515658708
2023,NHB,age_4554,Female,10,12.055356502
2023,HIS,age_4554,Female,11,7.2277083073
2023,Other,age_4554,Female,12,10.692417761
2023,NHW,age_4554,Male,13,56.378315989
2023,NHB,age_4554,Male,14,28.308501776
2023,HIS,age_4554,Male,15,18.788132455
2023,Other,age_4554,Male,16,30.946042257
2023,NHW,age_5564,Female,17,23.510522301
2023,NHB,age_5564,Female,18,15.343566751
2023,HIS,age_5564,Female,19,13.513913375
2023,Other,age_5564,Female,20,16.486204292
2023,NHW,age_5564,Male,21,74.718072734
2023,NHB,age_5564,Male,22,42.058362666
2023,HIS,age_5564,Male,23,34.823012988
2023,Other,age_5564,Male,24,41.82238631
2023,NHW,age_65+,Female,25,26.789530184
2023,NHB,age_65+,Female,26,15.383347467
2023,HIS,age_65+,Female,27,17.111284337
2023,Other,age_65+,Female,28,19.37106164
2023,NHW,age_65+,Male,29,76.80772336
2023,NHB,age_65+,Male,30,46.126115233
2023,HIS,age_65+,Male,31,42.731116042
2023,Other,age_65+,Male,32,43.993462313
2024,NHW,age_2044,Female,1,4.3453132134
2024,NHB,age_2044,Female,2,3.0010420807
2024,HIS,age_2044,Female,3,2.1431039663
2024,Other,age_2044,Female,4,3.7665109389
2024,NHW,age_2044,Male,5,11.080785919
2024,NHB,age_2044,Male,6,5.3505689697
2024,HIS,age_2044,Male,7,3.415621314
2024,Other,age_2044,Male,8,8.6558814191
2024,NHW,age_4554,Female,9,16.56339065
2024,NHB,age_4554,Female,10,12.928949099
2024,HIS,age_4554,Female,11,7.7722354534
2024,Other,age_4554,Female,12,11.228193147
2024,NHW,age_4554,Male,13,61.421203453
2024,NHB,age_4554,Male,14,29.594602193
2024,HIS,age_4554,Male,15,20.315740025
2024,Other,age_4554,Male,16,33.401600615
2024,NHW,age_5564,Female,17,24.430148428
2024,NHB,age_5564,Female,18,15.352778196
2024,HIS,age_5564,Female,19,14.343182586
2024,Other,age_5564,Female,20,17.157526433
2024,NHW,age_5564,Male,21,76.414759484
