subgroup,agecat,female,race,racecat,Age,Age_label,Sex,Sex_label,Race,Race_label,AAmn,AFFmn,APCAmn,BCmn,CCmn,CMmn,DIABmn,ECAmn,ENDOmn,GCmn,HHDmn,HSTKmn,IHDmn,ISTKmn,KCmn,LCmn,LVCmn,MLPCmn,MMCmn,OCmn,OSTKmn,OTHmn,PCmn,PVDmn,RHDmn,SCCmn,SCNCmn,TCmn,UCmn,AA_medBMImn,AFF_medBMImn,APCA_medBMImn,BC_medBMImn,CC_medBMImn,CM_medBMImn,DIAB_medBMImn,ECA_medBMImn,ENDO_medBMImn,GC_medBMImn,HHD_medBMImn,HSTK_medBMImn,IHD_medBMImn,ISTK_medBMImn,KC_medBMImn,LC_medBMImn,LVC_medBMImn,MLPC_medBMImn,MMC_medBMImn,OC_medBMImn,OSTK_medBMImn,OTH_medBMImn,PC_medBMImn,PVD_medBMImn,RHD_medBMImn,SCC_medBMImn,SCNC_medBMImn,TC_medBMImn,UC_medBMImn,AA_medSBPmn,AFF_medSBPmn,APCA_medSBPmn,BC_medSBPmn,CC_medSBPmn,CM_medSBPmn,DIAB_medSBPmn,ECA_medSBPmn,ENDO_medSBPmn,GC_medSBPmn,HHD_medSBPmn,HSTK_medSBPmn,IHD_medSBPmn,ISTK_medSBPmn,KC_medSBPmn,LC_medSBPmn,LVC_medSBPmn,MLPC_medSBPmn,MMC_medSBPmn,OC_medSBPmn,OSTK_medSBPmn,OTH_medSBPmn,PC_medSBPmn,PVD_medSBPmn,RHD_medSBPmn,SCC_medSBPmn,SCNC_medSBPmn,TC_medSBPmn,UC_medSBPmn,AAse,AFFse,APCAse,BCse,CCse,CMse,DIABse,ECAse,ENDOse,GCse,HHDse,HSTKse,IHDse,ISTKse,KCse,LCse,LVCse,MLPCse,MMCse,OCse,OSTKse,OTHse,PCse,PVDse,RHDse,SCCse,SCNCse,TCse,UCse,AA_medBMIse,AFF_medBMIse,APCA_medBMIse,BC_medBMIse,CC_medBMIse,CM_medBMIse,DIAB_medBMIse,ECA_medBMIse,ENDO_medBMIse,GC_medBMIse,HHD_medBMIse,HSTK_medBMIse,IHD_medBMIse,ISTK_medBMIse,KC_medBMIse,LC_medBMIse,LVC_medBMIse,MLPC_medBMIse,MMC_medBMIse,OC_medBMIse,OSTK_medBMIse,OTH_medBMIse,PC_medBMIse,PVD_medBMIse,RHD_medBMIse,SCC_medBMIse,SCNC_medBMIse,TC_medBMIse,UC_medBMIse,AA_medSBPse,AFF_medSBPse,APCA_medSBPse,BC_medSBPse,CC_medSBPse,CM_medSBPse,DIAB_medSBPse,ECA_medSBPse,ENDO_medSBPse,GC_medSBPse,HHD_medSBPse,HSTK_medSBPse,IHD_medSBPse,ISTK_medSBPse,KC_medSBPse,LC_medSBPse,LVC_medSBPse,MLPC_medSBPse,MMC_medSBPse,OC_medSBPse,OSTK_medSBPse,OTH_medSBPse,PC_medSBPse,PVD_medSBPse,RHD_medSBPse,SCC_medSBPse,SCNC_medSBPse,TC_medSBPse,UC_medSBPse
11,2,1,3,3,2,35-44,1,Female,3,HIS,9,4,0,0,587,32,75,0,9,35,46,76,96,16,423,152,23,89,73,306,18,46,101,4,9,19,133,1442,767,9,4,0,0,587,32,75,0,9,35,46,76,96,16,423,152,23,89,73,306,18,46,101,4,9,19,133,1442,767,9,4,0,0,587,32,75,0,9,35,46,76,96,16,423,152,23,89,73,306,18,46,101,4,9,19,133,1442,767,2,1,0,0,43,6,9,0,2,11,7,9,10,5,37,22,9,17,16,32,5,7,18,1,2,8,21,68,49,2,1,0,0,43,6,9,0,2,11,7,9,10,5,37,22,9,17,16,32,5,7,18,1,2,8,21,68,49,2,1,0,0,43,6,9,0,2,11,7,9,10,5,37,22,9,17,16,32,5,7,18,1,2,8,21,68,49
12,2,1,4,4,2,35-44,1,Female,4,OTH,8,2,0,0,324,20,41,4,6,20,17,38,38,9,97,193,23,109,23,193,9,9,42,2,5,10,61,1138,523,8,2,0,0,324,20,41,4,6,20,17,38,38,9,97,193,23,109,23,193,9,9,42,2,5,10,61,1138,523,8,2,0,0,324,20,41,4,6,20,17,38,38,9,97,193,23,109,23,193,9,9,42,2,5,10,61,1138,523,1,1,0,0,33,5,7,4,1,8,5,7,7,1,18,25,9,19,9,25,2,2,12,1,1,6,15,61,41,1,1,0,0,33,5,7,4,1,8,5,7,7,1,18,25,9,19,9,25,2,2,12,1,1,6,15,61,41,1,1,0,0,33,5,7,4,1,8,5,7,7,1,18,25,9,19,9,25,2,2,12,1,1,6,15,61,41
13,2,0,1,1,2,35-44,2,Male,1,NHW,134,19,44,0,2069,324,636,139,66,20,582,241,2018,85,1125,498,107,766,178,0,81,258,265,9,23,111,75,1094,0,134,19,44,0,2069,324,636,139,66,20,582,241,2018,85,1125,498,107,766,178,0,81,258,265,9,23,111,75,1094,0,134,19,44,0,2069,324,636,139,66,20,582,241,2018,85,1125,498,107,766,178,0,81,258,265,9,23,111,75,1094,0,12,5,13,0,90,18,26,24,9,9,24,16,46,10,67,44,21,55,27,0,10,16,33,3,5,22,18,66,0,12,5,13,0,90,18,26,24,9,9,24,16,46,10,67,44,21,55,27,0,10,16,33,3,5,22,18,66,0,12,5,13,0,90,18,26,24,9,9,24,16,46,10,67,44,21,55,27,0,10,16,33,3,5,22,18,66,0
14,2,0,2,2,2,35-44,2,Male,2,NHB,86,11,39,0,444,237,381,8,13,0,423,150,731,60,269,160,35,140,102,0,62,137,47,2,5,12,39,59,0,86,11,39,0,444,237,381,8,13,0,423,150,731,60,269,160,35,140,102,0,62,137,47,2,5,12,39,59,0,86,11,39,0,444,237,381,8,13,0,423,150,731,60,269,160,35,140,102,0,62,137,47,2,5,12,39,59,0,10,4,13,0,42,16,20,6,4,0,21,13,27,8,33,25,12,24,20,0,8,12,14,1,1,7,13,15,0,10,4,13,0,42,16,20,6,4,0,21,13,27,8,33,25,12,24,20,0,8,12,14,1,1,7,13,15,0,10,4,13,0,42,16,20,6,4,0,21,13,27,8,33,25,12,24,20,0,8,12,14,1,1,7,13,15,0
15,2,0,3,3,2,35-44,2,Male,3,HIS,29,8,23,0,585,88,192,23,16,6,165,144,399,35,451,103,43,132,49,0,26,75,80,4,9,46,83,271,0,29,8,23,0,585,88,192,23,16,6,165,144,399,35,451,103,43,132,49,0,26,75,80,4,9,46,83,271,0,29,8,23,0,585,88,192,23,16,6,165,144,399,35,451,103,43,132,49,0,26,75,80,4,9,46,83,271,0,6,2,9,0,41,10,14,9,4,5,13,12,20,6,36,18,12,20,12,0,6,9,16,1,2,12,16,28,0,6,2,9,0,41,10,14,9,4,5,13,12,20,6,36,18,12,20,12,0,6,9,16,1,2,12,16,28,0,6,2,9,0,41,10,14,9,4,5,13,12,20,6,36,18,12,20,12,0,6,9,16,1,2,12,16,28,0
16,2,0,4,4,2,35-44,2,Male,4,OTH,12,3,7,0,367,47,81,13,9,7,53,56,192,9,214,79,103,196,37,0,13,38,28,2,4,22,37,235,0,12,3,7,0,367,47,81,13,9,7,53,56,192,9,214,79,103,196,37,0,13,38,28,2,4,22,37,235,0,12,3,7,0,367,47,81,13,9,7,53,56,192,9,214,79,103,196,37,0,13,38,28,2,4,22,37,235,0,4,1,5,0,34,7,10,7,1,5,8,8,14,2,26,16,18,25,11,0,4,7,10,1,1,8,11,27,0,4,1,5,0,34,7,10,7,1,5,8,8,14,2,26,16,18,25,11,0,4,7,10,1,1,8,11,27,0,4,1,5,0,34,7,10,7,1,5,8,8,14,2,26,16,18,25,11,0,4,7,10,1,1,8,11,27,0
17,3,1,1,1,3,45-54,1,Female,1,NHW,91,38,0,13717,5415,310,1108,111,44,107,685,645,3079,218,1974,4072,360,1513,497,1783,315,499,887,51,44,67,231,4644,4799,91,38,0,13717,5415,310,1108,111,44,107,685,645,3079,218,1974,4072,360,1513,497,1783,315,499,887,51,44,67,231,4644,4799,91,38,0,13717,5415,310,1108,111,44,107,685,645,3079,218,1974,4072,360,1513,497,1783,315,499,887,51,44,67,231,4644,4799,10,7,0,580,156,18,33,23,7,23,27,25,56,15,94,135,41,82,47,90,18,23,63,7,7,17,33,144,147,10,7,0,580,156,18,33,23,7,23,27,25,56,15,94,135,41,82,47,90,18,23,63,7,7,17,33,144,147,10,7,0,580,156,18,33,23,7,23,27,25,56,15,94,135,41,82,47,90,18,23,63,7,7,17,33,144,147
18,3,1,2,2,3,45-54,1,Female,2,NHB,44,13,0,2405,1164,164,606,4,12,42,504,312,1129,100,306,473,70,185,320,271,174,244,216,20,22,7,73,494,570,44,13,0,2405,1164,164,606,4,12,42,504,312,1129,100,306,473,70,185,320,271,174,244,216,20,22,7,73,494,570,44,13,0,2405,1164,164,606,4,12,42,504,312,1129,100,306,473,70,185,320,271,174,244,216,20,22,7,73,494,570,7,4,0,207,64,13,25,4,4,12,23,18,34,11,33,41,16,26,34,31,14,16,28,5,5,5,16,42,45,7,4,0,207,64,13,25,4,4,12,23,18,34,11,33,41,16,26,34,31,14,16,28,5,5,5,16,42,45,7,4,0,207,64,13,25,4,4,12,23,18,34,11,33,41,16,26,34,31,14,16,28,5,5,5,16,42,45
19,3,1,3,3,3,45-54,1,Female,3,HIS,13,9,0,2280,1116,45,281,12,9,71,91,176,374,38,499,304,109,181,156,477,61,77,193,9,9,43,160,1095,1041,13,9,0,2280,1116,45,281,12,9,71,91,176,374,38,499,304,109,181,156,477,61,77,193,9,9,43,160,1095,1041,13,9,0,2280,1116,45,281,12,9,71,91,176,374,38,499,304,109,181,156,477,61,77,193,9,9,43,160,1095,1041,4,2,0,184,52,7,17,6,2,13,10,14,20,7,35,27,16,21,20,34,8,9,22,2,2,10,20,51,50,4,2,0,184,52,7,17,6,2,13,10,14,20,7,35,27,16,21,20,34,8,9,22,2,2,10,20,51,50,4,2,0,184,52,7,17,6,2,13,10,14,20,7,35,27,16,21,20,34,8,9,22,2,2,10,20,51,50
20,3,1,4,4,3,45-54,1,Female,4,OTH,9,5,0,1713,796,16,99,6,5,13,37,90,125,20,164,410,66,169,46,347,29,31,156,7,7,21,61,738,957,9,5,0,1713,796,16,99,6,5,13,37,90,125,20,164,410,66,169,46,347,29,31,156,7,7,21,61,738,957,9,5,0,1713,796,16,99,6,5,13,37,90,125,20,164,410,66,169,46,347,29,31,156,7,7,21,61,738,957,1,1,0,178,45,4,11,4,1,6,7,10,12,5,21,33,13,21,11,30,6,6,20,1,1,8,13,44,50,1,1,0,178,45,4,11,4,1,6,7,10,12,5,21,33,13,21,11,30,6,6,20,1,1,8,13,44,50,1,1,0,178,45,4,11,4,1,6,7,10,12,5,21,33,13,21,11,30,6,6,20,1,1,8,13,44,50
21,3,0,1,1,3,45-54,2,Male,1,NHW,282,100,1722,0,6081,749,2078,619,92,33,1729,714,9113,292,3064,2753,775,3596,597,0,481,603,1180,56,49,359,225,1346,0,282,100,1722,0,6081,749,2078,619,92,33,1729,714,9113,292,3064,2753,775,3596,597,0,481,603,1180,56,49,359,225,1346,0,282,100,1722,0,6081,749,2078,619,92,33,1729,714,9113,292,3064,2753,775,3596,597,0,481,603,1180,56,49,359,225,1346,0,18,11,79,0,149,28,46,48,10,11,42,27,96,18,106,100,54,114,47,0,23,25,65,8,7,37,29,71,0,18,11,79,0,149,28,46,48,10,11,42,27,96,18,106,100,54,114,47,0,23,25,65,8,7,37,29,71,0,18,11,79,0,149,28,46,48,10,11,42,27,96,18,106,100,54,114,47,0,23,25,65,8,7,37,29,71,0
22,3,0,2,2,3,45-54,2,Male,2,NHB,108,28,715,0,1476,394,837,16,16,16,870,377,2316,130,750,660,220,605,346,0,259,250,260,25,17,32,91,87,0,108,28,715,0,1476,394,837,16,16,16,870,377,2316,130,750,660,220,605,346,0,259,250,260,25,17,32,91,87,0,108,28,715,0,1476,394,837,16,16,16,870,377,2316,130,750,660,220,605,346,0,259,250,260,25,17,32,91,87,0,11,6,53,0,77,20,29,8,4,8,30,20,49,12,55,51,30,49,37,0,17,16,32,5,5,12,19,19,0,11,6,53,0,77,20,29,8,4,8,30,20,49,12,55,51,30,49,37,0,17,16,32,5,5,12,19,19,0,11,6,53,0,77,20,29,8,4,8,30,20,49,12,55,51,30,49,37,0,17,16,32,5,5,12,19,19,0
23,3,0,3,3,3,45-54,2,Male,3,HIS,60,12,322,0,1382,116,519,65,15,48,303,329,1387,77,773,265,436,456,204,0,95,113,256,13,9,65,137,268,0,60,12,322,0,1382,116,519,65,15,48,303,329,1387,77,773,265,436,456,204,0,95,113,256,13,9,65,137,268,0,60,12,322,0,1382,116,519,65,15,48,303,329,1387,77,773,265,436,456,204,0,95,113,256,13,9,65,137,268,0,8,4,29,0,59,11,23,13,4,11,18,19,38,9,44,26,33,34,23,0,10,11,26,4,2,13,19,26,0,8,4,29,0,59,11,23,13,4,11,18,19,38,9,44,26,33,34,23,0,10,11,26,4,2,13,19,26,0,8,4,29,0,59,11,23,13,4,11,18,19,38,9,44,26,33,34,23,0,10,11,26,4,2,13,19,26,0
24,3,0,4,4,3,45-54,2,Male,4,OTH,23,9,160,0,1756,63,170,13,9,34,101,130,623,25,548,543,400,665,123,0,31,33,232,7,6,59,123,405,0,23,9,160,0,1756,63,170,13,9,34,101,130,623,25,548,543,400,665,123,0,31,33,232,7,6,59,123,405,0,23,9,160,0,1756,63,170,13,9,34,101,130,623,25,548,543,400,665,123,0,31,33,232,7,6,59,123,405,0,5,1,26,0,86,8,14,8,1,12,11,12,26,6,49,48,41,53,23,0,6,6,32,1,1,16,23,42,0,5,1,26,0,86,8,14,8,1,12,11,12,26,6,49,48,41,53,23,0,6,6,32,1,1,16,23,42,0,5,1,26,0,86,8,14,8,1,12,11,12,26,6,49,48,41,53,23,0,6,6,32,1,1,16,23,42,0
25,4,1,1,1,4,55-64,1,Female,1,NHW,244,246,0,52979,9947,640,2868,291,77,287,1573,1402,9192,678,4187,18207,1519,3719,1519,3862,1250,1071,3517,200,128,291,504,5248,14795,244,246,0,52979,9947,640,2868,291,77,287,1573,1402,9192,678,4187,18207,1519,3719,1519,3862,1250,1071,3517,200,128,291,504,5248,14795,244,246,0,52979,9947,640,2868,291,77,287,1573,1402,9192,678,4187,18207,1519,3719,1519,3862,1250,1071,3517,200,128,291,504,5248,14795,16,16,0,511,222,26,54,39,10,39,40,39,97,26,143,300,87,135,87,138,36,33,132,14,11,39,50,162,270,16,16,0,511,222,26,54,39,10,39,40,39,97,26,143,300,87,135,87,138,36,33,132,14,11,39,50,162,270,16,16,0,511,222,26,54,39,10,39,40,39,97,26,143,300,87,135,87,138,36,33,132,14,11,39,50,162,270
26,4,1,2,2,4,55-64,1,Female,2,NHB,81,54,0,9228,2489,288,1189,25,24,131,927,498,2883,290,986,3353,445,503,798,566,546,387,1025,64,33,34,286,720,2609,81,54,0,9228,2489,288,1189,25,24,131,927,498,2883,290,986,3353,445,503,798,566,546,387,1025,64,33,34,286,720,2609,81,54,0,9228,2489,288,1189,25,24,131,927,498,2883,290,986,3353,445,503,798,566,546,387,1025,64,33,34,286,720,2609,9,8,0,212,110,18,35,11,5,26,31,23,54,18,70,128,47,50,62,53,24,20,71,9,6,13,37,59,113,9,8,0,212,110,18,35,11,5,26,31,23,54,18,70,128,47,50,62,53,24,20,71,9,6,13,37,59,113,9,8,0,212,110,18,35,11,5,26,31,23,54,18,70,128,47,50,62,53,24,20,71,9,6,13,37,59,113
27,4,1,3,3,4,55-64,1,Female,3,HIS,22,16,0,7071,1766,71,525,16,10,139,147,216,983,108,1009,1091,571,350,341,675,154,123,562,35,22,38,275,997,2390,22,16,0,7071,1766,71,525,16,10,139,147,216,983,108,1009,1091,571,350,341,675,154,123,562,35,22,38,275,997,2390,22,16,0,7071,1766,71,525,16,10,139,147,216,983,108,1009,1091,571,350,341,675,154,123,562,35,22,38,275,997,2390,5,5,0,150,75,9,23,7,4,21,13,15,32,11,57,59,43,34,33,47,13,12,42,7,5,12,30,56,87,5,5,0,150,75,9,23,7,4,21,13,15,32,11,57,59,43,34,33,47,13,12,42,7,5,12,30,56,87,5,5,0,150,75,9,23,7,4,21,13,15,32,11,57,59,43,34,33,47,13,12,42,7,5,12,30,56,87
28,4,1,4,4,4,55-64,1,Female,4,OTH,15,10,0,7758,1770,36,194,8,8,75,65,150,371,49,488,1455,366,374,154,551,86,49,453,9,17,44,225,1007,2120,15,10,0,7758,1770,36,194,8,8,75,65,150,371,49,488,1455,366,374,154,551,86,49,453,9,17,44,225,1007,2120,15,10,0,7758,1770,36,194,8,8,75,65,150,371,49,488,1455,366,374,154,551,86,49,453,9,17,44,225,1007,2120,4,4,0,175,84,6,14,6,1,18,9,13,20,7,44,76,38,39,25,47,10,7,43,2,5,14,30,63,92,4,4,0,175,84,6,14,6,1,18,9,13,20,7,44,76,38,39,25,47,10,7,43,2,5,14,30,63,92,4,4,0,175,84,6,14,6,1,18,9,13,20,7,44,76,38,39,25,47,10,7,43,2,5,14,30,63,92
