diet_pattern,food_cat,food_group,outcome,impact_median_year,LB_year,UB_year,impact_median_day,LB_day,UB_day
Med,Protein,pf_poultry_tot,CED (MJ),-73359085.0021661,-81301255.005113,-65227990.3348273,-200983.7945264825,-222743.16439756987,-178706.82283514328
US,Protein,pf_poultry_tot,CED (MJ),-73415941.9926816,-80376625.4071135,-65224310.2916498,-201139.56710323723,-220209.93262222878,-178696.74052506796
Veg,Protein,pf_poultry_tot,CED (MJ),-421383176.715047,-429321704.712751,-413546366.159312,-1154474.4567535534,-1176223.8485280848,-1133003.7429022247
Vegan,Protein,pf_poultry_tot,CED (MJ),-421625706.653586,-429975515.161224,-413476662.657705,-1155138.9223385917,-1178015.1100307507,-1132812.7744046713
DGAplus,Protein,pf_redm,CED (MJ),0,0,0,0,0,0
Med,Protein,pf_redm,CED (MJ),0,0,0,0,0,0
US,Protein,pf_redm,CED (MJ),0,0,0,0,0,0
Veg,Protein,pf_redm,CED (MJ),0,0,0,0,0,0
Vegan,Protein,pf_redm,CED (MJ),0,0,0,0,0,0
DGAplus,Protein,pf_redm_tot,CED (MJ),-872389707.648845,-893200875.221781,-852046720.674102,-2390108.788079027,-2447125.685539126,-2334374.5771893202
Med,Protein,pf_redm_tot,CED (MJ),-205236075.087995,-226568870.243071,-184981680.767755,-562290.6166794384,-620736.6308029342,-506799.1253911096
US,Protein,pf_redm_tot,CED (MJ),-205434167.81727,-224869818.53488,-185144143.881955,-562833.3364856712,-616081.6946161096,-507244.22981357534
Veg,Protein,pf_redm_tot,CED (MJ),-1136245512.95688,-1155565152.32282,-1115818903.52782,-3113001.4053613152,-3165931.9241721095,-3057038.0918570412
Vegan,Protein,pf_redm_tot,CED (MJ),-1136450677.48912,-1156761967.40375,-1115337722.54468,-3113563.4999701916,-3169210.869599315,-3055719.7877936442
DGAplus,Protein,pf_seafood,CED (MJ),754809208.816945,724699640.539491,786094716.954653,2067970.4351149176,1985478.4672314823,2153684.156040145
Med,Protein,pf_seafood,CED (MJ),2551224174.68826,2520422416.71599,2583380929.76919,6989655.273118521,6905266.895112301,7077755.971970383
US,Protein,pf_seafood,CED (MJ),975314362.682029,939280510.014444,1006796001.54667,2672094.144334326,2573371.2603135454,2758345.209716904
Veg,Protein,pf_seafood,CED (MJ),-820105516.143277,-850594269.963668,-787634660.471807,-2246864.4277898003,-2330395.260174433,-2157903.1793748136
Vegan,Protein,pf_seafood,CED (MJ),-819859598.233752,-855621819.62411,-789602436.700107,-2246190.680092471,-2344169.368833178,-2163294.347123581
DGAplus,Other,sat_fat,CED (MJ),-198779426.744736,-201698614.948416,-196098351.09321,-544601.1691636603,-552598.9450641534,-537255.7564197534
Med,Other,sat_fat,CED (MJ),-207968739.012445,-210885840.207022,-204959727.889322,-569777.3671573836,-577769.4252247178,-561533.5010666356
US,Other,sat_fat,CED (MJ),-208041345.140649,-211053950.397366,-205058266.130287,-569976.28805657255,-578230.001088674,-561803.4688501013
Veg,Other,sat_fat,CED (MJ),-198858472.605678,-201862311.870432,-195995039.617086,-544817.7331662411,-553047.4297820055,-536972.7112796877
Vegan,Other,sat_fat,CED (MJ),-198843214.537476,-201782324.35507,-195883196.283227,-544775.9302396603,-552828.2859043013,-536666.2911869233
DGAplus,Other,sodium,CED (MJ),0,0,0,0,0,0
Med,Other,sodium,CED (MJ),0,0,0,0,0,0
US,Other,sodium,CED (MJ),0,0,0,0,0,0
Veg,Other,sodium,CED (MJ),0,0,0,0,0,0
Vegan,Other,sodium,CED (MJ),0,0,0,0,0,0
DGAplus,Other,ssb,CED (MJ),0,0,0,0,0,0
Med,Other,ssb,CED (MJ),0,0,0,0,0,0
US,Other,ssb,CED (MJ),0,0,0,0,0,0
Veg,Other,ssb,CED (MJ),0,0,0,0,0,0
Vegan,Other,ssb,CED (MJ),0,0,0,0,0,0
DGAplus,Vegetables,veg_dg,CED (MJ),13874594.334007,12763951.9155604,15106370.607958,38012.587216457534,34969.73127550795,41387.316734131506
Med,Vegetables,veg_dg,CED (MJ),13897760.0501849,12753213.1785794,15108967.5072794,38076.05493201342,34940.31007829972,41394.431526792876
US,Vegetables,veg_dg,CED (MJ),13909543.2839584,12702186.7008488,15003376.1848297,38108.337764269585,34800.511509174794,41105.14023241014
Veg,Vegetables,veg_dg,CED (MJ),13871975.089673,12653415.4823026,15031908.9725557,38005.41120458356,34666.89173233589,41183.31225357726
Vegan,Vegetables,veg_dg,CED (MJ),13898242.5684858,12717014.9221615,15184649.0043069,38077.3768999611,34841.13677304521,41601.7780939915
DGAplus,Vegetables,veg_exc_sta,CED (MJ),128184465.32921107,123741355.75102231,132860787.8386615,0,0,0
Med,Vegetables,veg_exc_sta,CED (MJ),128168810.533906,123649224.97538908,133037659.3011389,0,0,0
US,Vegetables,veg_exc_sta,CED (MJ),128264958.22590187,123663850.48486254,132826368.4539722,0,0,0
Veg,Vegetables,veg_exc_sta,CED (MJ),128215889.80948934,123589147.97068183,132936295.8892213,0,0,0
Vegan,Vegetables,veg_exc_sta,CED (MJ),128329981.86953025,123699859.63225614,132879910.4817608,0,0,0
DGAplus,Vegetables,veg_oth,CED (MJ),8557615.21666107,6979490.3714709,10054749.7731625,23445.521141537178,19121.8914286874,27547.259652499997
Med,Vegetables,veg_oth,CED (MJ),8496465.0741841,6951585.94405369,10241471.8933395,23277.98650461397,19045.440942612848,28058.827105039727
US,Vegetables,veg_oth,CED (MJ),8519053.07142147,6899594.70832473,10173715.5226985,23339.871428551975,18902.999200889673,27873.1932128726
Veg,Vegetables,veg_oth,CED (MJ),8536270.82753233,6989931.92482023,10212152.3308896,23387.043363102275,19150.498424165016,27978.499536683834
Vegan,Vegetables,veg_oth,CED (MJ),8563305.34281244,6965539.38917064,10025552.1718609,23461.11052825326,19083.669559371618,27467.266224276438
DGAplus,Vegetables,veg_ro,CED (MJ),105752255.778543,103997913.463991,107699667.457541,289732.20761244657,284925.7903123041,295067.5820754548
Med,Vegetables,veg_ro,CED (MJ),105774585.409537,103944425.852756,107687219.90052,289793.384683663,284779.2489116603,295033.47917950683
US,Vegetables,veg_ro,CED (MJ),105836361.870522,104062069.075689,107649276.746444,289962.63526170416,285101.5591114767,294929.5253327233
Veg,Vegetables,veg_ro,CED (MJ),105807643.892284,103945800.563559,107692234.585776,289883.95586927125,284783.0152426274,295047.2180432219
Vegan,Vegetables,veg_ro,CED (MJ),105868433.958232,104017305.320924,107669709.305593,290050.50399515615,284978.91868746304,294985.50494683016
DGAplus,Vegetables,veg_sta,CED (MJ),48511727.2406302,46905722.5603935,50091691.7375055,132908.84175515122,128508.82893258492,137237.51160960412
Med,Vegetables,veg_sta,CED (MJ),48556828.0251152,46972499.9238183,50121072.4380754,133032.4055482608,128691.78061320081,137318.00667965863
US,Vegetables,veg_sta,CED (MJ),48532508.6751079,46960776.9745508,49985763.3176912,132965.77719207644,128659.66294397479,136947.29676079782
Veg,Vegetables,veg_sta,CED (MJ),48570772.1391085,47050742.0139901,50095297.5705625,133070.60860029727,128906.14250408245,137247.3906042808
Vegan,Vegetables,veg_sta,CED (MJ),48498973.8390228,46893633.2748015,50089858.6062181,132873.9009288296,128475.7076021959,137232.4893321044
DGAplus,Other,added_sugar,FL (mrh-eq),-5931096.20005103,-6050131.82813427,-5811204.8180908,-16249.578630276796,-16575.70363872403,-15921.109090659727
Med,Other,added_sugar,FL (mrh-eq),-5959524.94895759,-6066912.49350744,-5842441.87861773,-16327.465613582439,-16621.678064403946,-16006.69007840474
US,Other,added_sugar,FL (mrh-eq),-5961679.6264983,-6071165.91822897,-5848027.88931748,-16333.368839721368,-16633.331282819097,-16021.994217308164
Veg,Other,added_sugar,FL (mrh-eq),-5925882.67868618,-6036090.8941225,-5819248.11874096,-16235.295010099124,-16537.235326363014,-15943.14553079715
Vegan,Other,added_sugar,FL (mrh-eq),-5926094.40147553,-6047761.0674639,-5813553.94002299,-16235.875072535699,-16569.208404010686,-15927.545041158877
DGAplus,Dairy,dairy_cow,FL (mrh-eq),17218140.376282,16987553.5713908,17442051.789054,47172.98733227945,46541.24266134466,47786.443257682186
Med,Dairy,dairy_cow,FL (mrh-eq),6651716.34554724,6393611.49696927,6887333.76083538,18223.880398759564,17516.74382731307,18869.40756393255
US,Dairy,dairy_cow,FL (mrh-eq),17212341.190897,16974204.9795536,17432499.0406279,47157.099153142466,46504.67117685918,47760.27134418603
Veg,Dairy,dairy_cow,FL (mrh-eq),17209885.464396,16971503.0615082,17447133.3444776,47150.37113533151,46497.268661666305,47800.365327335894
Vegan,Dairy,dairy_cow,FL (mrh-eq),-14468546.835775,-14715569.4606319,-14242649.4072094,-39639.85434458904,-40316.62865926548,-39020.95728002575
DGAplus,Dairy,dairy_soy,FL (mrh-eq),-574694.001729389,-693512.929929009,-456743.109549536,-1574.504114327093,-1900.0354244630385,-1251.350985067222
Med,Dairy,dairy_soy,FL (mrh-eq),-573094.937034666,-693812.910785396,-449171.122322119,-1570.1231151634684,-1900.8572898230027,-1230.605814581148
US,Dairy,dairy_soy,FL (mrh-eq),-571838.917062114,-704173.096663395,-448524.495340297,-1566.6819645537369,-1929.24136072163,-1228.8342338090329
Veg,Dairy,dairy_soy,FL (mrh-eq),-572107.742805961,-704466.972371637,-446530.92131929,-1567.4184734409891,-1930.0464996483206,-1223.372387176137
Vegan,Dairy,dairy_soy,FL (mrh-eq),37849683.7157824,37729617.5754928,37979529.0874565,103697.76360488328,103368.81527532273,104053.5043491959
DGAplus,Dairy,dairy_tot,FL (mrh-eq),0,0,0,0,0,0
Med,Dairy,dairy_tot,FL (mrh-eq),0,0,0,0,0,0
US,Dairy,dairy_tot,FL (mrh-eq),0,0,0,0,0,0
Veg,Dairy,dairy_tot,FL (mrh-eq),0,0,0,0,0,0
Vegan,Dairy,dairy_tot,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot_calculated,FL (mrh-eq),16643446.37455261,16294040.641461791,16985308.67950446,45598.48321795235,44641.20723688162,46535.092272614966
Med,Dairy,dairy_tot_calculated,FL (mrh-eq),6078621.408512575,5699798.586183874,6438162.638513261,16653.757283596096,15615.886537490065,17638.8017493514
US,Dairy,dairy_tot_calculated,FL (mrh-eq),16640502.273834884,16270031.882890204,16983974.5452876,45590.417188588726,44575.42981613755,46531.43711037699
Veg,Dairy,dairy_tot_calculated,FL (mrh-eq),16637777.721590038,16267036.089136563,17000602.42315831,45582.952661890515,44567.222162017984,46576.992940159755
Vegan,Dairy,dairy_tot_calculated,FL (mrh-eq),23381136.880007397,23014048.1148609,23736879.680247102,64057.90926029424,63052.18661605726,65032.54706917014
DGAplus,Fruit,fruit_exc_juice,FL (mrh-eq),19904340.2588456,19595360.9616105,20199753.4067565,54532.439065330414,53685.92044276849,55341.79015549726
Med,Fruit,fruit_exc_juice,FL (mrh-eq),18690066.370816,18365654.2753515,18986869.3716623,51205.66128990685,50316.86102836027,52018.820196335066
US,Fruit,fruit_exc_juice,FL (mrh-eq),12962470.0369051,12665360.7747164,13274760.6334954,35513.61653946603,34699.618560866846,36369.20721505589
Veg,Fruit,fruit_exc_juice,FL (mrh-eq),12971060.7813502,12660940.0029949,13255934.9876468,35537.152825616984,34687.506857520275,36317.63010314191
Vegan,Fruit,fruit_exc_juice,FL (mrh-eq),12960212.9954565,12645572.3744042,13261082.9565334,35507.43286426438,34645.403765490955,36331.734127488766
DGAplus,Fruit,fruit_juice,FL (mrh-eq),-8005704.23556389,-8376875.05612546,-7641293.83091929,-21933.436261818875,-22950.34261952181,-20935.0515915597
Med,Fruit,fruit_juice,FL (mrh-eq),11021988.5015415,10652360.6714461,11405724.7778452,30197.228771346578,29184.549784783834,31248.561035192328
US,Fruit,fruit_juice,FL (mrh-eq),7100860.66982319,6705869.97643212,7440368.53878343,19454.412794036136,18372.246510772933,20384.571339132686
Veg,Fruit,fruit_juice,FL (mrh-eq),7081762.47301823,6727900.79871546,7461364.33125583,19402.088967173233,18432.604927987562,20442.09405823515
Vegan,Fruit,fruit_juice,FL (mrh-eq),7091644.9990858,6707511.14410255,7467461.1417041,19429.164381056984,18376.742860554932,20458.797648504384
DGAplus,Grains,gr_refined,FL (mrh-eq),-2356692.88131637,-2402425.65011688,-2311369.73764389,-6456.692825524301,-6581.988082512,-6332.519829161342
Med,Grains,gr_refined,FL (mrh-eq),-1936677.38056156,-1984516.75801661,-1887795.14150619,-5305.965426196055,-5437.032213744137,-5172.041483578602
US,Grains,gr_refined,FL (mrh-eq),-1935917.50932118,-1985307.83194275,-1889024.52086363,-5303.883587181315,-5439.199539569177,-5175.409646201726
Veg,Grains,gr_refined,FL (mrh-eq),-1936075.71855729,-1982271.31555983,-1890230.2017618,-5304.317037143261,-5430.880316602274,-5178.712881539178
Vegan,Grains,gr_refined,FL (mrh-eq),-1936226.57112155,-1987271.02666596,-1887679.4947871,-5304.730331839863,-5444.578155249205,-5171.724643252329
DGAplus,Grains,gr_whole,FL (mrh-eq),2417562.85608745,2396286.7352403,2440801.6028173,6623.459879691643,6565.169137644658,6687.127678951506
Med,Grains,gr_whole,FL (mrh-eq),1957571.66984374,1934230.4489181,1980202.01792669,5363.210054366411,5299.2615038852055,5425.211008018328
US,Grains,gr_whole,FL (mrh-eq),1957277.16652545,1935492.72200972,1979849.47813491,5362.403195960137,5302.719786328,5424.245145575096
Veg,Grains,gr_whole,FL (mrh-eq),2416877.40778363,2397250.49948068,2438121.36247488,6621.5819391332325,6567.8095876183015,6679.784554725699
Vegan,Grains,gr_whole,FL (mrh-eq),2417858.406448,2396385.81154271,2441386.831866,6624.26960670685,6565.440579569068,6688.731046208219
DGAplus,Protein,leg_tot,FL (mrh-eq),2575363.00326425,2538311.42757251,2612332.32914185,7055.78905003904,6954.277883760302,7157.074874361233
Med,Protein,leg_tot,FL (mrh-eq),844189.001148693,807328.620738978,881510.715172734,2312.8465784895698,2211.8592349013097,2415.0978497883125
US,Protein,leg_tot,FL (mrh-eq),844416.304113567,807681.073792638,882756.892703049,2313.4693263385398,2212.8248597058578,2418.512034802874
Veg,Protein,leg_tot,FL (mrh-eq),4888230.43634349,4851049.8455275,4924247.20401653,13392.412154365726,13290.54752199315,13491.088230182273
Vegan,Protein,leg_tot,FL (mrh-eq),5450762.6903606,5413623.69381897,5487294.48235323,14933.59641194685,14831.845736490328,15033.68351329652
DGAplus,Other,oil,FL (mrh-eq),-76687.3625450252,-120586.19235654,-35274.8914505396,-210.10236313705533,-330.37312974394524,-96.64353822065644
Med,Other,oil,FL (mrh-eq),-78812.7747573599,-122240.078845306,-36918.395623686,-215.92541029413673,-334.90432560357806,-101.14628937996166
US,Other,oil,FL (mrh-eq),-76374.820599698,-118203.670584381,-36179.6988671134,-209.24608383478903,-323.84567283392056,-99.12246264962576
Veg,Other,oil,FL (mrh-eq),-76733.7543512449,-119490.510541178,-35400.7100822902,-210.22946397601345,-327.371261756652,-96.98824680079507
Vegan,Other,oil,FL (mrh-eq),-79264.3349703197,-122141.589704043,-31811.7158391125,-217.16256156251973,-334.63449233984386,-87.1553858605822
DGAplus,Protein,pf_egg,FL (mrh-eq),-2058194.67860241,-2173339.90120264,-1948798.7323028,-5638.889530417562,-5954.355893705863,-5339.174609048768
Med,Protein,pf_egg,FL (mrh-eq),-858477.240337973,-960591.021552111,-745145.82608578,-2351.9924392821176,-2631.756223430441,-2041.495413933644
US,Protein,pf_egg,FL (mrh-eq),-855749.730472972,-963414.529061834,-739479.537704246,-2344.5198095149917,-2639.4918604433806,-2025.9713361760164
Veg,Protein,pf_egg,FL (mrh-eq),-1118260.69942864,-1229233.17885238,-1011801.49162407,-3063.72794364011,-3367.7621338421372,-2772.0588811618354
Vegan,Protein,pf_egg,FL (mrh-eq),-3371322.21369616,-3489803.09750618,-3261703.65940516,-9236.499215605918,-9561.10437672926,-8936.174409329205
DGAplus,Protein,pf_ns,FL (mrh-eq),3060298.84345489,2816856.55033868,3322315.29855268,8384.380393027095,7717.415206407342,9102.233694664876
Med,Protein,pf_ns,FL (mrh-eq),-530576.458366715,-792979.886762311,-263485.650646929,-1453.634132511548,-2172.5476349652354,-721.8784949230932
US,Protein,pf_ns,FL (mrh-eq),-538811.449710966,-797777.763324351,-284596.711037747,-1476.1957526327835,-2185.692502258496,-779.7170165417725
Veg,Protein,pf_ns,FL (mrh-eq),3062776.40967584,2825649.79563696,3317232.66564204,8391.168245687233,7741.506289416328,9088.30867299189
Vegan,Protein,pf_ns,FL (mrh-eq),4432203.09243665,4181348.81897534,4677243.18969889,12143.022171059314,11455.750188973534,12814.36490328463
DGAplus,Protein,pf_pm,FL (mrh-eq),0,0,0,0,0,0
Med,Protein,pf_pm,FL (mrh-eq),0,0,0,0,0,0
US,Protein,pf_pm,FL (mrh-eq),0,0,0,0,0,0
Veg,Protein,pf_pm,FL (mrh-eq),0,0,0,0,0,0
Vegan,Protein,pf_pm,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Protein,pf_poultry,FL (mrh-eq),0,0,0,0,0,0
Med,Protein,pf_poultry,FL (mrh-eq),0,0,0,0,0,0
US,Protein,pf_poultry,FL (mrh-eq),0,0,0,0,0,0
Veg,Protein,pf_poultry,FL (mrh-eq),0,0,0,0,0,0
Vegan,Protein,pf_poultry,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Protein,pf_poultry_tot,FL (mrh-eq),-2940002.01136715,-3067086.93622398,-2810349.65497702,-8054.800031142877,-8402.977907462959,-7699.588095827452
Med,Protein,pf_poultry_tot,FL (mrh-eq),-1179072.67284233,-1306267.12189465,-1048012.10823847,-3230.3360899789864,-3578.8140325880818,-2871.266049968411
US,Protein,pf_poultry_tot,FL (mrh-eq),-1180077.45499516,-1291258.77742313,-1048652.45966811,-3233.088917794959,-3537.6952806113154,-2873.0204374468763
Veg,Protein,pf_poultry_tot,FL (mrh-eq),-6764003.41062605,-6890912.68310523,-6638569.49018157,-18531.516193496027,-18879.212830425287,-18187.861616935807
Vegan,Protein,pf_poultry_tot,FL (mrh-eq),-6767887.98460794,-6901321.54723801,-6637063.52709615,-18542.15886193956,-18907.730266405506,-18183.735690674384
DGAplus,Protein,pf_redm,FL (mrh-eq),0,0,0,0,0,0
Med,Protein,pf_redm,FL (mrh-eq),0,0,0,0,0,0
US,Protein,pf_redm,FL (mrh-eq),0,0,0,0,0,0
Veg,Protein,pf_redm,FL (mrh-eq),0,0,0,0,0,0
Vegan,Protein,pf_redm,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Protein,pf_redm_tot,FL (mrh-eq),-30310647.962993,-31033681.6054792,-29604395.6026358,-83042.87113148767,-85023.78522049096,-81107.9331579063
Med,Protein,pf_redm_tot,FL (mrh-eq),-7134103.67846487,-7875396.04481559,-6428880.7046245,-19545.48953004074,-21576.42752004271,-17613.37179349178
US,Protein,pf_redm_tot,FL (mrh-eq),-7140865.51564645,-7816479.65678644,-6434924.07181151,-19564.01511136014,-21415.012758319015,-17629.92896386715
Veg,Protein,pf_redm_tot,FL (mrh-eq),-39476690.4301306,-40151216.5445556,-38766532.393801,-108155.31624693316,-110003.33299878245,-106209.67779123563
Vegan,Protein,pf_redm_tot,FL (mrh-eq),-39483898.3636748,-40189200.2134838,-38749784.873104,-108175.06401006793,-110107.3978451611,-106163.79417288766
DGAplus,Protein,pf_seafood,FL (mrh-eq),8577458.57425822,8227020.46833042,8946383.98197931,23499.88650481704,22539.78210501485,24510.64104651866
Med,Protein,pf_seafood,FL (mrh-eq),29027743.2124763,28685698.7332669,29392733.6905217,79528.06359582547,78590.95543360795,80528.03750827862
US,Protein,pf_seafood,FL (mrh-eq),11087048.6419499,10690287.4939368,11450652.2421748,30375.475731369588,29288.45888749808,31371.649978561098
Veg,Protein,pf_seafood,FL (mrh-eq),-9351562.86693057,-9701502.34083322,-8978929.56099129,-25620.720183371424,-26579.45846803622,-24599.807016414492
Vegan,Protein,pf_seafood,FL (mrh-eq),-9355636.67155793,-9756409.69060818,-9007508.09155083,-25631.88129193953,-26729.88956331008,-24678.104360413236
DGAplus,Other,sat_fat,FL (mrh-eq),-5373593.34065245,-5452152.3407303505,-5299179.37175854,-14722.17353603411,-14937.403673233837,-14518.299648653534
Med,Other,sat_fat,FL (mrh-eq),-5622493.72256381,-5701911.97607597,-5540688.50019296,-15404.09239058578,-15621.676646783479,-15179.968493679342
US,Other,sat_fat,FL (mrh-eq),-5624258.29823364,-5706163.40389894,-5542130.27996246,-15408.926844475727,-15633.324394243673,-15183.918575239615
Veg,Other,sat_fat,FL (mrh-eq),-5375669.89520571,-5456904.97006804,-5298504.69453222,-14727.862726590987,-14950.424575528878,-14516.451217896494
Vegan,Other,sat_fat,FL (mrh-eq),-5375459.3253657,-5454411.42727692,-5293739.70666467,-14727.285822919726,-14943.592951443616,-14503.396456615535
DGAplus,Other,sodium,FL (mrh-eq),0,0,0,0,0,0
Med,Other,sodium,FL (mrh-eq),0,0,0,0,0,0
US,Other,sodium,FL (mrh-eq),0,0,0,0,0,0
Veg,Other,sodium,FL (mrh-eq),0,0,0,0,0,0
Vegan,Other,sodium,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Other,ssb,FL (mrh-eq),0,0,0,0,0,0
Med,Other,ssb,FL (mrh-eq),0,0,0,0,0,0
US,Other,ssb,FL (mrh-eq),0,0,0,0,0,0
Veg,Other,ssb,FL (mrh-eq),0,0,0,0,0,0
Vegan,Other,ssb,FL (mrh-eq),0,0,0,0,0,0
DGAplus,Vegetables,veg_dg,FL (mrh-eq),716264.700743558,663729.883927231,774677.640458905,1962.3690431330356,1818.4380381567971,2122.4044944079587
Med,Vegetables,veg_dg,FL (mrh-eq),718016.636876127,666503.788080632,775488.127635613,1967.1688681537726,1826.0377755633754,2124.6250072208572
US,Vegetables,veg_dg,FL (mrh-eq),717889.920741322,660936.285024805,770752.53302317206,1966.8217006611562,1810.7843425337123,2111.6507754059508
Veg,Vegetables,veg_dg,FL (mrh-eq),716807.661576082,661379.165203558,768494.083406876,1963.856607057759,1811.9977128864605,2105.4632422106192
Vegan,Vegetables,veg_dg,FL (mrh-eq),716893.976945291,660551.22499745,777311.006310987,1964.0930875213453,1809.7293835546575,2129.6191953725674
DGAplus,Vegetables,veg_exc_sta,FL (mrh-eq),5690104.145157973,5461724.0650434485,5927042.89578645,0,0,0
Med,Vegetables,veg_exc_sta,FL (mrh-eq),5689397.350593369,5455762.9193316335,5942378.784328731,0,0,0
US,Vegetables,veg_exc_sta,FL (mrh-eq),5692654.383850764,5457707.577690657,5931165.607926606,0,0,0
Veg,Vegetables,veg_exc_sta,FL (mrh-eq),5693298.938364895,5455347.853805796,5931452.090201223,0,0,0
Vegan,Vegetables,veg_exc_sta,FL (mrh-eq),5695825.26548327,5457595.227925651,5926343.488387115,0,0,0
DGAplus,Vegetables,veg_oth,FL (mrh-eq),562296.182741595,456341.369406618,660674.767452445,1540.537486963274,1250.2503271414191,1810.067856034096
Med,Vegetables,veg_oth,FL (mrh-eq),558066.986152923,452159.117874731,673946.899419398,1528.9506469943094,1238.7921037663864,1846.4298614230083
US,Vegetables,veg_oth,FL (mrh-eq),559470.802005722,452186.482543892,670755.327513964,1532.7967178238957,1238.8670754627178,1837.6858288053809
Veg,Vegetables,veg_oth,FL (mrh-eq),561256.415975703,455521.311506998,673568.395591197,1537.6888108923372,1248.0035931698576,1845.3928646334164
Vegan,Vegetables,veg_oth,FL (mrh-eq),562521.201948719,456640.715436501,657931.599573468,1541.1539779416958,1251.0704532506877,1802.5523275985424
DGAplus,Vegetables,veg_ro,FL (mrh-eq),4411543.26167282,4341652.8117096,4491690.4878751,12086.419894994027,11894.939210163286,12306.00133664411
Med,Vegetables,veg_ro,FL (mrh-eq),4413313.72756432,4337100.01337627,4492943.75727372,12091.27048647759,11882.465790071974,12309.434951434849
US,Vegetables,veg_ro,FL (mrh-eq),4415293.66110372,4344584.81012196,4489657.74738947,12096.694961928,11902.972082525917,12300.432184628686
Veg,Vegetables,veg_ro,FL (mrh-eq),4415234.86081311,4338447.37709524,4489389.61120315,12096.533865241398,11886.157197521206,12299.697564940137
Vegan,Vegetables,veg_ro,FL (mrh-eq),4416410.08658926,4340403.2874917,4491100.88250266,12099.753661888384,11891.515856141643,12304.385979459343
DGAplus,Vegetables,veg_sta,FL (mrh-eq),869721.924486879,843968.53149752,894937.598590595,2382.799793114737,2312.242552048,2451.883831755055
Med,Vegetables,veg_sta,FL (mrh-eq),870095.982407392,845293.060458179,895071.364793621,2383.8246093353205,2315.8713985155587,2452.2503145030714
US,Vegetables,veg_sta,FL (mrh-eq),869440.963555767,844928.282940294,894064.765244742,2382.0300371390877,2314.8720080556,2449.492507519841
Veg,Vegetables,veg_sta,FL (mrh-eq),870493.906029774,845328.520698017,894739.161069229,2384.9148110404767,2315.968549857581,2451.340167312956
Vegan,Vegetables,veg_sta,FL (mrh-eq),869333.691899338,843603.367695404,893707.508434677,2381.7361421899673,2311.2421032750794,2448.513721738841
DGAplus,Other,added_sugar,Food_price (USD),-221498802.849385,-225731284.47412,-217092369.191731,-606846.0352037945,-618441.8752715617,-594773.6142239205
Med,Other,added_sugar,Food_price (USD),-222502479.605205,-226581896.695221,-218497949.545834,-609595.8345348082,-620772.3197129343,-598624.5193036548
US,Other,added_sugar,Food_price (USD),-222599650.455125,-226545861.558333,-218338032.718447,-609862.0560414384,-620673.5933105014,-598186.3910094438
Veg,Other,added_sugar,Food_price (USD),-221246795.709752,-225092043.069137,-217179945.605025,-606155.6046842521,-616690.5289565397,-595013.5496028082
Vegan,Other,added_sugar,Food_price (USD),-221345566.371642,-225542963.7846,-217064633.468939,-606426.2092373753,-617925.9281769863,-594697.6259422987
DGAplus,Dairy,dairy_cow,Food_price (USD),0,0,0,0,0,0
Med,Dairy,dairy_cow,Food_price (USD),0,0,0,0,0,0
US,Dairy,dairy_cow,Food_price (USD),0,0,0,0,0,0
Veg,Dairy,dairy_cow,Food_price (USD),0,0,0,0,0,0
Vegan,Dairy,dairy_cow,Food_price (USD),0,0,0,0,0,0
DGAplus,Dairy,dairy_soy,Food_price (USD),0,0,0,0,0,0
Med,Dairy,dairy_soy,Food_price (USD),0,0,0,0,0,0
US,Dairy,dairy_soy,Food_price (USD),0,0,0,0,0,0
Veg,Dairy,dairy_soy,Food_price (USD),0,0,0,0,0,0
Vegan,Dairy,dairy_soy,Food_price (USD),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot,Food_price (USD),160393023.284729,157695830.79385,163354914.535485,439432.9405061069,432043.3720379452,447547.7110561233
Med,Dairy,dairy_tot,Food_price (USD),61339510.655713104,58442753.6803013,64300728.4195716,168053.45385126877,160117.1333706885,176166.379231703
US,Dairy,dairy_tot,Food_price (USD),160460478.456912,157525359.453543,163102106.479313,439617.7491970192,431576.32726998086,446855.0862446931
Veg,Dairy,dairy_tot,Food_price (USD),160320737.711939,157276290.66408,163471507.320464,439234.8978409288,430893.9470248767,447867.14334373694
Vegan,Dairy,dairy_tot,Food_price (USD),-136685929.370181,-139494941.543197,-133831528.1294,-374481.99827446847,-382177.9220361562,-366661.72090246575
DGAplus,Dairy,dairy_tot_calculated,Food_price (USD),160393023.284729,157695830.79385,163354914.535485,439432.9405061069,432043.3720379452,447547.7110561233
Med,Dairy,dairy_tot_calculated,Food_price (USD),61339510.655713104,58442753.6803013,64300728.4195716,168053.45385126877,160117.1333706885,176166.379231703
US,Dairy,dairy_tot_calculated,Food_price (USD),160460478.456912,157525359.453543,163102106.479313,439617.7491970192,431576.32726998086,446855.0862446931
Veg,Dairy,dairy_tot_calculated,Food_price (USD),160320737.711939,157276290.66408,163471507.320464,439234.8978409288,430893.9470248767,447867.14334373694
Vegan,Dairy,dairy_tot_calculated,Food_price (USD),-136685929.370181,-139494941.543197,-133831528.1294,-374481.99827446847,-382177.9220361562,-366661.72090246575
