diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
DGAplus,Protein,pf_seafood,BLUEWATER (L),0.94938643243814,0.907027613676098,0.992158192899943,346.5260478399211,331.06507899177575,362.1377404084792
Med,Protein,pf_seafood,BLUEWATER (L),3.22570926890829,3.18340495744978,3.26908785736325,1177.3838831515259,1161.9428094691696,1193.2170679375863
US,Protein,pf_seafood,BLUEWATER (L),1.22847279350628,1.18068827519316,1.27118901626808,448.3925696297922,430.9512204455034,463.98399093784917
Veg,Protein,pf_seafood,BLUEWATER (L),-1.04811327329459,-1.09048753149983,-1.00303115840075,-382.5613447525253,-398.02794899743793,-366.1063728162738
Vegan,Protein,pf_seafood,BLUEWATER (L),-1.04857467144973,-1.09308326513864,-1.0057825648492,-382.7297550791514,-398.9753917756036,-367.110636169958
DGAplus,Other,sat_fat,BLUEWATER (L),-14.4513180672647,-14.6612998735029,-14.2514640987158,-5274.731094551616,-5351.374453828558,-5201.7843960312675
Med,Other,sat_fat,BLUEWATER (L),-15.1213241838985,-15.3323087443766,-14.9054062689569,-5519.283327122952,-5596.292691697459,-5440.473288169269
US,Other,sat_fat,BLUEWATER (L),-15.1263698869592,-15.3409757806371,-14.9080425656702,-5521.125008740108,-5599.456159932542,-5441.435536469623
Veg,Other,sat_fat,BLUEWATER (L),-14.4554596514668,-14.6745469755425,-14.2488841963727,-5276.242772785382,-5356.209646073013,-5200.842731676035
Vegan,Other,sat_fat,BLUEWATER (L),-14.4560542347026,-14.6689992636403,-14.2385547727399,-5276.459795666449,-5354.18473122871,-5197.072492050063
DGAplus,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Med,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
US,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Veg,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Vegan,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Med,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
US,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Veg,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Vegan,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Vegetables,veg_dg,BLUEWATER (L),3.41458070376313,3.15732410012037,3.69831942160967,1246.3219568735424,1152.423296543935,1349.8865888875296
