fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
601043000,"Bean, snap, succulent",0.375,0.1875,0.2279329,leg_tot,,
1500323000,"Rice, white",0.49253735,0,0.13636358,gr_refined,,
101053000,"Beet, sugar, molasses",0.51515156,0,0.12359548,added_sugar,,
9500263000,Peanut,0.041666668,0,0.06382978,pf_ns,,
1500120000,"Corn, field, flour",0.25,0,0.13636363,gr_refined,,
9500363000,"Sugarcane, molasses",0.51515156,0,0.12359547,added_sugar,,
9500264000,"Peanut, butter",0.041666664,0,0.063829795,pf_ns,,
9500265000,"Peanut, oil",0.17647059,0,0.26582277,oil,,
1400081000,Cashew,0.21951219,0,0.063829757,pf_ns,,
1400269000,Pecan,0.1627907,0,0.063829817,pf_ns,,
1400155000,Hazelnut,0.25,0,0.063829787,pf_ns,,
1500401000,"Wheat, grain",0.25,0,0.13636366,gr_whole,,
9500186000,Honey,0.17647058,0,0.12359546,added_sugar,,
1301058000,Boysenberry,0.66666669,0,0.063829742,fruit_exc_juice,,
1307360000,"Strawberry, juice",0.59322035,0,0.10808208,fruit_juice,,Changed inedible to 0
1301321000,"Raspberry, juice",0.2631579,0,0.10808209,fruit_juice,,Changed inedible to 0
1304176000,"Grape, juice",0.11111111,0,0.063829772,fruit_juice,,
1100010000,"Apple, juice",0.11111111,0,0.063829832,fruit_juice,,
1307132000,"Cranberry, juice",0.11111111,0,0.063829809,fruit_juice,,
1100268000,"Pear, juice",0.2857143,0,0.21328227,fruit_juice,,Changed inedible to 0
1001370000,"Tangerine, juice",2.3636363,0,0.25628135,fruit_juice,,Changed inedible to 0
1002200000,"Lemon, juice",0.11111111,0,0.063829809,fruit_juice,,
2403281000,"Pineapple, juice",0.11111112,0,0.063829802,fruit_juice,,
1301055000,Blackberry,0.66666669,0,0.063829765,fruit_exc_juice,,
1002207000,"Lime, juice",0.11111111,0,0.063829832,fruit_juice,,
1003181000,"Grapefruit, juice",0.11111112,0,0.063829742,fruit_juice,,
1202014000,"Apricot, juice",0.12048194,0,0.54083204,fruit_juice,,Changed inedible to 0
2405253000,"Passionfruit, juice",0.11111112,0,0.063829742,fruit_juice,"Pineapple, juice","Zach's dataset did not have a proxy for this FCID, so we assigned one"
1201091000,"Cherry, juice",1.275,0,0.040582728,fruit_juice,,Changed inedible to 0
2402217000,"Mango, juice",0.23214282,0,0.16911431,fruit_juice,,Changed inedible to 0
1500121000,"Corn, field, meal",0.25,0,0.13636366,gr_whole,,
1400112000,"Coconut, dried",0.11111111,0,0.063829817,fruit_exc_juice,,
1304178000,"Grape, raisin",0.35135135,0,0.063829817,fruit_exc_juice,,
3400293000,"Pork, fat",0.53846157,0,1,sat_fat,,
1100008000,"Apple, peeled fruit",0.28571427,0.14285713,0.094091929,fruit_exc_juice,,
1400282000,Pistachio,0.19047621,0,0.063829817,pf_ns,,
103167000,"Ginger, dried",1.0930233,0.23255813,0.26616451,veg_oth,,
902308000,Pumpkin,69,30,0.12657726,veg_ro,,
1400113000,"Coconut, milk",0.11111112,0,0.063829802,other,,
1002201000,"Lemon, peel",4.8888888,5.2222228,0.07526882,fruit_exc_juice,,
1304179000,"Grape, wine and sherry",0.11111112,0,0.06382975,other,,
1902354001,"Spices, other-babyfood",NA,NA,NA,babyfood,,
7000147001,"Egg, yolk-babyfood",0.35384616,0.18461539,0.098901078,babyfood,,
3600224001,"Milk, water-babyfood/infant formula",0.25,0,0.13636367,babyfood,,
3600222001,"Milk, fat-baby food/infant formula",0.13636364,0,0.13636364,babyfood,,
4000096000,"Chicken, fat",0.17647059,0,0.041355938,sat_fat,,
4000093000,"Chicken, meat",0.17647059,0,0.041355871,pf_poultry,,
1901184000,"Herbs, other",1.1875,0.93750006,0.69411534,veg_oth,,
1901029000,"Basil, dried leaves",1.1875,0.9375,0.69411534,veg_oth,,
1901220000,Marjoram,1.1875,0.93750006,0.69411528,veg_oth,,
1901334000,Savory,1.1875,0.93750006,0.6941154,veg_oth,,
802270000,"Pepper, bell",0.9069767,0.41860467,0.084240541,veg_ro,,
301237000,"Onion, bulb",0.91489357,0.21276595,0.10811647,veg_oth,,
2403279001,Pineapple-babyfood,2.6428571,3.5,0.17135958,babyfood,,
1902274000,"Pepper, black and white",0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
2301235000,Olive,0.33333334,0,0.063829817,veg_oth,,
1902119000,"Coriander, seed",0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
802272000,"Pepper, nonbell",0.9069767,0.41860467,0.084240541,veg_oth,"Pepper, bell","Zach's dataset did not have a proxy for this FCID, so we assigned one"
902135000,Cucumber,0.78048784,0.65853667,0.065304458,veg_oth,,
8000162000,"Fish-shellfish, mollusc",0.66666669,0,0.10219059,pf_seafood,,
8000157000,Fish-freshwater finfish,0.66666669,0,0.09524557,pf_seafood,,
401118000,"Cilantro, leaves",1.1874999,0.9375,0.6941154,veg_oth,,
