,risk_factor,subgroup,Age,Age_label,Sex,Sex_label,Race,IHD,IHDse,ISTK,ISTKse,HSTK,HSTKse,HHD,HHDse,AA,AAse,RHD,RHDse,ENDO,ENDOse,OTH,OTHse,CM,CMse,AFF,AFFse,PVD,PVDse,OSTK,OSTKse,DIAB,DIABse,TSTK,TSTKse
37,SBP,37,5,65-74,2,Male,1,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
38,SBP,38,5,65-74,2,Male,2,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
39,SBP,39,5,65-74,2,Male,3,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
40,SBP,40,5,65-74,2,Male,4,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
41,SBP,41,6,75+,1,Female,1,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
42,SBP,42,6,75+,1,Female,2,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
43,SBP,43,6,75+,1,Female,3,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
44,SBP,44,6,75+,1,Female,4,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
45,SBP,45,6,75+,2,Male,1,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
46,SBP,46,6,75+,2,Male,2,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
47,SBP,47,6,75+,2,Male,3,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
48,SBP,48,6,75+,2,Male,4,0.167865296,0.039575667,0.15882199,0.020088205,0.169904821,0.047824377,0.387826532,0.019117163,0.151563567,0.017811352,0.07373901,0.022463292,0.115646941,0.022115533,0.130346025,0.013768225,0.129962052,0.013781661,0.130207608,0.013472948,0.13018256,0.013542115,0.167865296,0.039575667,0.167865296,0.039575667,0.167865296,0.039575667
