Race_label,food,mean,se
NHB,pf_egg_grams,28.147177711295427,Inf
NHW,pf_egg_grams,28.681105208470413,Inf
OTH,pf_egg_grams,27.492785739164468,Inf
HIS,pf_leg,0.9041219981372401,Inf
NHB,pf_leg,0.30920630172172464,Inf
NHW,pf_leg,0.3642611081485445,Inf
OTH,pf_leg,0.5368390931017732,Inf
HIS,pf_leg_1,0.940938970260063,Inf
NHB,pf_leg_1,0.30399988984112286,Inf
NHW,pf_leg_1,0.3585659771781086,Inf
OTH,pf_leg_1,0.5334662794263332,Inf
HIS,pf_leg_2,NA,NA
NHB,pf_leg_2,NA,NA
NHW,pf_leg_2,NA,NA
OTH,pf_leg_2,NA,NA
HIS,pf_ns,0.42948977666651406,Inf
NHB,pf_ns,0.49276543716926496,Inf
NHW,pf_ns,0.8563484918912447,Inf
OTH,pf_ns,0.8387318007081482,Inf
HIS,pf_ns_1,0.421036033597852,Inf
NHB,pf_ns_1,0.4885571295882608,Inf
NHW,pf_ns_1,0.8466200929450676,Inf
OTH,pf_ns_1,0.8803524640657416,Inf
HIS,pf_ns_2,NA,NA
NHB,pf_ns_2,NA,NA
NHW,pf_ns_2,NA,NA
OTH,pf_ns_2,NA,NA
HIS,pf_ns_grams,6.442346649997711,Inf
NHB,pf_ns_grams,7.391481557538974,Inf
NHW,pf_ns_grams,12.845227378368671,Inf
OTH,pf_ns_grams,12.580977010622224,Inf
HIS,pf_plant,1.4244011065078304,Inf
NHB,pf_plant,0.8633172836504246,Inf
NHW,pf_plant,1.3354906427364168,Inf
OTH,pf_plant,1.5139189734024872,Inf
HIS,pf_plant_1,1.4499244294849079,Inf
NHB,pf_plant_1,0.8475006124088006,Inf
NHW,pf_plant_1,1.3196646801241598,Inf
OTH,pf_plant_1,1.5436674696385693,Inf
HIS,pf_plant_2,NA,NA
NHB,pf_plant_2,NA,NA
NHW,pf_plant_2,NA,NA
OTH,pf_plant_2,NA,NA
HIS,pf_pm,0.7075610298955476,Inf
NHB,pf_pm,0.8989552599973093,Inf
NHW,pf_pm,1.0402302016415372,Inf
OTH,pf_pm,0.6244902384816636,Inf
HIS,pf_pm_1,0.672467596154962,Inf
NHB,pf_pm_1,0.9199484288048149,Inf
NHW,pf_pm_1,1.053272225135542,Inf
OTH,pf_pm_1,0.5684360815001539,Inf
HIS,pf_pm_2,NA,NA
NHB,pf_pm_2,NA,NA
NHW,pf_pm_2,NA,NA
OTH,pf_pm_2,NA,NA
HIS,pf_poultry,1.7358494344721374,Inf
NHB,pf_poultry,2.2039491388667005,Inf
NHW,pf_poultry,1.4137737759699625,Inf
OTH,pf_poultry,1.6851003050878712,Inf
HIS,pf_poultry_1,1.6825805128649858,Inf
NHB,pf_poultry_1,2.1008502806977694,Inf
NHW,pf_poultry_1,1.345821499411977,Inf
OTH,pf_poultry_1,1.6812119382104946,Inf
HIS,pf_poultry_2,NA,NA
NHB,pf_poultry_2,NA,NA
NHW,pf_poultry_2,NA,NA
OTH,pf_poultry_2,NA,NA
HIS,pf_poultry_tot,1.8974778096735267,Inf
NHB,pf_poultry_tot,2.4605219229411386,Inf
NHW,pf_poultry_tot,1.6930424432291644,Inf
OTH,pf_poultry_tot,1.8904986173178202,Inf
HIS,pf_poultry_tot_1,NA,NA
NHB,pf_poultry_tot_1,2.385588025571204,Inf
