subgroup,food,mean,SE,pro_gro,gro_mean_intake,gro_se_intake,oth_mean_intake,oth_se_intake,food_label,food_desc
3,fruit_exc_juice,0.7063053984425437,0.06383290979032519,0.7980890971877843,0.563694637781868,0.05094434934542991,0.1426107606606757,0.01288856044489528,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)"
3,fruit_juice,0.2751236021574191,0.03276371658065936,0.644414853544888,0.17729373579101526,0.021113425621911822,0.09782986636640383,0.011650290958747539,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)"
3,veg_exc_sta,0.9991399921223184,0.06519745203322284,0.6284130259375891,0.6278725857848451,0.04097092811561839,0.3712674063374734,0.024226523917604458,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)"
3,veg_dg,0.12400584528909817,0.02156915580853077,0.6257411955035865,0.07759556588063309,0.013496709341633172,0.04641027940846509,0.008072446466897597,Dark-green vegetables,Dark green vegetables (cup eq.)
3,veg_oth,0.5210016920479027,0.04096363799458975,0.6390473228662884,0.3329447365120186,0.026177703195306355,0.18805695553588406,0.014785934799283395,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.)
3,veg_ro,0.3393108359681415,0.01901131558228724,0.6129409731095665,0.20797751398493314,0.011652814273100207,0.13133332198320835,0.0073585013091870335,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"
3,veg_sta,0.3698702685071569,0.03320465179137415,0.47979137140691064,0.17746056336969107,0.015931305420072334,0.1924097051374658,0.017273346371301814,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)
3,veg_leg,0.16764737786698267,0.01717502617694136,0.7732671947188738,0.1296362175851767,0.01328088431106667,0.03801116028180596,0.00389414186587469,"Beans, peas, lentils (vegetables)","Beans, peas, and lentils  (legumes) computed as vegetables (cup eq.)"
3,pf_ns,0.36950966104609406,0.0450621920171791,0.8185046338231262,0.30244536980864073,0.03688361297628858,0.06706429123745336,0.00817857904089052,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
3,pf_soy,0.1374133737992237,0.02640390393851669,0.577681475187487,0.07938116048682513,0.01525304617791102,0.05803221331239857,0.01115085776060567,Soy foods,"Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)"
3,pf_leg,0.674091429090529,0.06946930247949372,0.7740569527568479,0.5217851574813237,0.05377319658742065,0.1523062716092053,0.01569610589207307,"Beans, peas, lentils (protein)",Beans and Peas (legumes) computed as protein foods (oz. eq.)
3,pf_egg,0.7241690151637257,0.07353504132375943,0.8012497338711758,0.5802402306776867,0.058919932290868164,0.143928784486039,0.01461510903289127,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
3,pf_poultry,1.5632302569460892,0.12400911232438948,0.4849724344995853,0.7581235833945572,0.06014100110409169,0.805106673551532,0.06386811122029777,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)"
3,pf_poultry_tot,1.704506685646985,0.132842914262514,0.5162356243593142,0.8799270730895967,0.06857824478601976,0.8245796125573883,0.06426466947649423,Unprocessed and processed poultry,Combination of ‘uncured poultry’ and ‘cured poultry’
3,pf_redm,1.660888486236915,0.1695518184699508,0.5974374535607166,0.992276987865696,0.1012966066732763,0.6686114983712191,0.0682552117966745,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"
3,pf_redm_tot,2.1082401833938738,0.17720021317208104,0.588070579337042,1.239794026030067,0.10420623201875304,0.8684461573638068,0.072993981153328,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’
3,pf_pm,0.536718108993174,0.0611582041061253,0.6249015767742219,0.3353959925931131,0.03821785817859739,0.20132211640006087,0.02294034592752791,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)"
