subgroup,food,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,fcid_purchased_mean,fcid_purchased_se,GHGper100gram,CEDper100gram,GHGperDGA,CEDperDGA
44,fruit_juice,0.060188377804687665,0.022044463078479338,0.42337549348444076,0.1491549887830828,48.59170486371362,18.092738438225492,0.1238655403705211,0.8712917043596076,0.31090250633000793,2.1869421779426146
45,fruit_juice,0.04668591623000146,0.006628530294955929,0.36382480259213434,0.048382434740334906,49.161556119235954,6.147058941056892,0.09496427679540881,0.7400595736020179,0.23836033475647608,1.8575495297410647
46,fruit_juice,0.09376311516760007,0.023955854200060373,0.7242196229761073,0.16529787719664996,93.82205305287204,17.919168569156273,0.09993718120276184,0.7719076692640525,0.2508423248189322,1.9374882498527717
47,fruit_juice,0.052414307047467544,0.009562913312235933,0.44641579148272836,0.07505586488289986,65.94927496694524,11.006613292026405,0.07947669943867977,0.6769078078666955,0.1994865155910862,1.6990385977454054
48,fruit_juice,0.022581578851135868,0.008373321959613248,0.211317364561363,0.08344190031465021,34.78729099256134,14.476187083840124,0.06491330082576578,0.6074556498422069,0.1629323850726721,1.5247136811039392
1,gr_refined,0.07675270243568162,0.005288247331332742,0.4457821036492074,0.024363277235945516,150.3396494969659,5.981517934943437,0.05105286775145143,0.29651665754229656,0.018379032390522514,0.10674599671522676
2,gr_refined,0.07945690406207216,0.007763248373387415,0.44647272512892733,0.036062772237881895,141.48143105595992,8.927857172555552,0.056160659013015424,0.3155698396578521,0.020217837244685552,0.11360514227682676
3,gr_refined,0.1016706318037547,0.005222201526693907,0.5905101152106655,0.029164341021826187,173.66815283961228,7.89812964644242,0.05854304899393418,0.340022108576245,0.021075497637816302,0.12240795908744818
4,gr_refined,0.1458623779699569,0.011955052805293421,0.6871731619936032,0.04786097052448123,182.82561426918753,9.48239087521071,0.07978224416366136,0.37586262993861896,0.02872160789891809,0.13531054677790283
5,gr_refined,0.05591970241804926,0.0026528928367478503,0.3347669580966265,0.013793583740588106,109.51894958282575,5.023672736069717,0.05105938527629773,0.30567035145224136,0.018381378699467182,0.11004132652280689
6,gr_refined,0.05705966826018,0.0024801043633663157,0.325036771135591,0.012647476565075463,105.61071705273196,3.65040367490541,0.05402829357904069,0.30776873806594696,0.019450185688454646,0.1107967457037409
7,gr_refined,0.07133424232241208,0.0035982588354827286,0.4248108470923714,0.018974290072019725,120.49393031897816,4.708260532911757,0.05920152337430786,0.3525578806897482,0.021312548414750828,0.12692083704830934
8,gr_refined,0.10468354256660319,0.007715626831376897,0.49409945022655244,0.028517560086077646,132.83946962312058,5.529758462721387,0.078804547220492,0.37195229070724545,0.02836963699937712,0.13390282465460834
9,gr_refined,0.058781086693513646,0.004102708253161717,0.3676890347620395,0.023784621554553263,126.8009185638506,6.62105468491765,0.04635698807175,0.2899734788410777,0.01668851570583,0.10439045238278798
10,gr_refined,0.07728278886709673,0.008572989279005143,0.4118852216907511,0.035376522086987265,129.48453145387992,7.861290086923478,0.05968495850380667,0.3180960822625035,0.0214865850613704,0.11451458961450127
11,gr_refined,0.09942508036008485,0.006074331396902778,0.6044398707948374,0.03276619153604956,171.88993950726095,8.357534043872953,0.05784229178571848,0.3516435415170443,0.02082322504285865,0.12659167494613593
12,gr_refined,0.12612579117581812,0.011994001796965435,0.6026242814277032,0.051179744619029334,165.8071530788586,12.336426858504101,0.07606776235753361,0.3634489044879098,0.027384394448712098,0.1308416056156475
13,gr_refined,0.05315625298171816,0.005353522354738971,0.3583848399312236,0.0515274405737213,105.09051984755207,6.697536621381066,0.050581396931738895,0.3410248997255975,0.018209302895426,0.1227689639012151
14,gr_refined,0.059369587614997166,0.0037295758633338044,0.3688667285148393,0.0328848390300334,108.61337991565357,6.130015186274747,0.05466139407603566,0.3396144460298464,0.019678101867372837,0.1222612005707447
15,gr_refined,0.07530370318405227,0.004370558007135498,0.4565134484887436,0.029294796877788732,128.37128752955502,8.872511999203423,0.05866086150044654,0.3556195916346482,0.021117910140160755,0.12802305298847333
16,gr_refined,0.1067599932008675,0.012257966847442335,0.5064875130106543,0.04732211742585105,134.9494597793225,9.133722925489348,0.0791110934237513,0.3753164435329295,0.02847999363255047,0.1351139196718546
17,gr_refined,0.06679295426925531,0.00474480145961762,0.3940236534505509,0.022331699767627,134.20934147302225,5.870931618701739,0.049767738620997204,0.29358884346344444,0.01791638590355899,0.10569198364683999
18,gr_refined,0.06426174110084747,0.0051263263055864195,0.37157127602899415,0.023482454142139553,118.69432914079749,5.510557063855121,0.05414053187378392,0.3130488867654571,0.01949059147456221,0.11269759923556455
19,gr_refined,0.09760609549586194,0.008954252966910362,0.5763547381107175,0.042910035506592725,160.59610642812035,11.772181585956575,0.060777373540838925,0.35888462736092697,0.02187985447470201,0.1291984658499337
20,gr_refined,0.14501173402904058,0.017581495388461373,0.674404313416536,0.07922810241979285,168.73569082050042,18.52457466680556,0.08594016673289519,0.3996808915393967,0.030938460023842266,0.1438851209541828
21,gr_refined,0.04954397348778112,0.0039703806692108915,0.30382479485857644,0.02045445760846019,97.67762215969658,5.948754078743185,0.050721928311051566,0.31104851668260575,0.018259894191978564,0.11197746600573806
22,gr_refined,0.051292112372834146,0.0033863448139254074,0.29767575303222515,0.016492964847734038,96.98410377074299,4.812249313606812,0.05288713343588926,0.3069325193084111,0.01903936803692013,0.11049570695102799
23,gr_refined,0.06619044837420836,0.0041020298056746625,0.39324830475079176,0.021426133182973015,108.21813630938357,5.4858701355280415,0.061163914507802335,0.36338484302348245,0.02201900922280884,0.13081854348845368
24,gr_refined,0.09327316810694765,0.00972677191287695,0.44460219235480813,0.04130938154041275,113.59552494002824,8.362246644310183,0.0821098966320992,0.39139058742809807,0.02955956278755571,0.1409006114741153
25,gr_refined,0.06582041422743651,0.0036388088521034996,0.4004434998685908,0.01883720558501568,136.45552246629228,5.459582152530654,0.04823580096855054,0.29346082344707575,0.017364888348678192,0.10564589644094727
26,gr_refined,0.06733653016763887,0.0080985262009359,0.37875101500486913,0.038599785169543856,121.48545172298161,7.915631633859003,0.05542764932971864,0.3117665610434736,0.019953953758698708,0.1122359619756505
27,gr_refined,0.09803806713996122,0.007921427152243815,0.5643003086746551,0.025070155523012713,154.0359165104545,5.409185799875982,0.06364623872206279,0.36634333177506406,0.022912645939942605,0.13188359943902306
28,gr_refined,0.09690296264737747,0.02104581668475183,0.47934768696144414,0.08450617932058199,136.40881338381874,17.508333112406536,0.07103863763899028,0.35140521720739926,0.025573909550036498,0.12650587819466372
29,gr_refined,0.04394173675324433,0.0031975243769421925,0.2706731463670113,0.016306415035612785,94.11582822619805,4.363315348118298,0.046688997569712426,0.28759577583111234,0.01680803912509647,0.10353447929920044
