subgroup,food,food_type,mixed_dish,costperDGA,costper100g
0,oil,Non-Grocery,Non-Mixed,0.0028223989856375645,0.2822398985637564
0,oil,Total,Non-Mixed,0.008471356381315914,0.8471356381315914
0,pf_egg,Grocery,Mixed,0.23923701268439798,0.47847402536879596
0,pf_egg,Grocery,Non-Mixed,0.21977808477332625,0.4395561695466525
0,pf_egg,Non-Grocery,Mixed,4.3994377242126275,8.798875448425255
0,pf_egg,Non-Grocery,Non-Mixed,3.925556872388248,7.851113744776496
0,pf_egg,Total,Mixed,1.6746524475340565,3.349304895068113
0,pf_egg,Total,Non-Mixed,1.1515995602928313,2.3031991205856626
0,pf_ns,Grocery,Mixed,0.06315735833680113,0.4210490555786742
0,pf_ns,Grocery,Non-Mixed,0.18199272545043774,1.2132848363362516
0,pf_ns,Non-Grocery,Mixed,0.12682546008981602,0.8455030672654401
0,pf_ns,Non-Grocery,Non-Mixed,0.31947053492651073,2.1298035661767383
0,pf_ns,Total,Mixed,0.06806075731687153,0.45373838211247686
0,pf_ns,Total,Non-Mixed,0.2052746663521539,1.3684977756810262
0,pf_pm,Grocery,Non-Mixed,0.3653947846120993,1.178692853587417
0,pf_pm,Non-Grocery,Non-Mixed,1.3589769089737957,4.3837964805606315
0,pf_pm,Total,Non-Mixed,0.5762096291578503,1.858740739218872
0,pf_poultry,Grocery,Mixed,0.17040739289476392,0.587611699637117
0,pf_poultry,Grocery,Non-Mixed,0.2789586153909259,0.9619262599687102
0,pf_poultry,Non-Grocery,Mixed,1.6873169737928928,5.818334392389286
0,pf_poultry,Non-Grocery,Non-Mixed,1.6683355975284353,5.7528813707877084
0,pf_poultry,Total,Mixed,0.8785484903272244,3.029477552852498
0,pf_poultry,Total,Non-Mixed,0.91981555664886006,3.1717777815477937
0,pf_redm,Grocery,Mixed,0.22482072127803338,0.7252281331549464
0,pf_redm,Grocery,Non-Mixed,0.5324240454706894,1.7174969208731916
0,pf_redm,Non-Grocery,Mixed,1.6825439579406032,5.427561154647107
0,pf_redm,Non-Grocery,Non-Mixed,2.903888372374113,9.367381846368106
0,pf_redm,Total,Mixed,0.8823394658039144,2.84625634130295
0,pf_redm,Total,Non-Mixed,1.3360558011096675,4.309857422934411
0,pf_seafood,Grocery,Mixed,0.3234426853719202,1.1153196047307594
0,pf_seafood,Grocery,Non-Mixed,0.5090988718231801,1.7555133511144145
0,pf_seafood,Non-Grocery,Mixed,1.842671777288165,6.3540406113385
0,pf_seafood,Non-Grocery,Non-Mixed,2.8898091494353695,9.9648591359840335
0,pf_seafood,Total,Mixed,0.9802906743301018,3.3803126701037995
0,pf_seafood,Total,Non-Mixed,1.5106181469876971,5.209028093061025
0,sat_fat,Grocery,Non-Mixed,0.007714141699620546,0.7714141699620546
0,sat_fat,Non-Grocery,Non-Mixed,0.0024637266017799716,0.24637266017799717
0,sat_fat,Total,Non-Mixed,0.006389290437289596,0.6389290437289595
