subgroup,food,cost_mean,cost_se,ghg_impact_mean,ghg_impact_se,ced_impact_mean,ced_impact_se,intake_mean,intake_se,ghg_impact_per_fpe,ced_impact_per_fpe,cost_impact_per_fpe,race,Race_label,age,Age_label,sex,Sex_label
40,pf_redm,1.5175094743476998,0.3533789494746355,1.4085334416541324,0.3044926058556136,3.340102962686503,0.6314549639113125,1.5139152086484835,0.28331230136824853,0.9303912356568315,2.206268187019741,1.002374152580464,4,OTH,5,65-74,2,Male
40,sat_fat,0.023786186584450825,0.01221628478370042,0.4095599553269636,0.046461740091957804,1.5571735375864701,0.11874875732029001,24.704497658159173,1.431586859151163,0.016578355933163366,0.06303198547622284,9.628281826890312e-4,4,OTH,5,65-74,2,Male
40,ssb,0.29885069048467194,0.058311180902980216,NA,NA,NA,NA,78.5537515450166,22.806060567825497,NA,NA,0.003804410160008849,4,OTH,5,65-74,2,Male
40,veg_dg,0.2770246991960215,0.08047905279490748,0.024659074846176084,0.005176493211994403,0.19895765507004456,0.04576697853265932,0.33586965156419296,0.07480656281335549,0.07341858584523862,0.5923656815775713,0.82479824511050015,4,OTH,5,65-74,2,Male
40,veg_oth,0.5313717386038928,0.07674137896963294,0.05049937577541626,0.008332578328121827,0.2386831038280603,0.023509605307190262,0.6780476122861955,0.08121097460379964,0.07447762496374827,0.35201525601319444,0.7836790941748901,4,OTH,5,65-74,2,Male
40,veg_ro,0.1725535989213291,0.03617582967718732,0.054133786750543714,0.016320235364959176,0.5466341890593754,0.20132707710595035,0.34610002719516053,0.04980040693006484,0.15641081333986287,1.5794109971310022,0.4985656901553167,4,OTH,5,65-74,2,Male
40,veg_sta,0.1048541356511463,0.03331525100906921,0.05937842717696244,0.015848030216531302,0.4361625745616737,0.11308437551089778,0.354849384524533,0.06571966658728215,0.16733416983806895,1.2291484601166582,0.2954891292587181,4,OTH,5,65-74,2,Male
40,added_sugar,0.11521227277233856,0.03231941797058272,0.04651347151619203,0.006771508399849118,0.44302696043961226,0.07012673221851866,11.1327932100437,1.1200053057784372,0.004178059417669669,0.03979477136429028,0.010348909801755521,4,OTH,5,65-74,2,Male
40,pf_seafood,1.7516836600759418,0.4057668544187774,0.338804807519965,0.09482486985528388,8.779655398444051,2.5619963798957794,1.1402974330762718,0.2575582933731909,0.2971196792103128,7.699443271356378,1.5361638194258531,4,OTH,5,65-74,2,Male
40,leg_tot,0.27412459873628764,0.10705104375400236,0.03648758478057473,0.008528850054495404,0.14492349873927726,0.02853348714396486,0.5437541962087408,0.1370608874425111,0.0671030863485375,0.26652391788373964,0.5041333025980997,4,OTH,5,65-74,2,Male
