subgroup,food,food_type,GHGper100gram_consumed,GHGperDGA_consumed,GHGper100gram_inedible,GHGperDGA_inedible,GHGper100gram_wasted,GHGperDGA_wasted,CEDper100gram_consumed,CEDperDGA_consumed,CEDper100gram_inedible,CEDperDGA_inedible,CEDper100gram_wasted,CEDperDGA_wasted,costper100gram_consumed,costper100gram_wasted,costper100gram_inedible,costperDGA_consumed,costperDGA_wasted,costperDGA_inedible
45,fruit_exc_juice,Grocery,0.056274286978394775,0.08553691620716006,0.06611588202956321,0.10049614068493609,0.05091398009535541,0.07738924974494023,0.42788267133438823,0.6503816604282702,0.3619649617136091,0.5501867418046859,0.3957363556684079,0.60151926061598,0.42381410326788127,0.39398954892238736,0.32782760846616693,0.6441974369671796,0.5988641143620288,0.49829796486857375
45,fruit_exc_juice,Non-Grocery,0.056274286978394775,0.08553691620716006,0.06611588202956321,0.10049614068493609,0.05091398009535541,0.07738924974494023,0.42788267133438823,0.6503816604282702,0.3619649617136091,0.5501867418046859,0.3957363556684079,0.60151926061598,0.5007151635736284,0.4793688092626644,0.43926888514161205,0.7610870486319152,0.7286405900792499,0.6676887054152504
45,fruit_exc_juice,Total,0.056274286978394775,0.08553691620716006,0.06611588202956321,0.10049614068493609,0.05091398009535541,0.07738924974494023,0.42788267133438823,0.6503816604282702,0.3619649617136091,0.5501867418046859,0.3957363556684079,0.60151926061598,0.4331022862293871,0.40492844621761837,0.3428609544601355,0.6583154750686684,0.6154912382507799,0.521148650779406
45,fruit_juice,Grocery,0.09428145717704557,0.23664645751438437,0,0,0.10495211424872194,0.26342980676429206,0.7372513567506774,1.8505009054442,0,0,0.8139063234492727,2.0429048718576746,0.1797254178129016,0.18436294218819965,0.2547117625318599,0.451110798710383,0.4627509848923811,0.6393265239549683
45,fruit_juice,Non-Grocery,0.09428145717704557,0.23664645751438437,0,0,0.10495211424872194,0.26342980676429206,0.7372513567506774,1.8505009054442,0,0,0.8139063234492727,2.0429048718576746,0.15825539149269674,0.15811722169577277,0,0.3972210326466688,0.39687422645638964,0
45,fruit_juice,Total,0.09428145717704557,0.23664645751438437,0,0,0.10495211424872194,0.26342980676429206,0.7372513567506774,1.8505009054442,0,0,0.8139063234492727,2.0429048718576746,0.17734157845325735,0.18160910697514937,0.2547117625318599,0.4451273619176759,0.4558388585076249,0.6393265239549683
45,gr_refined,Grocery,0.04537954233505314,0.01633663524061913,0,0,0.051412689454487966,0.018508568203615666,0.2976352603829494,0.10714869373786179,0,0,0.31356607532186326,0.11288378711587077,0.6136105862694654,0.6723084008435928,0.7395915919684171,0.22089981105700754,0.2420310243036934,0.2662529731086301
45,gr_refined,Non-Grocery,0.04537954233505314,0.01633663524061913,0,0,0.051412689454487966,0.018508568203615666,0.2976352603829494,0.10714869373786179,0,0,0.31356607532186326,0.11288378711587077,1.521821654550253,1.6465804390190055,1.8345791148764545,0.5478557956380911,0.5927689580468419,0.6604484813555236
45,gr_refined,Total,0.04537954233505314,0.01633663524061913,0,0,0.051412689454487966,0.018508568203615666,0.2976352603829494,0.10714869373786179,0,0,0.31356607532186326,0.11288378711587077,0.8821248855703651,0.9558293207863408,1.0466288175213507,0.3175649588053314,0.34409855548308266,0.37678637430768624
45,gr_whole,Grocery,0.046542811217192524,0.023736833720768187,0.04541099799487988,0.02315960897738874,0.05133261990994981,0.026179636154074405,0.30748466340288205,0.15681717833546985,0.27479224845950534,0.14014404671434771,0.3197559729125177,0.16307554618538406,0.4213057319970912,0.5625231934868289,0.3949808397239805,0.2148659233185165,0.28688682867828275,0.20144022825923005
