diet_pattern,sex_gp,food,BLUEWATER,CED,GHG,WATER,Food_price
Vegan,Female,pf_egg,-19.1316750699256,-0.978006952623974,-0.159618179871579,-43.9018114514537,-1.18221820285013
Vegan,Male,pf_egg,-17.5961505540825,-0.899511282645772,-0.146807088972783,-40.3782147184318,-1.27085436886583
Med,Female,pf_ns,-11.5619227700696,-0.0296991726126236,-0.00498744518275991,-68.0091595302518,-0.0418955880475278
Med,Male,pf_ns,-5.69000239940173,-0.0123099758528472,-0.00252028292976241,-31.7273640186427,-0.0182836666603106
US,Female,pf_ns,-11.5938644850459,-0.029702613760159,-0.00499073019207537,-67.9873664414928,-0.0418843584337346
US,Male,pf_ns,-5.68271912567711,-0.0122879368136743,-0.00251693866190907,-31.7014270694614,-0.0180655402200198
Veg,Female,pf_ns,11.6072035072826,0.0321887100950849,0.00554483062107132,67.8352550464698,0.050953980457082
Veg,Male,pf_ns,16.0425833945905,0.0432426882175808,0.00746100248209525,93.2171144306168,0.0763951838534663
Vegan,Female,pf_ns,20.3149756527424,0.0554166631242011,0.00949436263615045,118.962604298782,0.085865667180176
Vegan,Male,pf_ns,24.1315304988357,0.0639462535212739,0.0111959479563693,139.658715884515,0.111825158309167
Med,Female,pf_poultry,-8.46160226966264,-0.264360851760568,-0.038271070880082,-18.1658394554405,-0.289281250509271
Med,Male,pf_poultry,-12.2007191338737,-0.381135224739969,-0.0555816890889614,-26.1954320897836,-0.467774118652027
US,Female,pf_poultry,-8.4883217168291,-0.265201355640838,-0.0383830455986237,-18.2235205065285,-0.289185674529602
US,Male,pf_poultry,-12.1742565351102,-0.380320055920411,-0.0554467665965284,-26.1381391985238,-0.465406059188171
Veg,Female,pf_poultry,-47.9016305133276,-1.4966762488468,-0.215582496186012,-102.835323844979,-1.53191262412281
Veg,Male,pf_poultry,-51.3664035328886,-1.60475034364986,-0.23308520554786,-110.281172760118,-1.79267414863634
Vegan,Female,pf_poultry,-47.8727065486385,-1.49575031267861,-0.215482029974825,-102.773444207082,-1.53229265365403
Vegan,Male,pf_poultry,-51.3507343838822,-1.60426014913849,-0.233020964846309,-110.247977448867,-1.78894710688737
Med,Female,pf_redm,-1.89075821592997,-0.0850203695631475,-0.0383527605549547,-11.3181304532099,-0.0526988362232534
Med,Male,pf_redm,-25.2868268995354,-1.11661791479488,-0.486275157908279,-143.923326802837,-1.05272750277398
US,Female,pf_redm,-1.76860117606726,-0.0795115585650213,-0.0361330090940794,-10.6574237833252,-0.0511178378687972
US,Male,pf_redm,-25.2563555239507,-1.11515149300669,-0.485354615260116,-143.632261272402,-1.04404277705822
Veg,Female,pf_redm,-62.5186155362788,-2.7476460541403,-1.18792610435631,-351.913373140341,-2.4361499158509
Veg,Male,pf_redm,-86.4201499388623,-3.81127855252446,-1.65854443923311,-490.982904149525,-3.61878010434043
Vegan,Female,pf_redm,-62.6048842344427,-2.75150614296383,-1.18947885502517,-352.373799499069,-2.43952539956238
Vegan,Male,pf_redm,-86.5305874942233,-3.81635162718262,-1.66051965101178,-491.536083109236,-3.61895010634616
Med,Female,pf_seafood,3.23032110827548,9.66574917671015,0.583697995170833,22.2692595769983,3.79072070429685
