"","X","riskfactor","outcome","midage","logRR.perchange","se.perchange","logRR.perchange.exp","se.perchange.exp","event.age","origlogRR"
"21",3,"nuts","DIAB",50,-0.0413831696365985,0.011599899746472,0.959525888630099,0.0111247032763103,59.5,-0.034815517
"22",4,"nuts","DIAB",60,-0.034291115412382,0.00961196313552911,0.966334742375523,0.00928438798433593,59.5,-0.034815517
"23",5,"nuts","DIAB",70,-0.0284426920007655,0.0079726221704602,0.97198884554324,0.00774651646676064,59.5,-0.034815517
"24",6,"nuts","DIAB",87.5,-0.0162695500327483,0.00394071611555931,0.983862084252701,0.00387712117090239,59.5,-0.034815517
"25",1,"nuts","IHD-FTL",30,-0.121916141640252,0.0231339215637478,0.885459402242698,0.0205040206612803,65.15,-0.068609211
"26",2,"nuts","IHD-FTL",40,-0.116930379199132,0.0221878594943895,0.889866041775404,0.0197624971351937,65.15,-0.068609211
"27",3,"nuts","IHD-FTL",50,-0.0991956517361931,0.018822646417907,0.905725859538489,0.0170612915149201,65.15,-0.068609211
"28",4,"nuts","IHD-FTL",60,-0.0821959644938363,0.0155969092351033,0.921203410961477,0.0143769294725343,65.15,-0.068609211
"29",5,"nuts","IHD-FTL",70,-0.0681772661428175,0.0129368228534716,0.934172990860394,0.0120914149771821,65.15,-0.068609211
"30",6,"nuts","IHD-FTL",87.5,-0.0390844495165576,0.00638783419506397,0.961669493193303,0.00614298527297001,65.15,-0.068609211
"31",1,"om3","IHD-FTL",30,-0.240370768105047,0.058723996688673,0.787691959717479,0.0463012113756569,62.1,-0.162518929
"32",2,"om3","IHD-FTL",40,-0.230540801937829,0.0563224779632298,0.795363348043094,0.0448367638525437,62.1,-0.162518929
"33",3,"om3","IHD-FTL",50,-0.195574881879604,0.0477800974154493,0.823300079699179,0.0393626567119358,62.1,-0.162518929
"34",4,"om3","IHD-FTL",60,-0.162058172566014,0.0395917676020406,0.851057836831639,0.0337098063790194,62.1,-0.162518929
"35",5,"om3","IHD-FTL",70,-0.134418803036009,0.0328393065704742,0.874694911601287,0.0287331518913105,62.1,-0.162518929
"36",6,"om3","IHD-FTL",87.5,-0.0771264629029645,0.0162462596612362,0.925772770291287,0.0150403448134543,62.1,-0.162518929
"37",1,"pmeat","DIAB",30,0.609413249253576,0.147552266059003,1.8594314897381,0.275506291293347,60.2,0.412109651
"38",2,"pmeat","DIAB",40,0.584491285284152,0.141518113925236,1.81208730183705,0.257392015719075,60.2,0.412109651
"39",3,"pmeat","DIAB",50,0.495842007654389,0.120054186426471,1.65372667811466,0.198983873673926,60.2,0.412109651
"40",4,"pmeat","DIAB",60,0.410866921506824,0.0994798609831216,1.51558904418833,0.150946489464339,60.2,0.412109651
"41",5,"pmeat","DIAB",70,0.340792685253439,0.0825133569496025,1.41084668664928,0.11647102558309,60.2,0.412109651
"42",6,"pmeat","DIAB",87.5,0.195890543083554,0.0408022180787954,1.21639375533771,0.0496315632749742,60.2,0.412109651
"43",1,"pmeat","IHD",30,0.466861245415461,0.158373404901585,1.61508534580926,0.2574676204427,64.9,0.31481074
"44",2,"pmeat","IHD",40,0.447768947781277,0.151896722132533,1.58295268126923,0.24189031180538,64.9,0.31481074
"45",3,"pmeat","IHD",50,0.379856226470895,0.128858680282463,1.4742492806873,0.190772188057538,64.9,0.31481074
"46",4,"pmeat","IHD",60,0.314758241488243,0.106775481826441,1.37775064779652,0.147524658600863,64.9,0.31481074
"47",5,"pmeat","IHD",70,0.261075547111542,0.0885646939826924,1.30342179578708,0.11565415616387,64.9,0.31481074
"48",6,"pmeat","IHD",87.5,0.150026628233091,0.0437824283343068,1.16186518073322,0.0508692790095788,64.9,0.31481074
"49",1,"pufa_c","IHD",30,-0.155492298815487,0.0391040505161879,0.856648209342213,0.0335507717657936,56.8,-0.105360516
"50",2,"pufa_c","IHD",40,-0.149133438923043,0.0375048897837676,0.862060058933734,0.0323792866494104,56.8,-0.105360516
