fcidcode,waste_coef,ined_coef,retloss_coef
1500127001,8,16,.0061530555
1500226000,.25,0,.13636369
1500231000,.2121212,.30303028,.13636361
1500232000,.21212122,.30303028,.13636361
1500232001,.21212122,.30303031,.13636363
1500233000,.2121212,.30303031,.1363637
1500233001,.2121212,.30303031,.13636363
1500323000,.49253735,0,.13636358
1500323001,.49253732,0,.13636367
1500324000,.49253732,0,.13636363
1500324001,.49253735,0,.13636361
1500325000,.49253735,0,.13636366
1500325001,.49253732,0,.13636363
1500326000,.49253735,0,.13636369
1500326001,.49253732,0,.13636364
1500328000,.25000003,0,.13636361
1500329000,.25000003,0,.13636364
1500345000,.17647059,0,.12359553
1500381000,.25,0,.13636369
1500401000,.25,0,.13636366
1500401001,.25,0,.13636363
1500402000,.25,0,.13636364
1500402001,.25000003,0,.13636358
1500403000,.25,0,.13636366
1500404000,.25000003,0,.1363636
1500405000,.49253735,0,.13636361
1901028000,1.1875,.9375,.69411534
1901029000,1.1875,.9375,.69411534
1901029001,1.1874999,.93749994,.6941154
1901184000,1.1875,.93750006,.69411534
1901184001,1.1874999,.9375,.69411546
1901220000,1.1875,.93750006,.69411528
1901220001,1.1874999,.93749994,.69411534
1901249000,1.1875,.93750006,.69411534
1901249001,1.1875,.9375,.6941154
1901334000,1.1875,.93750006,.6941154
2001162900,.21212122,.30303031,.13636363
2001163000,.33333334,0,.052631535
2001319000,.33333334,0,.052631602
2001319001,.33333331,0,.052631546
2001337000,.33333331,0,.052631591
2002330000,.33333334,0,.052631587
2002330001,.33333331,0,.052631631
2002365000,.33333331,0,.052631617
2002365001,.33333334,0,.052631572
2003128000,.33333337,0,.052631561
2003128001,.33333331,0,.052631546
2100228000,.27631578,.039473683,.14546987
2201019000,.51428574,1.3428572,.10388668
2201152000,.91489363,.21276596,.10811652
2201196000,1.0930233,.23255815,.26616445
2201243000,2,2.2631581,.59915173
2202085000,.77999991,.22000001,.053774361
2202085001,.77999997,.22,.053774338
2202086000,.77999997,.22,.053774327
2202322000,.77999997,.22,.053774327
2301235000,.33333334,0,.063829817
2301236000,.17647061,0,.2658228
2302077000,.11111111,0,.063829839
2302153000,.33333331,0,.063829802
2302154000,.33333334,0,.063829757
2302183000,.42553195,.7021277,1.2670945
2302358000,.59322029,.10169491,.1080821
2302368000,.11111112,0,.063829802
2303141000,.38461539,.15384616,.063829765
2401211000,.3611111,.027777778,.063829817
2402020000,.76190478,.61904764,.10253583
2402023000,.45454547,.81818187,.086956479
2402023001,.45454541,.81818181,.086956516
2402024000,.45454547,.81818175,.086956553
2402024001,.45454547,.81818181,.086956464
2402215000,.23214285,.55357146,.16911434
2402215001,.23214284,.5535714,.16911432
2402216000,.23214287,.5535714,.16911429
2402217000,.23214282,.5535714,.16911431
2402245000,.42553189,.70212764,1.2670945
2402246000,.42553192,.70212764,1.2670945
2402247000,.42553192,.70212764,1.2670945
2402277000,.40298507,.089552239,.20943196
2402283000,.45454547,.81818181,.086956523
2402284000,.45454547,.81818181,.086956553
2403060000,.33333331,0,.063829809
2403279000,2.6428571,3.5,.17135951
2403279001,2.6428571,3.5,.17135958
2403280000,2.6428571,3.5,.17135957
2403281000,.11111112,0,.063829802
2403281001,.11111111,0,.063829809
2403346000,.28571427,.14285713,.094091937
3100044000,.25,0,.045418892
3100044001,.25,0,.045418926
3100045000,.25,0,.045418881
3100046000,.24999999,0,.045418933
3100046001,.24999999,0,.045418914
3100047000,.53846157,0,1
3100047001,.53846157,0,1
3100048000,.25,0,.045418911
3100049000,.25000003,0,.045418877
3200169000,.25,0,.045418862
3200171000,.53846151,0,1
3400290000,.40845066,0,.045550477
3400290001,.40845072,0,.045550484
3400291000,.40845066,0,.045550469
3400292000,.40845069,0,.045550525
3400292001,.40845066,0,.045550495
3400293000,.53846157,0,1
3400293001,.53846151,0,1
3400294000,.40845069,0,.045550458
3400295000,.40845069,0,.045550503
3500339000,.25,0,.1402448
3500340000,.25000003,0,.14024487
3500341000,.25,0,.14024483
3500342000,.25000003,0,.14024484
3500343000,.25,0,.14024487
3600222000,.13636363,0,.13636361
3600222001,.13636364,0,.13636364
3600223000,.69491524,0,.010101014
3600223001,.69491524,0,.010100976
3600224000,.25,0,.13636364
3600224001,.25,0,.13636367
3800221000,.25,0,.045418888
3900312000,.25,0,.045418888
4000093000,.17647059,0,.041355871
4000093001,.17647059,0,.041355874
4000094000,.17647059,0,.041355893
4000095000,.17647059,0,.0413559
4000095001,.17647061,0,.041355856
4000096000,.17647059,0,.041355938
4000096001,.17647059,0,.041355919
4000097000,.17647061,0,.041355912
4000097001,.17647059,0,.041355867
5000382000,.53846157,0,.035850946
5000382001,.53846157,0,.035850942
5000383000,.53846151,0,.035850894
5000384000,.53846151,0,.03585095
5000384001,.53846151,0,.035850897
5000385000,.53846151,0,.035850972
5000385001,.53846151,0,.035850909
5000386000,.53846151,0,.035850935
5000386001,.53846151,0,.035850894
6000301000,.17647061,0,.041355867
6000302000,.17647061,0,.041355867
6000303000,.17647059,0,.041355897
6000304000,.17647059,0,.041355912
6000305000,.17647059,0,.041355874
7000145000,.35384616,.18461539,.0989011
7000145001,.35384616,.18461537,.0989011
7000146000,.35384616,.18461539,.098901093
7000147000,.35384616,.18461539,.098901078
7000147001,.35384616,.18461539,.098901078
8000157000,.66666669,0,.09524557
8000158000,.66666669,0,.095245585
8000159000,.20481929,0,.063829809
8000160000,.66666663,0,.095245592
8000161000,.66666669,0,.10219059
8000162000,.66666669,0,.10219059
9500006000,.25,0,.13636369
9500016000,.81818187,2.7272727,.23924357
9500054000,.38709676,.22580644,.91143101
9500109000,.11111111,0,.063829787
9500110000,.11111111,0,.063829795
9500177000,2,2.2631578,.59915185
9500186000,.17647058,0,.12359546
9500186001,.17647059,0,.12359545
9500188000,1.1875,.93750006,.6941154
9500219000,.17647061,0,.12359551
9500244000,.33333331,0,.052631587
9500244001,.33333331,0,.052631609
9500263000,.041666668,0,.06382978
9500264000,.041666664,0,.063829795
9500265000,.17647059,0,.26582277
9500276000,.33333334,0,.052631591
9500362000,.51515156,0,.1235955
9500362001,.51515156,0,.12359556
9500363000,.51515156,0,.12359547
9500363001,.5151515,0,.12359549
