Food category,Meat category,FCID ingredient description,FCID ingredient code
Other fruit,None,"Apple, sauce-babyfood",1100011001
Other fruit,None,Pear,1100266000
Other fruit,None,Pear-babyfood,1100266001
Other fruit,None,"Pear, dried",1100267000
Other fruit,None,Quince,1100310000
Other fruit,None,Cherry,1201090000
Other fruit,None,Cherry-babyfood,1201090001
Other fruit,None,Apricot,1202012000
Other fruit,None,Apricot-babyfood,1202012001
Other fruit,None,"Apricot, dried",1202013000
Other fruit,None,Nectarine,1202230000
Other fruit,None,Peach,1202260000
Other fruit,None,Peach-babyfood,1202260001
Other fruit,None,"Peach, dried",1202261000
Other fruit,None,Plum,1203285000
Other fruit,None,Plum-babyfood,1203285001
Other fruit,None,"Plum, prune, fresh",1203286000
Other fruit,None,"Plum, prune, fresh-babyfood",1203286001
Other fruit,None,"Plum, prune, dried",1203287000
Other fruit,None,Currant,1302136000
Other fruit,None,"Currant, dried",1302137000
Other fruit,None,Grape,1304175000
Other fruit,None,"Grape, raisin",1304178000
Other fruit,None,Rhubarb,2202322000
Other fruit,None,Fig,2302153000
Other fruit,None,"Fig, dried",2302154000
Other fruit,None,Guava,2302183000
Other fruit,None,Starfruit,2302358000
Other fruit,None,Tamarind,2302368000
Other fruit,None,Date,2303141000
Other fruit,None,Lychee,2401211000
Other fruit,None,Banana,2402023000
Other fruit,None,Banana-babyfood,2402023001
Other fruit,None,"Banana, dried",2402024000
Other fruit,None,"Banana, dried-babyfood",2402024001
Other fruit,None,Mango,2402215000
Other fruit,None,Mango-babyfood,2402215001
Other fruit,None,"Mango, dried",2402216000
Other fruit,None,Papaya,2402245000
Other fruit,None,"Papaya, dried",2402246000
Other fruit,None,Persimmon,2402277000
Other fruit,None,Plantain,2402283000
Other fruit,None,"Plantain, dried",2402284000
Other fruit,None,Pomegranate,2402289000
Other fruit,None,Breadfruit,2403060000
Other fruit,None,Pineapple,2403279000
Other fruit,None,Pineapple-babyfood,2403279001
Other fruit,None,"Pineapple, dried",2403280000
Other fruit,None,Soursop,2403346000
Other fruit,None,Sugar apple,2403361000
Other fruit,None,"Chayote, fruit",902088000
Fruit juice,None,"Watermelon, juice",901400000
Fruit juice,None,"Orange, juice",1001241000
Fruit juice,None,"Orange, juice-babyfood",1001241001
Fruit juice,None,"Tangerine, juice",1001370000
Fruit juice,None,"Lemon, juice",1002200000
Fruit juice,None,"Lemon, juice-babyfood",1002200001
Fruit juice,None,"Lime, juice",1002207000
Fruit juice,None,"Lime, juice-babyfood",1002207001
Fruit juice,None,"Grapefruit, juice",1003181000
Fruit juice,None,"Blackberry, juice",1301056000
Fruit juice,None,"Blackberry, juice-babyfood",1301056001
Fruit juice,None,"Raspberry, juice",1301321000
Fruit juice,None,"Raspberry, juice-babyfood",1301321001
Fruit juice,None,"Cranberry, juice",1307132000
Fruit juice,None,"Cranberry, juice-babyfood",1307132001
Fruit juice,None,"Strawberry, juice",1307360000
Fruit juice,None,"Strawberry, juice-babyfood",1307360001
Fruit juice,None,"Passionfruit, juice",2405253000
Fruit juice,None,"Apple, juice",1100010000
Fruit juice,None,"Apple, juice-babyfood",1100010001
Fruit juice,None,"Pear, juice",1100268000
Fruit juice,None,"Pear, juice-babyfood",1100268001
Fruit juice,None,"Cherry, juice",1201091000
Fruit juice,None,"Cherry, juice-babyfood",1201091001
Fruit juice,None,"Apricot, juice",1202014000
Fruit juice,None,"Apricot, juice-babyfood",1202014001
Fruit juice,None,"Peach, juice",1202262000
Fruit juice,None,"Peach, juice-babyfood",1202262001
Fruit juice,None,"Plum, prune, juice",1203288000
Fruit juice,None,"Plum, prune, juice-babyfood",1203288001
Fruit juice,None,"Grape, juice",1304176000
Fruit juice,None,"Grape, juice-babyfood",1304176001
Fruit juice,None,"Mango, juice",2402217000
Fruit juice,None,"Mango, juice-babyfood",2402217001
Fruit juice,None,"Papaya, juice",2402247000
Fruit juice,None,"Pomegranate, juice",2402290000
Fruit juice,None,"Pineapple, juice",2403281000
Fruit juice,None,"Pineapple, juice-babyfood",2403281001
Dark green vegetables,None,"Chrysanthemum, garland",401104000
Dark green vegetables,None,"Cilantro, leaves",401118000
Dark green vegetables,None,"Dandelion, leaves",401138000
Dark green vegetables,None,Endive,401150000
Dark green vegetables,None,"Parsley, leaves",401248000
Dark green vegetables,None,Spinach,401355000
Dark green vegetables,None,Spinach-babyfood,401355001
Dark green vegetables,None,Arugula,402018000
Dark green vegetables,None,"Broccoli, Chinese",402062000
Dark green vegetables,None,"Cabbage, Chinese, bok choy",402070000
Dark green vegetables,None,Collards,402117000
Dark green vegetables,None,"Cress, garden",402133000
Dark green vegetables,None,Kale,402194000
Dark green vegetables,None,Mustard greens,402229000
Dark green vegetables,None,"Turnip, greens",402389000
Dark green vegetables,None,Watercress,402398000
Dark green vegetables,None,Broccoli,500061000
Dark green vegetables,None,Broccoli-babyfood,500061001
Dark green vegetables,None,"Cabbage, Chinese, napa",500071000
Dark green vegetables,None,"Cabbage, Chinese, mustard",500072000
Dark green vegetables,None,"Basil, fresh leaves",1901028000
Dark green vegetables,None,"Basil, dried leaves",1901029000
Dark green vegetables,None,"Basil, dried leaves-babyfood",1901029001
Dark green vegetables,None,"Parsley, dried leaves",1901249000
Dark green vegetables,None,"Parsley, dried leaves-babyfood",1901249001
Dark green vegetables,None,Belgium endive,9500054000
Dark green vegetables,None,"Grape, leaves",9500177000
Dark green vegetables,None,Seaweed-babyfood,9500335001
Dark green vegetables,None,"Amaranth, leafy",401005000
Dark green vegetables,None,Swiss chard,401367000
Dark green vegetables,None,"Palm heart, leaves",2201243000
Dark green vegetables,None,"Beet, garden, tops",200051000
Dark green vegetables,None,"Chicory, tops",200101000
Dark green vegetables,None,"Dasheen, leaves",200140000
Dark green vegetables,None,"Lettuce, leaf",401205000
Dark green vegetables,None,Seaweed,9500335000
Red and orange vegetables,None,Tomato,801375000
Red and orange vegetables,None,Tomato-babyfood,801375001
Red and orange vegetables,None,"Tomato, paste",801376000
Red and orange vegetables,None,"Tomato, paste-babyfood",801376001
Red and orange vegetables,None,"Tomato, puree",801377000
Red and orange vegetables,None,"Tomato, puree-babyfood",801377001
Red and orange vegetables,None,"Tomato, dried",801378000
Red and orange vegetables,None,"Tomato, dried-babyfood",801378001
Red and orange vegetables,None,"Tomato, juice",801379000
Red and orange vegetables,None,"Beet, garden, roots",101050000
Red and orange vegetables,None,"Beet, garden, roots-babyfood",101050001
Red and orange vegetables,None,Carrot,101078000
Red and orange vegetables,None,Carrot-babyfood,101078001
Red and orange vegetables,None,"Carrot, juice",101079000
Red and orange vegetables,None,Sweet potato,103366000
Red and orange vegetables,None,Sweet potato-babyfood,103366001
Red and orange vegetables,None,"Squash, winter",902357000
Red and orange vegetables,None,"Squash, winter-babyfood",902357001
Red and orange vegetables,None,Pumpkin,902308000
Starchy vegetables,None,"Potato, chips",103296000
Starchy vegetables,None,"Potato, dry (granules/ flakes)",103297000
Starchy vegetables,None,"Potato, dry (granules/ flakes)-babyfood",103297001
Starchy vegetables,None,"Potato, flour",103298000
Starchy vegetables,None,"Potato, flour-babyfood",103298001
Starchy vegetables,None,"Potato, tuber, w/peel",103299000
Starchy vegetables,None,"Potato, tuber, w/o peel",103300000
Starchy vegetables,None,"Potato, tuber, w/o peel-babyfood",103300001
Starchy vegetables,None,Burdock,101067000
Starchy vegetables,None,Parsnip,101251000
Starchy vegetables,None,Parsnip-babyfood,101251001
Starchy vegetables,None,Cassava,103082000
Starchy vegetables,None,Cassava-babyfood,103082001
Starchy vegetables,None,"Dasheen, corm",103139000
Starchy vegetables,None,"Yam, true",103406000
Starchy vegetables,None,"Corn, sweet",1500127000
Starchy vegetables,None,"Corn, sweet-babyfood",1500127001
Starchy vegetables,None,Water chestnut,9500397000
Starchy vegetables,None,"Tanier, corm",103371000
Starchy vegetables,None,"Arrowroot, flour",103015000
Starchy vegetables,None,"Chicory, roots",101100000
Other vegetables,None,"Bean, snap, succulent",601043000
Other vegetables,None,"Bean, snap, succulent-babyfood",601043001
Other vegetables,None,"Garlic, bulb-babyfood",301165001
Other vegetables,None,"Onion, bulb-babyfood",301237001
Other vegetables,None,"Onion, bulb, dried",301238000
Other vegetables,None,"Onion, bulb, dried-babyfood",301238001
Other vegetables,None,"Shallot, bulb",301338000
Other vegetables,None,"Onion, green",302239000
Other vegetables,None,"Pepper, bell",802270000
Other vegetables,None,"Pepper, bell, dried",802271000
Other vegetables,None,"Pepper, bell, dried-babyfood",802271001
Other vegetables,None,"Pepper, nonbell",802272000
Other vegetables,None,"Pepper, nonbell-babyfood",802272001
Other vegetables,None,"Pepper, nonbell, dried",802273000
Other vegetables,None,"Squash, summer",902356000
Other vegetables,None,"Squash, summer-babyfood",902356001
Other vegetables,None,"Artichoke, globe",9500016000
Other vegetables,None,Avocado,2402020000
Other vegetables,None,"Lettuce, head",401204000
Other vegetables,None,Celeriac,101084000
Other vegetables,None,Horseradish,101190000
Other vegetables,None,"Radish, roots",101314000
Other vegetables,None,"Radish, Oriental, roots",101316000
Other vegetables,None,Rutabaga,101327000
Other vegetables,None,"Artichoke, Jerusalem",103017000
Other vegetables,None,Ginger,103166000
Other vegetables,None,"Garlic, bulb",301165000
Other vegetables,None,"Onion, bulb",301237000
Other vegetables,None,Leek,302198000
Other vegetables,None,Radicchio,401313000
Other vegetables,None,Brussels sprouts,500064000
Other vegetables,None,Cabbage,500069000
Other vegetables,None,Cauliflower,500083000
Other vegetables,None,Tomatillo,801374000
Other vegetables,None,Eggplant,802148000
Other vegetables,None,Okra,802234000
Other vegetables,None,Balsam pear,902021000
Other vegetables,None,Chinese waxgourd,902102000
Other vegetables,None,Cucumber,902135000
Other vegetables,None,Mushroom,2100228000
Other vegetables,None,Asparagus,2201019000
Other vegetables,None,"Bamboo, shoots",2201022000
Other vegetables,None,Cactus,2201073000
Other vegetables,None,"Fennel, Florence",2201152000
Other vegetables,None,Kohlrabi,2201196000
Other vegetables,None,Celery,2202085000
Other vegetables,None,Celery-babyfood,2202085001
Other vegetables,None,"Celery, juice",2202086000
Other vegetables,None,Olive,2301235000
Other vegetables,None,"Turnip, roots",101388000
Other vegetables,None,"Ginger, dried",103167000
Other vegetables,None,"Chive, fresh leaves",302103000
Vegetable and seed oils,None,"Corn, field, oil",1500125000
Vegetable and seed oils,None,"Corn, field, oil-babyfood",1500125001
Vegetable and seed oils,None,"Flax seed, oil",2001163000
Vegetable and seed oils,None,"Rapeseed, oil",2001319000
Vegetable and seed oils,None,"Rapeseed, oil-babyfood",2001319001
Vegetable and seed oils,None,"Sesame, oil",2001337000
Vegetable and seed oils,None,"Safflower, oil",2002330000
Vegetable and seed oils,None,"Safflower, oil-babyfood",2002330001
Vegetable and seed oils,None,"Sunflower, oil",2002365000
Vegetable and seed oils,None,"Sunflower, oil-babyfood",2002365001
Vegetable and seed oils,None,"Cottonseed, oil",2003128000
Vegetable and seed oils,None,"Cottonseed, oil-babyfood",2003128001
Vegetable and seed oils,None,"Olive, oil",2301236000
Vegetable and seed oils,None,"Peanut, oil",9500265000
Vegetable and seed oils,None,"Almond, oil",1400004000
Vegetable and seed oils,None,"Peppermint, oil",9500276000
Vegetable and seed oils,None,"Soybean, oil",600350000
Vegetable and seed oils,None,"Soybean, oil-babyfood",600350001
Tropical oils,None,"Palm, oil",9500244000
Tropical oils,None,"Palm, oil-babyfood",9500244001
Tropical oils,None,"Coconut, oil",1400114000
Tropical oils,None,"Coconut, oil-babyfood",1400114001
Sweeteners,None,"Beet, sugar",101052000
Sweeteners,None,"Beet, sugar-babyfood",101052001
Sweeteners,None,"Beet, sugar, molasses",101053000
Sweeteners,None,"Beet, sugar, molasses-babyfood",101053001
Sweeteners,None,"Corn, field, syrup",1500124000
Sweeteners,None,"Corn, field, syrup-babyfood",1500124001
Sweeteners,None,"Sorghum, syrup",1500345000
Sweeteners,None,Honey,9500186000
Sweeteners,None,Honey-babyfood,9500186001
Sweeteners,None,"Maple, sugar",9500218000
Sweeteners,None,Maple syrup,9500219000
Sweeteners,None,"Sugarcane, sugar",9500362000
Sweeteners,None,"Sugarcane, sugar-babyfood",9500362001
Sweeteners,None,"Sugarcane, molasses",9500363000
Sweeteners,None,"Sugarcane, molasses-babyfood",9500363001
Other foods,None,"Milk, human",3700222501
Other foods,None,"Alfalfa, seed",1800002000
Other foods,None,"Coriander, seed",1902119000
Other foods,None,"Dill, seed",1902143000
Other foods,None,"Psyllium, seed",9500306000
Other foods,None,Turmeric,103387000
Other foods,None,"Ginseng, dried",101168000
Other foods,None,Dillweed,401144000
Other foods,None,"Coconut, meat",1400111000
Other foods,None,"Coconut, meat-babyfood",1400111001
Other foods,None,"Coconut, dried",1400112000
Other foods,None,"Coconut, milk",1400113000
Other foods,None,"Herbs, other",1901184000
Other foods,None,"Herbs, other-babyfood",1901184001
Other foods,None,Marjoram,1901220000
Other foods,None,Marjoram-babyfood,1901220001
Other foods,None,Savory,1901334000
Other foods,None,Cinnamon,1902105000
Other foods,None,Cinnamon-babyfood,1902105001
Other foods,None,"Pepper, black and white",1902274000
Other foods,None,"Pepper, black and white-babyfood",1902274001
Other foods,None,"Spices, other",1902354000
Other foods,None,"Spices, other-babyfood",1902354001
Other foods,None,"Water, direct, tap",8601100000
Other foods,None,"Water, direct, bottled",8601200000
Other foods,None,"Water, indirect, all sources",8602000000
Other foods,None,"Cocoa bean, chocolate",9500109000
Other foods,None,"Cocoa bean, powder",9500110000
Other foods,None,"Coffee, roasted bean",9500115000
Other foods,None,"Coffee, instant",9500116000
Other foods,None,Bee pollen,9500186100
Other foods,None,Peppermint,9500275000
Other foods,None,"Tea, dried",9500372000
Other foods,None,"Tea, instant",9500373000
Other foods,None,Vinegar,9500390000
Other foods,None,"Grape, wine and sherry",1304179000
Other foods,None,Hop,9500188000
