food_group,var_label,diet_pattern,CF_mean_intake,CF_se_intake,CF_sd_intake,intake_units
pf_pm,Processed Meat,DGAplus,0,0,0,ounce eq/day
pf_poultry,Poultry,DGAplus,1,0,0.1,ounce eq/day
pf_poultry_tot,Poultry (TOTAL),DGAplus,1,0,0.1,ounce eq/day
pf_egg,Eggs,DGAplus,0.25,0,0.025,ounce eq/day
pf_seafood,Seafood,DGAplus,1,0,0.1,ounce eq/day
pf_ns,"Nuts, Seeds",DGAplus,1,0,0.1,ounce eq/day
leg_tot,"Beans, Peas, Lentils (TOTAL)",DGAplus,1.75,0,0.175,ounce eq/day
oil,Oils,DGAplus,27,0,0.27,grams/day
added_sugar,Added Sugars,DGAplus,7.44,0,0.744,tsp/day
sat_fat,Satuated Fat,DGAplus,13.89,0,1.389,grams/day
ssb,Sugar Sweetened Beverages,DGAplus,0,0,0,cup eq/day
sodium,Sodium,DGAplus,1500,0,150,mg/day
