disease,subgroup,Sex,Age_label,Race_label,count,se,X1,X2,X3
APCA_total,13,2,35-44,NHW,44,13,63.19572312006119,38.317818191330545,55.173645583081125
APCA_total,14,2,35-44,NHB,39,13,56.831837474504425,43.87146675300489,3.8617114962539034
APCA_total,15,2,35-44,HIS,23,9,34.969160941099986,21.17663353781016,12.972638147420517
APCA_total,16,2,35-44,OTH,7,5,16.039477411198032,6.881614720016132,8.915695919874466
APCA_total,17,1,45-54,NHW,0,0,0,0,0
APCA_total,18,1,45-54,NHB,0,0,0,0,0
APCA_total,19,1,45-54,HIS,0,0,0,0,0
APCA_total,20,1,45-54,OTH,0,0,0,0,0
APCA_total,21,2,45-54,NHW,1722,79,1708.4555889065844,1637.546184840664,1706.9915890324087
APCA_total,22,2,45-54,NHB,715,53,700.1184583119706,693.4434695880705,707.4616107566086
APCA_total,23,2,45-54,HIS,322,29,303.83042040682255,290.7893801300979,379.4354066205034
APCA_total,24,2,45-54,OTH,160,26,134.28409199165694,167.16107894924758,166.57705527447766
APCA_total,25,1,55-64,NHW,0,0,0,0,0
APCA_total,26,1,55-64,NHB,0,0,0,0,0
APCA_total,27,1,55-64,HIS,0,0,0,0,0
APCA_total,28,1,55-64,OTH,0,0,0,0,0
APCA_total,29,2,55-64,NHW,10969,229,11232.047831932494,11286.556503027854,11137.894080242644
APCA_total,30,2,55-64,NHB,2543,99,2462.776383355051,2618.459581901683,2582.265703318583
APCA_total,31,2,55-64,HIS,1484,70,1469.2692560814455,1559.5280372292539,1406.1001047716231
APCA_total,32,2,55-64,OTH,921,60,884.6271866037204,958.9258085286781,1036.5177845741687
APCA_total,33,1,65-74,NHW,0,0,0,0,0
APCA_total,34,1,65-74,NHB,0,0,0,0,0
APCA_total,35,1,65-74,HIS,0,0,0,0,0
APCA_total,36,1,65-74,OTH,0,0,0,0,0
APCA_total,37,2,65-74,NHW,14135,248,14151.106921944005,14483.088467743495,14228.226606433464
APCA_total,38,2,65-74,NHB,2005,87,1871.3917672110617,1974.8755017351132,1908.610499427728
APCA_total,39,2,65-74,HIS,1294,59,1289.8337333069212,1363.8450015171065,1384.465533086958
APCA_total,40,2,65-74,OTH,1032,52,1121.5120352608917,1027.7820149900217,1006.8545834215893
APCA_total,41,1,75+,NHW,0,0,0,0,0
APCA_total,42,1,75+,NHB,0,0,0,0,0
APCA_total,43,1,75+,HIS,0,0,0,0,0
APCA_total,44,1,75+,OTH,0,0,0,0,0
APCA_total,45,2,75+,NHW,9197,201,9131.914519884134,9237.697465479283,9259.041088082595
APCA_total,46,2,75+,NHB,1025,68,1123.5468937300855,920.3170429577724,1191.8769516923403
APCA_total,47,2,75+,HIS,694,40,638.9860785985877,747.3291036564185,659.237709387343
APCA_total,48,2,75+,OTH,648,41,618.2419748660511,655.8833419813394,648.455717049248
BC_total,1,1,20-34,NHW,0,0,0,0,0
BC_total,2,1,20-34,NHB,0,0,0,0,0
BC_total,3,1,20-34,HIS,0,0,0,0,0
BC_total,4,1,20-34,OTH,0,0,0,0,0
BC_total,5,2,20-34,NHW,0,0,0,0,0
BC_total,6,2,20-34,NHB,0,0,0,0,0
BC_total,7,2,20-34,HIS,0,0,0,0,0
BC_total,8,2,20-34,OTH,0,0,0,0,0
BC_total,9,1,35-44,NHW,0,0,0,0,0
BC_total,10,1,35-44,NHB,0,0,0,0,0
BC_total,11,1,35-44,HIS,0,0,0,0,0
BC_total,12,1,35-44,OTH,0,0,0,0,0
BC_total,13,2,35-44,NHW,0,0,0,0,0
BC_total,14,2,35-44,NHB,0,0,0,0,0
BC_total,15,2,35-44,HIS,0,0,0,0,0
BC_total,16,2,35-44,OTH,0,0,0,0,0
BC_total,17,1,45-54,NHW,13717,580,13111.986109410198,12966.253441314948,15320.943816038936
BC_total,18,1,45-54,NHB,2405,207,2277.3509031696067,2284.731725590356,2330.467582437446
BC_total,19,1,45-54,HIS,2280,184,2460.9539260026995,1954.8902123478777,2098.521441956158
BC_total,20,1,45-54,OTH,1713,178,1895.1214695690169,1694.5550504561954,1400.7438330540938
BC_total,21,2,45-54,NHW,0,0,0,0,0
BC_total,22,2,45-54,NHB,0,0,0,0,0
BC_total,23,2,45-54,HIS,0,0,0,0,0
BC_total,24,2,45-54,OTH,0,0,0,0,0
BC_total,25,1,55-64,NHW,52979,511,53041.79116885241,52594.38926644131,53560.02210131526
BC_total,26,1,55-64,NHB,9228,212,9313.847997960635,9561.126541102916,9501.152064793047
BC_total,27,1,55-64,HIS,7071,150,7064.916972879265,6841.6262743344705,7161.2652024188965
BC_total,28,1,55-64,OTH,7758,175,7670.72957883678,7857.563988440216,7710.773187028106
BC_total,29,2,55-64,NHW,0,0,0,0,0
BC_total,30,2,55-64,NHB,0,0,0,0,0
BC_total,31,2,55-64,HIS,0,0,0,0,0
BC_total,32,2,55-64,OTH,0,0,0,0,0
BC_total,33,1,65-74,NHW,54872,489,53938.22359151242,55335.567608923906,54210.635031401995
BC_total,34,1,65-74,NHB,6141,149,6385.683795368838,6367.051186737489,5945.1822981316045
BC_total,35,1,65-74,HIS,5750,135,5815.0653026660775,5833.337395038446,5674.798162241774
BC_total,36,1,65-74,OTH,4430,101,4388.775733117145,4438.534813545144,4303.76463362711
BC_total,37,2,65-74,NHW,0,0,0,0,0
BC_total,38,2,65-74,NHB,0,0,0,0,0
BC_total,39,2,65-74,HIS,0,0,0,0,0
BC_total,40,2,65-74,OTH,0,0,0,0,0
BC_total,41,1,75+,NHW,41091,416,41182.55684670523,40801.62415121654,40779.86804416295
BC_total,42,1,75+,NHB,5114,157,5187.740127088964,5106.740023936795,5202.578333091641
BC_total,43,1,75+,HIS,2025,64,1926.3453470429522,2004.946300253613,2163.80767096673
BC_total,44,1,75+,OTH,2017,63,1981.8812347947458,1997.3793126420717,1992.4236140771734
BC_total,45,2,75+,NHW,0,0,0,0,0
BC_total,46,2,75+,NHB,0,0,0,0,0
BC_total,47,2,75+,HIS,0,0,0,0,0
BC_total,48,2,75+,OTH,0,0,0,0,0
CC_total,1,1,20-34,NHW,803,61,874.2674846376508,866.4822486362126,856.4679032133812
CC_total,2,1,20-34,NHB,160,26,158.65163442654833,105.37751215419279,171.07490380103224
CC_total,3,1,20-34,HIS,290,28,272.7365955369351,302.7397114187491,336.318539468689
CC_total,4,1,20-34,OTH,130,21,137.28933381889453,123.77135555165303,99.70407304437842
