,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,commodity,prop_dga_subgrp,gwp_100g,od_100g,htnc_100g,htc_100g,pm_100g,irh_100g,ire_100g,pof_100g,acid_100g,teu_100g,feu_100g,meu_100g,feco_100g,lu_100g,wd_100g,md_100g,FPED,FPED_CF
289,25221860,"Turkey sausage, reduced fat, brown and serve, cooked",Sausage,"Turkey sausage, reduced fat, brown and serve, cooked",protein,meat,meat_o,0.011097411,0.57152016,3.93E-08,-1.30E-07,4.26E-08,0.000413322,0.055588024,1.64E-07,0.00182199,0.011082177,0.046534927,0.000277322,0.003578961,3.2843558,14.453363,0.0025442,9.57E-06,3.49,0.297832951
296,23321200,"Venison/deer steak, ckd, method NS",Game meat,"Deer, loin, lean only, steak, brld",protein,meat,meat_o,0.005178792,2.86460424,1.10E-07,-1.01E-06,1.50E-07,0.001562186,0.275884983,8.04E-07,0.007762401,0.046606414,0.194576031,0.000817829,0.010691738,11.82308904,39.9039489,0.010727667,8.94E-05,3.48,0.289956322
1,42101210,"Almonds, dry roasted, without salt",Almonds,"Almonds, dry roasted, without salt",protein,nuts,almond,0.157792836,0.27309317,1.44E-08,8.54E-06,2.17E-08,0.000166984,0.043746675,7.14E-08,0.001173726,0.003595977,0.012748516,8.50E-05,0.001334077,11.981269,-2.2228327,0.094597569,-1.49E-07,7.05,0.141843972
49,42104200,"Cashew nuts, dry roasted",Cashew nuts,"Cashew nuts, dry roasted, without salt",protein,nuts,cashew,0.057115198,0.27309317,1.44E-08,8.54E-06,2.17E-08,0.000166984,0.043746675,7.14E-08,0.001173726,0.003595977,0.012748516,8.50E-05,0.001334077,11.981269,-2.2228327,0.094597569,-1.49E-07,7.05,0.141843972
78,42105000,"Chestnuts, roasted",Chestnuts,"Chestnuts, European, roasted",protein,nuts,nut_o,0.001936108,0.32877236,1.73E-08,1.03E-05,2.61E-08,0.000201029,0.0526659,8.59E-08,0.00141303,0.004329138,0.015347728,0.000102371,0.001606073,14.424052,-2.6760316,0.113884452,-1.79E-07,7.05,0.141843972
113,42107000,"Filberts, hazelnuts",Filberts/hazelnuts,Hazelnuts or filberts,protein,nuts,nut_o,0.001936108,0.265139,1.40E-08,8.29E-06,2.10E-08,0.00016212,0.0424725,6.93E-08,0.00113954,0.00349124,0.0123772,8.26E-05,0.00129522,11.6323,-2.15809,0.0918423,-1.44E-07,7.05,0.141843972
115,43104000,Flax seeds,Flax seeds,Flaxseed,protein,nuts,nut_o,0.009680542,0.10015726,7.14E-09,6.10E-07,2.12E-08,0.000183318,0.006187009,1.88E-08,0.000642417,0.006940494,0.030971115,0.000204558,0.003553937,1.1594012,31.472434,0.000179141,1.43E-06,7.05,0.141843972
177,42110200,"Mixed nuts, dry roasted",Mixed nuts,"Mixed nuts, dry roasted, with peanuts, without salt",protein,nuts,peanut,0.103581801,0.281213735,1.30E-08,6.33E-06,1.69E-08,0.000147663,0.033749217,5.66E-08,0.001033256,0.002805645,0.010034766,7.27E-05,0.001319124,9.046796249,0.08633714,0.070583085,8.13E-06,7.05,0.141843972
204,42202000,Peanut butter,Peanut butter,"Peanut butter, smooth style, with salt",protein,nuts,peanut,0.256534366,0.3078537,9.30E-09,-1.16E-07,2.91E-09,9.66E-05,0.004601447,1.40E-08,0.000640533,0.000493207,0.002106846,3.48E-05,0.001283174,0.52370115,6.9805995,0.000555171,3.47E-05,6.25,0.16
206,42111200,"Peanuts, dry roasted, without salt",Peanuts,"Peanuts, all types, dry-roasted, without salt",protein,nuts,peanut,0.247821878,0.3078537,9.30E-09,-1.16E-07,2.91E-09,9.66E-05,0.004601447,1.40E-08,0.000640533,0.000493207,0.002106846,3.48E-05,0.001283174,0.52370115,6.9805995,0.000555171,3.47E-05,7.05,0.141843972
212,42112000,Pecans,Pecans,Pecans,protein,nuts,nut_o,0.016456922,0.265139,1.40E-08,8.29E-06,2.10E-08,0.00016212,0.0424725,6.93E-08,0.00113954,0.00349124,0.0123772,8.26E-05,0.00129522,11.6323,-2.15809,0.0918423,-1.44E-07,7.05,0.141843972
221,42113000,Pine nuts (Pignolias),Pine nuts,"Pine nuts, dried",protein,nuts,nut_o,0.003872217,0.265139,1.40E-08,8.29E-06,2.10E-08,0.00016212,0.0424725,6.93E-08,0.00113954,0.00349124,0.0123772,8.26E-05,0.00129522,11.6323,-2.15809,0.0918423,-1.44E-07,7.05,0.141843972
226,42114130,Pistachio nuts,Pistachio nuts,"Pistachio nuts, dry roasted, without salt",protein,nuts,nut_o,0.027105518,0.27309317,1.44E-08,8.54E-06,2.17E-08,0.000166984,0.043746675,7.14E-08,0.001173726,0.003595977,0.012748516,8.50E-05,0.001334077,11.981269,-2.2228327,0.094597569,-1.49E-07,7.05,0.141843972
